observation_date,CORCACBS_20171215
1985-01-01,0.82
1985-04-01,0.97
1985-07-01,1.15
1985-10-01,1.28
1986-01-01,1.35
1986-04-01,1.42
1986-07-01,1.49
1986-10-01,1.49
1987-01-01,1.47
1987-04-01,1.47
1987-07-01,1.43
1987-10-01,1.49
1988-01-01,1.45
1988-04-01,1.47
1988-07-01,1.52
1988-10-01,1.46
1989-01-01,1.57
1989-04-01,1.55
1989-07-01,1.53
1989-10-01,1.64
1990-01-01,1.64
1990-04-01,1.72
1990-07-01,1.83
1990-10-01,1.97
1991-01-01,2.20
1991-04-01,2.33
1991-07-01,2.40
1991-10-01,2.28
1992-01-01,2.39
1992-04-01,2.27
1992-07-01,2.10
1992-10-01,2.07
1993-01-01,1.84
1993-04-01,1.82
1993-07-01,1.72
1993-10-01,1.56
1994-01-01,1.49
1994-04-01,1.42
1994-07-01,1.41
1994-10-01,1.47
1995-01-01,1.44
1995-04-01,1.63
1995-07-01,1.82
1995-10-01,1.99
1996-01-01,2.14
1996-04-01,2.26
1996-07-01,2.33
1996-10-01,2.40
1997-01-01,2.56
1997-04-01,2.77
1997-07-01,2.79
1997-10-01,2.68
1998-01-01,2.63
1998-04-01,2.64
1998-07-01,2.57
1998-10-01,2.50
1999-01-01,2.40
1999-04-01,2.12
1999-07-01,2.26
1999-10-01,2.20
2000-01-01,2.23
2000-04-01,2.14
2000-07-01,2.19
2000-10-01,2.67
2001-01-01,2.35
2001-04-01,2.62
2001-07-01,2.79
2001-10-01,3.12
2002-01-01,3.60
2002-04-01,3.10
2002-07-01,3.12
2002-10-01,2.81
2003-01-01,2.84
2003-04-01,3.03
2003-07-01,2.79
2003-10-01,2.86
2004-01-01,2.73
2004-04-01,2.76
2004-07-01,2.51
2004-10-01,2.64
2005-01-01,2.49
2005-04-01,2.41
2005-07-01,3.02
2005-10-01,3.04
2006-01-01,1.77
2006-04-01,1.92
2006-07-01,2.20
2006-10-01,2.14
2007-01-01,2.35
2007-04-01,2.32
2007-07-01,2.45
2007-10-01,2.80
2008-01-01,2.95
2008-04-01,3.27
2008-07-01,3.70
2008-10-01,4.28
2009-01-01,4.76
2009-04-01,5.58
2009-07-01,5.92
2009-10-01,5.75
2010-01-01,6.60
2010-04-01,6.56
2010-07-01,5.48
2010-10-01,4.91
2011-01-01,4.39
2011-04-01,3.43
2011-07-01,3.67
2011-10-01,2.97
2012-01-01,2.62
2012-04-01,2.53
2012-07-01,2.52
2012-10-01,2.45
2013-01-01,2.29
2013-04-01,2.15
2013-07-01,2.13
2013-10-01,2.08
2014-01-01,1.99
2014-04-01,2.00
2014-07-01,1.89
2014-10-01,1.82
2015-01-01,1.75
2015-04-01,1.75
2015-07-01,1.76
2015-10-01,1.76
2016-01-01,1.83
2016-04-01,1.83
2016-07-01,1.90
2016-10-01,2.09
2017-01-01,2.18
2017-04-01,2.13
2017-07-01,2.23
