observation_date,CORCACBS_20160715
1985-01-01,0.92
1985-04-01,1.08
1985-07-01,1.23
1985-10-01,1.34
1986-01-01,1.44
1986-04-01,1.52
1986-07-01,1.57
1986-10-01,1.57
1987-01-01,1.55
1987-04-01,1.56
1987-07-01,1.50
1987-10-01,1.55
1988-01-01,1.51
1988-04-01,1.53
1988-07-01,1.58
1988-10-01,1.51
1989-01-01,1.60
1989-04-01,1.58
1989-07-01,1.58
1989-10-01,1.68
1990-01-01,1.67
1990-04-01,1.74
1990-07-01,1.86
1990-10-01,2.03
1991-01-01,2.20
1991-04-01,2.32
1991-07-01,2.40
1991-10-01,2.36
1992-01-01,2.38
1992-04-01,2.29
1992-07-01,2.13
1992-10-01,2.13
1993-01-01,1.84
1993-04-01,1.84
1993-07-01,1.70
1993-10-01,1.57
1994-01-01,1.50
1994-04-01,1.43
1994-07-01,1.44
1994-10-01,1.44
1995-01-01,1.46
1995-04-01,1.65
1995-07-01,1.85
1995-10-01,2.02
1996-01-01,2.16
1996-04-01,2.25
1996-07-01,2.35
1996-10-01,2.44
1997-01-01,2.58
1997-04-01,2.73
1997-07-01,2.76
1997-10-01,2.71
1998-01-01,2.65
1998-04-01,2.61
1998-07-01,2.60
1998-10-01,2.59
1999-01-01,2.48
1999-04-01,2.11
1999-07-01,2.26
1999-10-01,2.24
2000-01-01,2.28
2000-04-01,2.10
2000-07-01,2.23
2000-10-01,2.82
2001-01-01,2.40
2001-04-01,2.54
2001-07-01,2.74
2001-10-01,3.21
2002-01-01,3.67
2002-04-01,3.01
2002-07-01,3.08
2002-10-01,2.88
2003-01-01,2.87
2003-04-01,2.94
2003-07-01,2.79
2003-10-01,2.93
2004-01-01,2.73
2004-04-01,2.69
2004-07-01,2.55
2004-10-01,2.68
2005-01-01,2.48
2005-04-01,2.36
2005-07-01,3.06
2005-10-01,3.07
2006-01-01,1.74
2006-04-01,1.92
2006-07-01,2.27
2006-10-01,2.09
2007-01-01,2.31
2007-04-01,2.33
2007-07-01,2.52
2007-10-01,2.74
2008-01-01,2.93
2008-04-01,3.31
2008-07-01,3.73
2008-10-01,4.19
2009-01-01,4.78
2009-04-01,5.70
2009-07-01,5.84
2009-10-01,5.64
2010-01-01,6.66
2010-04-01,6.73
2010-07-01,5.38
2010-10-01,4.81
2011-01-01,4.43
2011-04-01,3.53
2011-07-01,3.62
2011-10-01,2.91
2012-01-01,2.64
2012-04-01,2.59
2012-07-01,2.50
2012-10-01,2.41
2013-01-01,2.31
2013-04-01,2.19
2013-07-01,2.12
2013-10-01,2.06
2014-01-01,2.01
2014-04-01,2.02
2014-07-01,1.88
2014-10-01,1.80
2015-01-01,1.76
2015-04-01,1.76
2015-07-01,1.75
2015-10-01,1.75
2016-01-01,1.85
