observation_date,DRSFRMACBS_20140615
1991-01-01,3.24
1991-04-01,3.31
1991-07-01,3.36
1991-10-01,3.36
1992-01-01,3.27
1992-04-01,3.16
1992-07-01,3.02
1992-10-01,2.89
1993-01-01,2.84
1993-04-01,2.74
1993-07-01,2.70
1993-10-01,2.45
1994-01-01,2.49
1994-04-01,2.31
1994-07-01,2.19
1994-10-01,2.10
1995-01-01,2.13
1995-04-01,2.16
1995-07-01,2.23
1995-10-01,2.24
1996-01-01,2.25
1996-04-01,2.31
1996-07-01,2.30
1996-10-01,2.34
1997-01-01,2.36
1997-04-01,2.33
1997-07-01,2.29
1997-10-01,2.25
1998-01-01,2.21
1998-04-01,2.17
1998-07-01,2.18
1998-10-01,2.07
1999-01-01,1.94
1999-04-01,1.93
1999-07-01,2.22
1999-10-01,1.96
2000-01-01,1.98
2000-04-01,2.01
2000-07-01,2.14
2000-10-01,2.27
2001-01-01,2.29
2001-04-01,2.42
2001-07-01,2.24
2001-10-01,2.23
2002-01-01,2.23
2002-04-01,2.16
2002-07-01,2.11
2002-10-01,1.96
2003-01-01,1.98
2003-04-01,1.83
2003-07-01,1.73
2003-10-01,1.78
2004-01-01,1.65
2004-04-01,1.60
2004-07-01,1.58
2004-10-01,1.39
2005-01-01,1.43
2005-04-01,1.55
2005-07-01,1.57
2005-10-01,1.64
2006-01-01,1.60
2006-04-01,1.62
2006-07-01,1.75
2006-10-01,1.95
2007-01-01,2.03
2007-04-01,2.30
2007-07-01,2.76
2007-10-01,3.08
2008-01-01,3.69
2008-04-01,4.38
2008-07-01,5.22
2008-10-01,6.66
2009-01-01,7.85
2009-04-01,8.62
2009-07-01,9.59
2009-10-01,10.52
2010-01-01,11.27
2010-04-01,11.13
2010-07-01,10.76
2010-10-01,10.20
2011-01-01,10.41
2011-04-01,10.59
2011-07-01,10.36
2011-10-01,10.31
2012-01-01,10.32
2012-04-01,10.47
2012-07-01,10.69
2012-10-01,10.03
2013-01-01,9.68
2013-04-01,9.32
2013-07-01,8.64
2013-10-01,8.25
2014-01-01,7.79
