observation_date,INDPRO_20080315
1921-01-01,4.3470
1921-02-01,4.2589
1921-03-01,4.1414
1921-04-01,4.1414
1921-05-01,4.2589
1921-06-01,4.2295
1921-07-01,4.2001
1921-08-01,4.3470
1921-09-01,4.3764
1921-10-01,4.6407
1921-11-01,4.5820
1921-12-01,4.5526
1922-01-01,4.7288
1922-02-01,4.9344
1922-03-01,5.1988
1922-04-01,5.0225
1922-05-01,5.2869
1922-06-01,5.5512
1922-07-01,5.5512
1922-08-01,5.4337
1922-09-01,5.7275
1922-10-01,6.0505
1922-11-01,6.3149
1922-12-01,6.4911
1923-01-01,6.3443
1923-02-01,6.4324
1923-03-01,6.6380
1923-04-01,6.7848
1923-05-01,6.8729
1923-06-01,6.8142
1923-07-01,6.7555
1923-08-01,6.6380
1923-09-01,6.4911
1923-10-01,6.4617
1923-11-01,6.4617
1923-12-01,6.3149
1924-01-01,6.4617
1924-02-01,6.5792
1924-03-01,6.4617
1924-04-01,6.2561
1924-05-01,5.9918
1924-06-01,5.7275
1924-07-01,5.6393
1924-08-01,5.8449
1924-09-01,6.0505
1924-10-01,6.1974
1924-11-01,6.3149
1924-12-01,6.4911
1925-01-01,6.6967
1925-02-01,6.6967
1925-03-01,6.6967
1925-04-01,6.7555
1925-05-01,6.7261
1925-06-01,6.6673
1925-07-01,6.8436
1925-08-01,6.7261
1925-09-01,6.6380
1925-10-01,6.9023
1925-11-01,7.0492
1925-12-01,7.1373
1926-01-01,7.0198
1926-02-01,7.0198
1926-03-01,7.1079
1926-04-01,7.1079
1926-05-01,7.0492
1926-06-01,7.1373
1926-07-01,7.1667
1926-08-01,7.2548
1926-09-01,7.3723
1926-10-01,7.3723
1926-11-01,7.3429
1926-12-01,7.3135
1927-01-01,7.2841
1927-02-01,7.3429
1927-03-01,7.4310
1927-04-01,7.2548
1927-05-01,7.3135
1927-06-01,7.2841
1927-07-01,7.1960
1927-08-01,7.1960
1927-09-01,7.0785
1927-10-01,6.9317
1927-11-01,6.9317
1927-12-01,6.9611
1928-01-01,7.1079
1928-02-01,7.1667
1928-03-01,7.2254
1928-04-01,7.1960
1928-05-01,7.2841
1928-06-01,7.3429
1928-07-01,7.4310
1928-08-01,7.5779
