observation_date,TDSP_20121115
1980-01-01,11.12
1980-04-01,11.09
1980-07-01,10.78
1980-10-01,10.51
1981-01-01,10.57
1981-04-01,10.70
1981-07-01,10.55
1981-10-01,10.60
1982-01-01,10.68
1982-04-01,10.72
1982-07-01,10.59
1982-10-01,10.53
1983-01-01,10.52
1983-04-01,10.53
1983-07-01,10.51
1983-10-01,10.58
1984-01-01,10.65
1984-04-01,10.78
1984-07-01,10.86
1984-10-01,11.00
1985-01-01,11.36
1985-04-01,11.45
1985-07-01,11.79
1985-10-01,11.90
1986-01-01,11.94
1986-04-01,12.03
1986-07-01,12.15
1986-10-01,12.32
1987-01-01,12.17
1987-04-01,12.33
1987-07-01,12.18
1987-10-01,12.02
1988-01-01,11.98
1988-04-01,11.96
1988-07-01,11.91
1988-10-01,11.79
1989-01-01,11.73
1989-04-01,11.89
1989-07-01,11.97
1989-10-01,11.98
1990-01-01,11.92
1990-04-01,11.90
1990-07-01,11.88
1990-10-01,11.90
1991-01-01,11.87
1991-04-01,11.71
1991-07-01,11.60
1991-10-01,11.41
1992-01-01,11.19
1992-04-01,11.03
1992-07-01,10.88
1992-10-01,10.70
1993-01-01,10.88
1993-04-01,10.70
1993-07-01,10.75
1993-10-01,10.63
1994-01-01,10.77
1994-04-01,10.76
1994-07-01,10.88
1994-10-01,11.00
1995-01-01,11.19
1995-04-01,11.41
1995-07-01,11.53
1995-10-01,11.61
1996-01-01,11.65
1996-04-01,11.70
1996-07-01,11.77
1996-10-01,11.84
1997-01-01,11.81
1997-04-01,11.84
1997-07-01,11.85
1997-10-01,11.82
1998-01-01,11.65
1998-04-01,11.68
1998-07-01,11.67
1998-10-01,11.73
1999-01-01,11.80
1999-04-01,11.94
1999-07-01,12.06
1999-10-01,12.04
2000-01-01,11.95
2000-04-01,12.11
2000-07-01,12.25
2000-10-01,12.46
2001-01-01,12.56
2001-04-01,12.75
2001-07-01,12.62
2001-10-01,12.99
2002-01-01,12.84
2002-04-01,12.88
2002-07-01,13.03
2002-10-01,13.10
2003-01-01,13.13
2003-04-01,13.08
2003-07-01,13.00
2003-10-01,13.07
2004-01-01,13.13
2004-04-01,13.09
2004-07-01,13.22
2004-10-01,13.19
2005-01-01,13.56
2005-04-01,13.66
2005-07-01,13.53
2005-10-01,13.61
2006-01-01,13.72
2006-04-01,13.78
2006-07-01,13.89
2006-10-01,13.91
2007-01-01,13.90
2007-04-01,13.95
2007-07-01,14.05
2007-10-01,14.00
2008-01-01,13.72
2008-04-01,13.33
2008-07-01,13.42
2008-10-01,13.49
2009-01-01,13.54
2009-04-01,13.29
2009-07-01,13.18
2009-10-01,12.90
2010-01-01,12.47
2010-04-01,12.11
2010-07-01,11.88
2010-10-01,11.61
2011-01-01,11.22
2011-04-01,11.13
2011-07-01,11.07
2011-10-01,11.02
2012-01-01,10.81
2012-04-01,10.69
