observation_date,NONREVSL_20010215
1943-01-01,6.6
1943-02-01,6.5
1943-03-01,6.2
1943-04-01,6.1
1943-05-01,5.9
1943-06-01,5.8
1943-07-01,5.7
1943-08-01,5.6
1943-09-01,5.6
1943-10-01,5.7
1943-11-01,5.6
1943-12-01,5.5
1944-01-01,5.4
1944-02-01,5.4
1944-03-01,5.4
1944-04-01,5.4
1944-05-01,5.4
1944-06-01,5.5
1944-07-01,5.5
1944-08-01,5.5
1944-09-01,5.5
1944-10-01,5.6
1944-11-01,5.6
1944-12-01,5.6
1945-01-01,5.6
1945-02-01,5.6
1945-03-01,5.7
1945-04-01,5.6
1945-05-01,5.6
1945-06-01,5.7
1945-07-01,5.7
1945-08-01,5.8
1945-09-01,5.8
1945-10-01,5.9
1945-11-01,6.1
1945-12-01,6.6
1946-01-01,6.5
1946-02-01,6.8
1946-03-01,7.0
1946-04-01,7.3
1946-05-01,7.5
1946-06-01,7.7
1946-07-01,7.9
1946-08-01,8.3
1946-09-01,8.6
1946-10-01,8.9
1946-11-01,9.2
1946-12-01,9.4
1947-01-01,9.8
1947-02-01,10.1
1947-03-01,10.3
1947-04-01,10.6
1947-05-01,10.9
1947-06-01,11.1
1947-07-01,11.4
1947-08-01,11.6
1947-09-01,11.9
1947-10-01,12.2
1947-11-01,12.5
1947-12-01,12.9
1948-01-01,13.2
1948-02-01,13.5
1948-03-01,13.9
1948-04-01,14.3
1948-05-01,14.5
1948-06-01,14.8
1948-07-01,15.0
1948-08-01,15.2
1948-09-01,15.5
1948-10-01,15.6
1948-11-01,15.6
1948-12-01,15.8
1949-01-01,15.9
1949-02-01,16.0
1949-03-01,16.1
1949-04-01,16.4
1949-05-01,16.6
1949-06-01,16.9
1949-07-01,17.1
1949-08-01,17.4
1949-09-01,17.7
1949-10-01,18.0
1949-11-01,18.4
1949-12-01,18.8
1950-01-01,19.1
1950-02-01,19.4
1950-03-01,19.7
1950-04-01,20.1
1950-05-01,20.6
