observation_date,BOGZ1FL153064486Q_20240115
1945-10-01,22.5179794373
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,19.8818536207
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,18.3447407947
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,17.5622829739
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,18.0910321682
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,19.4660773251
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,20.0951120769
1952-01-01,20.0200907810
1952-04-01,20.3601496287
1952-07-01,20.0857090209
1952-10-01,19.0099261722
1953-01-01,18.5974900302
1953-04-01,17.6848856913
1953-07-01,17.0918016921
1953-10-01,18.0947880259
1954-01-01,18.8958691022
1954-04-01,19.9822644155
1954-07-01,21.1512020741
1954-10-01,21.0698667009
1955-01-01,21.3436744383
1955-04-01,22.6909247499
1955-07-01,23.3287806286
1955-10-01,23.1828697437
1956-01-01,23.9557585476
1956-04-01,23.1306288150
1956-07-01,22.4940449594
1956-10-01,23.5350403955
1957-01-01,22.4066086428
1957-04-01,23.1889382116
1957-07-01,21.2747433930
1957-10-01,21.1048547611
1958-01-01,21.7138824088
1958-04-01,22.4568433666
1958-07-01,23.8524349618
1958-10-01,24.2304443580
1959-01-01,24.4099072955
1959-04-01,24.8967011044
1959-07-01,24.3284515055
1959-10-01,25.1551389534
1960-01-01,23.8486017465
1960-04-01,24.0109317828
1960-07-01,22.4972979479
1960-10-01,24.2658839289
1961-01-01,26.0243976098
1961-04-01,25.7970138082
1961-07-01,25.9811952201
1961-10-01,27.0775564727
1962-01-01,26.4199616553
1962-04-01,21.2975657002
1962-07-01,21.9546265695
1962-10-01,25.4893471628
1963-01-01,25.8937505042
1963-04-01,26.6117705815
1963-07-01,27.2020483347
1963-10-01,25.8246313482
1964-01-01,26.8209731644
1964-04-01,27.1282540181
1964-07-01,27.4586773543
1964-10-01,27.5303525802
1965-01-01,27.7532208758
1965-04-01,26.6513378648
1965-07-01,27.9778089638
1965-10-01,28.7629106202
1966-01-01,27.8218301115
1966-04-01,26.5365301137
1966-07-01,24.1068237731
1966-10-01,25.0060554861
1967-01-01,27.0732283400
1967-04-01,27.0078201082
1967-07-01,27.8132515265
1967-10-01,28.0636926615
1968-01-01,26.1403040164
1968-04-01,28.3421215125
1968-07-01,28.2169449056
1968-10-01,30.0344369275
1969-01-01,28.4772114102
1969-04-01,27.1396530413
1969-07-01,26.2513185915
1969-10-01,24.6196925179
1970-01-01,23.7877824657
1970-04-01,19.3968931267
1970-07-01,21.5752164984
1970-10-01,22.8175666087
1971-01-01,24.0970437869
1971-04-01,23.5886965606
1971-07-01,22.8488185086
1971-10-01,23.7138957980
1972-01-01,24.2592550830
1972-04-01,23.7567295486
1972-07-01,23.6876702073
1972-10-01,25.7194003820
1973-01-01,23.6807646937
1973-04-01,21.6933429238
1973-07-01,22.2053761596
1973-10-01,18.7513291009
