observation_date,BABATOTALSAUS_20240715
2004-07-01,159396
2004-08-01,192188
2004-09-01,191225
2004-10-01,191102
2004-11-01,211318
2004-12-01,193328
2005-01-01,201725
2005-02-01,204234
2005-03-01,201630
2005-04-01,204096
2005-05-01,203523
2005-06-01,210096
2005-07-01,207999
2005-08-01,204797
2005-09-01,184551
2005-10-01,230658
2005-11-01,222505
2005-12-01,233703
2006-01-01,216481
2006-02-01,225673
2006-03-01,222474
2006-04-01,223297
2006-05-01,222048
2006-06-01,218254
2006-07-01,220254
2006-08-01,218935
2006-09-01,212057
2006-10-01,206805
2006-11-01,202263
2006-12-01,247115
2007-01-01,206985
2007-02-01,217706
2007-03-01,216090
2007-04-01,214518
2007-05-01,220719
2007-06-01,221767
2007-07-01,221308
2007-08-01,218353
2007-09-01,226146
2007-10-01,233182
2007-11-01,213292
2007-12-01,245389
2008-01-01,207457
2008-02-01,210454
2008-03-01,220356
2008-04-01,219304
2008-05-01,216014
2008-06-01,210771
2008-07-01,209946
2008-08-01,222490
2008-09-01,210337
2008-10-01,205209
2008-11-01,204190
2008-12-01,186959
2009-01-01,207516
2009-02-01,195389
2009-03-01,198726
2009-04-01,198982
2009-05-01,200006
2009-06-01,203046
2009-07-01,207412
2009-08-01,201608
2009-09-01,205708
2009-10-01,203589
2009-11-01,207362
2009-12-01,201060
2010-01-01,201501
2010-02-01,202525
2010-03-01,203445
2010-04-01,206358
2010-05-01,210952
2010-06-01,204818
2010-07-01,207726
2010-08-01,207623
2010-09-01,213896
2010-10-01,213942
2010-11-01,221182
2010-12-01,205762
2011-01-01,220103
2011-02-01,224254
2011-03-01,213466
2011-04-01,213893
2011-05-01,186371
2011-06-01,219908
2011-07-01,216798
2011-08-01,213061
2011-09-01,212505
2011-10-01,205576
2011-11-01,220941
2011-12-01,228399
2012-01-01,185104
2012-02-01,214396
2012-03-01,216914
2012-04-01,217873
2012-05-01,220586
2012-06-01,208507
2012-07-01,208385
2012-08-01,208841
2012-09-01,207142
2012-10-01,212470
2012-11-01,202005
2012-12-01,274354
2013-01-01,219831
2013-02-01,211994
2013-03-01,216723
2013-04-01,213197
2013-05-01,207175
2013-06-01,217038
2013-07-01,218374
2013-08-01,221515
2013-09-01,212885
2013-10-01,223322
2013-11-01,221593
2013-12-01,227897
2014-01-01,209883
2014-02-01,222335
2014-03-01,228193
2014-04-01,225862
2014-05-01,223576
2014-06-01,226284
2014-07-01,222304
2014-08-01,226262
2014-09-01,228254
2014-10-01,226558
2014-11-01,222024
2014-12-01,205650
2015-01-01,256535
2015-02-01,229419
2015-03-01,229305
2015-04-01,230978
2015-05-01,225231
2015-06-01,233973
2015-07-01,237550
2015-08-01,234389
2015-09-01,239947
2015-10-01,243223
2015-11-01,237042
2015-12-01,225859
2016-01-01,260494
2016-02-01,240888
2016-03-01,236691
2016-04-01,243845
2016-05-01,255112
2016-06-01,216657
2016-07-01,261307
2016-08-01,248033
2016-09-01,254587
2016-10-01,245260
2016-11-01,252790
2016-12-01,260444
2017-01-01,263878
2017-02-01,259442
2017-03-01,262185
2017-04-01,261569
2017-05-01,261661
2017-06-01,267661
2017-07-01,267670
2017-08-01,269320
2017-09-01,260263
2017-10-01,272724
2017-11-01,282007
2017-12-01,268743
2018-01-01,296769
2018-02-01,284723
2018-03-01,289592
2018-04-01,286027
2018-05-01,293177
2018-06-01,296834
2018-07-01,291213
2018-08-01,295669
2018-09-01,290592
2018-10-01,286155
2018-11-01,290989
2018-12-01,298205
2019-01-01,276149
2019-02-01,298130
2019-03-01,301478
2019-04-01,293421
2019-05-01,287313
2019-06-01,291027
2019-07-01,280569
2019-08-01,291717
2019-09-01,291631
2019-10-01,297968
2019-11-01,294429
2019-12-01,314337
2020-01-01,281494
2020-02-01,302107
2020-03-01,259849
2020-04-01,235789
2020-05-01,297574
2020-06-01,377264
2020-07-01,545914
2020-08-01,484561
2020-09-01,435167
2020-10-01,411616
2020-11-01,398000
2020-12-01,349734
2021-01-01,486082
2021-02-01,430923
2021-03-01,451177
2021-04-01,498829
2021-05-01,502805
2021-06-01,446475
2021-07-01,441675
2021-08-01,428564
2021-09-01,430066
2021-10-01,430188
2021-11-01,436215
2021-12-01,425030
2022-01-01,434112
2022-02-01,422268
2022-03-01,414800
2022-04-01,433849
2022-05-01,425654
2022-06-01,407475
2022-07-01,420987
2022-08-01,420692
2022-09-01,425113
2022-10-01,432677
2022-11-01,421527
2022-12-01,424810
2023-01-01,428718
2023-02-01,442400
2023-03-01,458841
2023-04-01,444892
2023-05-01,448260
2023-06-01,468864
2023-07-01,473722
2023-08-01,467697
2023-09-01,472629
2023-10-01,470587
2023-11-01,461921
2023-12-01,455594
2024-01-01,447499
2024-02-01,434419
2024-03-01,433398
2024-04-01,430762
2024-05-01,423896
2024-06-01,431246
