observation_date,DGORDER_20030815
1992-02-01,119188
1992-03-01,118965
1992-04-01,124837
1992-05-01,125007
1992-06-01,123082
1992-07-01,123602
1992-08-01,118523
1992-09-01,120009
1992-10-01,128902
1992-11-01,121285
1992-12-01,125924
1993-01-01,122979
1993-02-01,128927
1993-03-01,127073
1993-04-01,127913
1993-05-01,126149
1993-06-01,129465
1993-07-01,128596
1993-08-01,128346
1993-09-01,127185
1993-10-01,132722
1993-11-01,130725
1993-12-01,133579
1994-01-01,139802
1994-02-01,137296
1994-03-01,137353
1994-04-01,139609
1994-05-01,142313
1994-06-01,145151
1994-07-01,143335
1994-08-01,146133
1994-09-01,145784
1994-10-01,149378
1994-11-01,149320
1994-12-01,152041
1995-01-01,152618
1995-02-01,154206
1995-03-01,154415
1995-04-01,149361
1995-05-01,153463
1995-06-01,150875
1995-07-01,147602
1995-08-01,154850
1995-09-01,158994
1995-10-01,155345
1995-11-01,156444
1995-12-01,161106
1996-01-01,159443
1996-02-01,154605
1996-03-01,164110
1996-04-01,156947
1996-05-01,165444
1996-06-01,162399
1996-07-01,163444
1996-08-01,157656
1996-09-01,164310
1996-10-01,166251
1996-11-01,169420
1996-12-01,161716
1997-01-01,166387
1997-02-01,170095
1997-03-01,167442
1997-04-01,172166
1997-05-01,169051
1997-06-01,174094
1997-07-01,179192
1997-08-01,174767
1997-09-01,178147
1997-10-01,179881
1997-11-01,187484
1997-12-01,174947
1998-01-01,178442
1998-02-01,180672
1998-03-01,177496
1998-04-01,180306
1998-05-01,178170
1998-06-01,173496
1998-07-01,170219
1998-08-01,177983
1998-09-01,180218
1998-10-01,179371
1998-11-01,180079
1998-12-01,180976
1999-01-01,187572
1999-02-01,184826
1999-03-01,186426
1999-04-01,182814
1999-05-01,184957
1999-06-01,181830
1999-07-01,189127
1999-08-01,189097
1999-09-01,189203
1999-10-01,192003
1999-11-01,186240
1999-12-01,198848
2000-01-01,204243
2000-02-01,187146
2000-03-01,194441
2000-04-01,192228
2000-05-01,190263
2000-06-01,220676
2000-07-01,189039
2000-08-01,189531
2000-09-01,197634
2000-10-01,185981
2000-11-01,188098
2000-12-01,187460
2001-01-01,178290
2001-02-01,176412
2001-03-01,182628
2001-04-01,170589
2001-05-01,175997
2001-06-01,172000
2001-07-01,170867
2001-08-01,170890
2001-09-01,159252
2001-10-01,173844
2001-11-01,163655
2001-12-01,167192
2002-01-01,169017
2002-02-01,171959
2002-03-01,171520
2002-04-01,172325
2002-05-01,173064
2002-06-01,165261
2002-07-01,179274
2002-08-01,177296
2002-09-01,169060
2002-10-01,171895
2002-11-01,169895
2002-12-01,169161
2003-01-01,172704
2003-02-01,170833
2003-03-01,173066
2003-04-01,168876
2003-05-01,169006
2003-06-01,173440
