observation_date,BABATOTALSAUS_20211215
2004-07-01,159082
2004-08-01,192342
2004-09-01,191244
2004-10-01,191350
2004-11-01,211421
2004-12-01,192407
2005-01-01,202217
2005-02-01,204563
2005-03-01,201763
2005-04-01,204009
2005-05-01,203455
2005-06-01,209859
2005-07-01,207622
2005-08-01,205015
2005-09-01,184506
2005-10-01,231096
2005-11-01,222702
2005-12-01,232562
2006-01-01,216896
2006-02-01,225947
2006-03-01,222581
2006-04-01,223185
2006-05-01,221944
2006-06-01,218056
2006-07-01,219937
2006-08-01,219163
2006-09-01,212135
2006-10-01,207343
2006-11-01,202446
2006-12-01,245856
2007-01-01,207294
2007-02-01,217667
2007-03-01,216139
2007-04-01,214451
2007-05-01,220622
2007-06-01,221664
2007-07-01,221083
2007-08-01,218517
2007-09-01,226413
2007-10-01,233804
2007-11-01,213636
2007-12-01,244205
2008-01-01,207604
2008-02-01,210131
2008-03-01,220461
2008-04-01,219286
2008-05-01,215957
2008-06-01,210643
2008-07-01,209790
2008-08-01,222638
2008-09-01,210820
2008-10-01,205724
2008-11-01,204657
2008-12-01,186183
2009-01-01,207474
2009-02-01,194915
2009-03-01,198816
2009-04-01,198944
2009-05-01,199968
2009-06-01,202963
2009-07-01,207318
2009-08-01,201742
2009-09-01,206207
2009-10-01,203978
2009-11-01,207895
2009-12-01,200498
2010-01-01,201269
2010-02-01,202004
2010-03-01,203545
2010-04-01,206315
2010-05-01,210950
2010-06-01,204740
2010-07-01,207641
2010-08-01,207774
2010-09-01,214216
2010-10-01,214170
2010-11-01,221758
2010-12-01,205425
2011-01-01,219956
2011-02-01,223776
2011-03-01,213451
2011-04-01,213884
2011-05-01,186327
2011-06-01,219893
2011-07-01,216774
2011-08-01,213176
2011-09-01,212481
2011-10-01,205716
2011-11-01,221436
2011-12-01,228269
2012-01-01,185170
2012-02-01,214138
2012-03-01,216854
2012-04-01,217905
2012-05-01,220401
2012-06-01,208459
2012-07-01,208296
2012-08-01,208916
2012-09-01,206880
2012-10-01,212717
2012-11-01,202237
2012-12-01,274308
2013-01-01,220228
2013-02-01,211882
2013-03-01,216620
2013-04-01,213226
2013-05-01,206786
2013-06-01,217010
2013-07-01,218197
2013-08-01,221631
2013-09-01,212617
2013-10-01,223736
2013-11-01,221701
2013-12-01,227846
2014-01-01,210241
2014-02-01,222275
2014-03-01,228104
2014-04-01,225967
2014-05-01,223040
2014-06-01,226268
2014-07-01,222001
2014-08-01,226366
2014-09-01,228118
2014-10-01,226970
2014-11-01,222036
2014-12-01,205462
2015-01-01,256949
2015-02-01,229473
2015-03-01,229317
2015-04-01,231164
2015-05-01,224660
2015-06-01,233832
2015-07-01,237200
2015-08-01,234449
2015-09-01,240074
2015-10-01,243418
2015-11-01,237012
2015-12-01,225459
2016-01-01,260889
2016-02-01,241206
2016-03-01,236843
2016-04-01,243958
2016-05-01,254506
2016-06-01,216326
2016-07-01,260952
2016-08-01,248133
2016-09-01,254858
2016-10-01,245298
2016-11-01,252824
2016-12-01,259738
2017-01-01,264310
2017-02-01,260122
2017-03-01,262192
2017-04-01,261436
2017-05-01,260902
2017-06-01,267070
2017-07-01,267812
2017-08-01,269612
2017-09-01,260729
2017-10-01,272776
2017-11-01,282070
2017-12-01,267655
2018-01-01,297586
2018-02-01,285342
2018-03-01,289145
2018-04-01,285433
2018-05-01,291926
2018-06-01,296177
2018-07-01,292202
2018-08-01,296131
2018-09-01,291231
2018-10-01,286622
2018-11-01,291106
2018-12-01,296119
2019-01-01,277317
2019-02-01,298253
2019-03-01,300259
2019-04-01,292614
2019-05-01,285547
2019-06-01,290506
2019-07-01,282573
2019-08-01,292273
2019-09-01,292756
2019-10-01,299023
2019-11-01,293781
2019-12-01,309607
2020-01-01,282802
2020-02-01,300705
2020-03-01,257673
2020-04-01,234838
2020-05-01,294957
2020-06-01,377081
2020-07-01,552748
2020-08-01,485701
2020-09-01,437527
2020-10-01,414335
2020-11-01,396681
2020-12-01,341949
2021-01-01,488945
2021-02-01,427256
2021-03-01,446171
2021-04-01,495621
2021-05-01,495976
2021-06-01,446039
2021-07-01,448197
2021-08-01,428523
2021-09-01,432170
2021-10-01,432305
2021-11-01,432034
