observation_date,INDPRO_20111115
1919-01-01,4.8502
1919-02-01,4.6358
1919-03-01,4.5019
1919-04-01,4.5822
1919-05-01,4.6090
1919-06-01,4.9038
1919-07-01,5.1986
1919-08-01,5.2790
1919-09-01,5.1718
1919-10-01,5.1182
1919-11-01,5.0378
1919-12-01,5.1182
1920-01-01,5.6005
1920-02-01,5.6005
1920-03-01,5.4933
1920-04-01,5.1986
1920-05-01,5.3326
1920-06-01,5.3861
1920-07-01,5.2522
1920-08-01,5.2790
1920-09-01,5.0914
1920-10-01,4.8770
1920-11-01,4.4751
1920-12-01,4.2071
1921-01-01,3.9659
1921-02-01,3.8855
1921-03-01,3.7783
1921-04-01,3.7783
1921-05-01,3.8855
1921-06-01,3.8587
1921-07-01,3.8319
1921-08-01,3.9659
1921-09-01,3.9927
1921-10-01,4.2339
1921-11-01,4.1803
1921-12-01,4.1535
1922-01-01,4.3143
1922-02-01,4.5019
1922-03-01,4.7430
1922-04-01,4.5822
1922-05-01,4.8234
1922-06-01,5.0646
1922-07-01,5.0646
1922-08-01,4.9574
1922-09-01,5.2254
1922-10-01,5.5201
1922-11-01,5.7613
1922-12-01,5.9221
1923-01-01,5.7881
1923-02-01,5.8685
1923-03-01,6.0561
1923-04-01,6.1900
1923-05-01,6.2704
1923-06-01,6.2168
1923-07-01,6.1632
1923-08-01,6.0561
1923-09-01,5.9221
1923-10-01,5.8953
1923-11-01,5.8953
1923-12-01,5.7613
1924-01-01,5.8953
1924-02-01,6.0025
1924-03-01,5.8953
1924-04-01,5.7077
1924-05-01,5.4665
1924-06-01,5.2254
1924-07-01,5.1450
1924-08-01,5.3326
1924-09-01,5.5201
1924-10-01,5.6541
1924-11-01,5.7613
1924-12-01,5.9221
1925-01-01,6.1097
1925-02-01,6.1097
1925-03-01,6.1097
1925-04-01,6.1633
1925-05-01,6.1365
1925-06-01,6.0829
1925-07-01,6.2436
1925-08-01,6.1365
1925-09-01,6.0561
1925-10-01,6.2972
1925-11-01,6.4312
1925-12-01,6.5116
1926-01-01,6.4044
1926-02-01,6.4044
1926-03-01,6.4848
1926-04-01,6.4848
1926-05-01,6.4312
1926-06-01,6.5116
1926-07-01,6.5384
1926-08-01,6.6188
1926-09-01,6.7260
1926-10-01,6.7260
1926-11-01,6.6992
1926-12-01,6.6724
1927-01-01,6.6456
