observation_date,TDSP_20030915
1980-01-01,13.16
1980-04-01,13.13
1980-07-01,12.81
1980-10-01,12.52
1981-01-01,12.46
1981-04-01,12.62
1981-07-01,12.42
1981-10-01,12.47
1982-01-01,12.57
1982-04-01,12.61
1982-07-01,12.52
1982-10-01,12.47
1983-01-01,12.45
1983-04-01,12.44
1983-07-01,12.42
1983-10-01,12.48
1984-01-01,12.54
1984-04-01,12.68
1984-07-01,12.77
1984-10-01,12.96
1985-01-01,13.33
1985-04-01,13.42
1985-07-01,13.79
1985-10-01,13.90
1986-01-01,13.93
1986-04-01,14.03
1986-07-01,14.17
1986-10-01,14.34
1987-01-01,14.05
1987-04-01,14.15
1987-07-01,13.93
1987-10-01,13.74
1988-01-01,13.65
1988-04-01,13.63
1988-07-01,13.55
1988-10-01,13.42
1989-01-01,13.30
1989-04-01,13.47
1989-07-01,13.61
1989-10-01,13.65
1990-01-01,13.47
1990-04-01,13.39
1990-07-01,13.34
1990-10-01,13.35
1991-01-01,13.25
1991-04-01,13.03
1991-07-01,12.90
1991-10-01,12.71
1992-01-01,12.41
1992-04-01,12.21
1992-07-01,12.11
1992-10-01,11.83
1993-01-01,12.04
1993-04-01,11.84
1993-07-01,11.90
1993-10-01,11.79
1994-01-01,11.97
1994-04-01,11.92
1994-07-01,12.05
1994-10-01,12.19
1995-01-01,12.36
1995-04-01,12.66
1995-07-01,12.80
1995-10-01,12.87
1996-01-01,13.00
1996-04-01,13.18
1996-07-01,13.22
1996-10-01,13.27
1997-01-01,13.34
1997-04-01,13.44
1997-07-01,13.45
1997-10-01,13.39
1998-01-01,13.30
1998-04-01,13.33
1998-07-01,13.37
1998-10-01,13.40
1999-01-01,13.44
1999-04-01,13.55
1999-07-01,13.66
1999-10-01,13.70
2000-01-01,13.59
2000-04-01,13.66
2000-07-01,13.77
2000-10-01,13.92
2001-01-01,14.04
2001-04-01,14.16
2001-07-01,13.96
2001-10-01,14.40
2002-01-01,14.09
2002-04-01,14.02
2002-07-01,14.05
2002-10-01,14.02
2003-01-01,13.99
