observation_date,HOUST_19640215
1959-01-01,1582
1959-02-01,1530
1959-03-01,1579
1959-04-01,1597
1959-05-01,1497
1959-06-01,1511
1959-07-01,1556
1959-08-01,1399
1959-09-01,1608
1959-10-01,1357
1959-11-01,1371
1959-12-01,1584
1960-01-01,1533
1960-02-01,1526
1960-03-01,1122
1960-04-01,1271
1960-05-01,1269
1960-06-01,1249
1960-07-01,1200
1960-08-01,1303
1960-09-01,1135
1960-10-01,1247
1960-11-01,1205
1960-12-01,1051
1961-01-01,1250
1961-02-01,1256
1961-03-01,1338
1961-04-01,1157
1961-05-01,1236
1961-06-01,1370
1961-07-01,1330
1961-08-01,1275
1961-09-01,1470
1961-10-01,1412
1961-11-01,1340
1961-12-01,1365
1962-01-01,1423
1962-02-01,1272
1962-03-01,1483
1962-04-01,1511
1962-05-01,1514
1962-06-01,1392
1962-07-01,1442
1962-08-01,1486
1962-09-01,1356
1962-10-01,1537
1962-11-01,1579
1962-12-01,1562
1963-01-01,1344
1963-02-01,1380
1963-03-01,1575
1963-04-01,1618
1963-05-01,1618
1963-06-01,1571
1963-07-01,1588
1963-08-01,1455
1963-09-01,1732
1963-10-01,1847
1963-11-01,1556
1963-12-01,1597
