observation_date,DGORDER_20020515
1992-02-01,116314
1992-03-01,119710
1992-04-01,125293
1992-05-01,124259
1992-06-01,122565
1992-07-01,124728
1992-08-01,118981
1992-09-01,120718
1992-10-01,128002
1992-11-01,121614
1992-12-01,125807
1993-01-01,121516
1993-02-01,128960
1993-03-01,127489
1993-04-01,128467
1993-05-01,125417
1993-06-01,129157
1993-07-01,129572
1993-08-01,129117
1993-09-01,127671
1993-10-01,131657
1993-11-01,131397
1993-12-01,132975
1994-01-01,138389
1994-02-01,137307
1994-03-01,137882
1994-04-01,140095
1994-05-01,142042
1994-06-01,145007
1994-07-01,143926
1994-08-01,146909
1994-09-01,145995
1994-10-01,148304
1994-11-01,150220
1994-12-01,151226
1995-01-01,151698
1995-02-01,154362
1995-03-01,154153
1995-04-01,149970
1995-05-01,153119
1995-06-01,151133
1995-07-01,147992
1995-08-01,156027
1995-09-01,158784
1995-10-01,154576
1995-11-01,157354
1995-12-01,160110
1996-01-01,158223
1996-02-01,154990
1996-03-01,163359
1996-04-01,158126
1996-05-01,164993
1996-06-01,163033
1996-07-01,164515
1996-08-01,158496
1996-09-01,163466
1996-10-01,165941
1996-11-01,170202
1996-12-01,160781
1997-01-01,164629
1997-02-01,170210
1997-03-01,166404
1997-04-01,173890
1997-05-01,168665
1997-06-01,174775
1997-07-01,180801
1997-08-01,175504
1997-09-01,177109
1997-10-01,179152
1997-11-01,188915
1997-12-01,173934
1998-01-01,176098
1998-02-01,180410
1998-03-01,177185
1998-04-01,182280
1998-05-01,177929
1998-06-01,174503
1998-07-01,171705
1998-08-01,178868
1998-09-01,178493
1998-10-01,178867
1998-11-01,181309
1998-12-01,180737
1999-01-01,183569
1999-02-01,183059
1999-03-01,185715
1999-04-01,183127
1999-05-01,184302
1999-06-01,182527
1999-07-01,190743
1999-08-01,190506
1999-09-01,187206
1999-10-01,191807
1999-11-01,188708
1999-12-01,200091
2000-01-01,203798
2000-02-01,189819
2000-03-01,198608
2000-04-01,197384
2000-05-01,195842
2000-06-01,228207
2000-07-01,197014
2000-08-01,197880
2000-09-01,200742
2000-10-01,192242
2000-11-01,196588
2000-12-01,194614
2001-01-01,178432
2001-02-01,181347
2001-03-01,185823
2001-04-01,178049
2001-05-01,181557
2001-06-01,177245
2001-07-01,176955
2001-08-01,174877
2001-09-01,157249
2001-10-01,178644
2001-11-01,167634
2001-12-01,168371
2002-01-01,169835
2002-02-01,174298
2002-03-01,173419
