observation_date,CDSP_20150515
1980-01-01,6.24369
1980-04-01,6.19162
1980-07-01,5.94579
1980-10-01,5.73975
1981-01-01,5.70448
1981-04-01,5.71484
1981-07-01,5.61434
1981-10-01,5.59985
1982-01-01,5.59270
1982-04-01,5.60520
1982-07-01,5.54821
1982-10-01,5.52459
1983-01-01,5.52136
1983-04-01,5.54750
1983-07-01,5.54825
1983-10-01,5.58025
1984-01-01,5.60623
1984-04-01,5.69674
1984-07-01,5.76694
1984-10-01,5.85534
1985-01-01,6.01839
1985-04-01,6.04705
1985-07-01,6.20627
1985-10-01,6.25677
1986-01-01,6.25232
1986-04-01,6.28476
1986-07-01,6.33095
1986-10-01,6.37438
1987-01-01,6.23497
1987-04-01,6.25561
1987-07-01,6.16036
1987-10-01,6.08338
1988-01-01,6.03001
1988-04-01,5.98061
1988-07-01,5.91094
1988-10-01,5.85314
1989-01-01,5.81864
1989-04-01,5.87973
1989-07-01,5.85297
1989-10-01,5.77437
1990-01-01,5.64309
1990-04-01,5.55388
1990-07-01,5.49118
1990-10-01,5.42669
1991-01-01,5.36578
1991-04-01,5.25167
1991-07-01,5.15262
1991-10-01,5.03140
1992-01-01,4.87502
1992-04-01,4.77967
1992-07-01,4.70883
1992-10-01,4.67150
1993-01-01,4.65524
1993-04-01,4.65767
1993-07-01,4.71538
1993-10-01,4.76750
1994-01-01,4.84244
1994-04-01,4.93245
1994-07-01,5.04394
1994-10-01,5.13055
1995-01-01,5.25411
1995-04-01,5.40488
1995-07-01,5.53520
1995-10-01,5.60695
1996-01-01,5.66508
1996-04-01,5.68566
1996-07-01,5.72361
1996-10-01,5.78900
1997-01-01,5.73474
1997-04-01,5.71442
1997-07-01,5.72912
1997-10-01,5.71879
1998-01-01,5.64087
1998-04-01,5.68375
1998-07-01,5.69803
1998-10-01,5.77154
1999-01-01,5.81811
1999-04-01,5.91942
1999-07-01,5.99596
1999-10-01,5.97322
2000-01-01,5.94788
2000-04-01,6.05739
2000-07-01,6.19115
2000-10-01,6.35631
2001-01-01,6.46644
2001-04-01,6.60760
2001-07-01,6.56914
2001-10-01,6.71904
2002-01-01,6.61227
2002-04-01,6.57216
2002-07-01,6.56694
2002-10-01,6.51772
2003-01-01,6.48789
2003-04-01,6.43306
2003-07-01,6.35364
2003-10-01,6.36302
2004-01-01,6.34271
2004-04-01,6.28204
2004-07-01,6.30633
2004-10-01,6.23386
2005-01-01,6.30274
2005-04-01,6.25873
2005-07-01,6.17683
2005-10-01,6.10821
2006-01-01,6.07731
2006-04-01,5.98461
2006-07-01,5.94410
2006-10-01,5.92700
2007-01-01,5.90456
2007-04-01,5.92428
2007-07-01,5.96080
2007-10-01,5.98059
2008-01-01,5.94714
2008-04-01,5.77766
2008-07-01,5.82523
2008-10-01,5.80797
2009-01-01,5.75376
2009-04-01,5.57914
2009-07-01,5.50893
2009-10-01,5.35606
2010-01-01,5.27160
2010-04-01,5.12414
2010-07-01,5.02230
2010-10-01,5.01332
2011-01-01,5.04726
2011-04-01,5.02834
2011-07-01,4.99144
2011-10-01,5.00649
2012-01-01,4.93848
2012-04-01,4.94264
2012-07-01,4.98816
2012-10-01,4.88313
2013-01-01,5.10347
2013-04-01,5.11197
2013-07-01,5.13164
2013-10-01,5.18118
2014-01-01,5.18628
2014-04-01,5.21369
2014-07-01,5.24788
2014-10-01,5.27861
