observation_date,DRCCLACBS_20140315
1991-01-01,5.24
1991-04-01,5.45
1991-07-01,5.34
1991-10-01,5.30
1992-01-01,5.26
1992-04-01,5.08
1992-07-01,4.97
1992-10-01,4.69
1993-01-01,4.59
1993-04-01,4.45
1993-07-01,4.07
1993-10-01,3.90
1994-01-01,3.59
1994-04-01,3.27
1994-07-01,3.24
1994-10-01,3.27
1995-01-01,3.46
1995-04-01,3.69
1995-07-01,3.84
1995-10-01,3.93
1996-01-01,4.04
1996-04-01,4.26
1996-07-01,4.46
1996-10-01,4.59
1997-01-01,4.68
1997-04-01,4.72
1997-07-01,4.68
1997-10-01,4.79
1998-01-01,4.74
1998-04-01,4.74
1998-07-01,4.71
1998-10-01,4.70
1999-01-01,4.64
1999-04-01,4.46
1999-07-01,4.54
1999-10-01,4.51
2000-01-01,4.39
2000-04-01,4.49
2000-07-01,4.52
2000-10-01,4.59
2001-01-01,4.79
2001-04-01,4.93
2001-07-01,4.99
2001-10-01,4.75
2002-01-01,4.90
2002-04-01,4.77
2002-07-01,4.87
2002-10-01,4.94
2003-01-01,4.61
2003-04-01,4.52
2003-07-01,4.22
2003-10-01,4.53
2004-01-01,4.13
2004-04-01,4.15
2004-07-01,4.05
2004-10-01,4.12
2005-01-01,3.63
2005-04-01,3.68
2005-07-01,3.88
2005-10-01,3.59
2006-01-01,3.81
2006-04-01,4.16
2006-07-01,4.10
2006-10-01,3.98
2007-01-01,3.95
2007-04-01,4.06
2007-07-01,4.37
2007-10-01,4.58
2008-01-01,4.78
2008-04-01,4.95
2008-07-01,4.75
2008-10-01,5.60
2009-01-01,6.57
2009-04-01,6.83
2009-07-01,6.43
2009-10-01,6.29
2010-01-01,5.83
2010-04-01,5.13
2010-07-01,4.54
2010-10-01,4.13
2011-01-01,3.84
2011-04-01,3.66
2011-07-01,3.44
2011-10-01,3.25
2012-01-01,3.07
2012-04-01,2.91
2012-07-01,2.81
2012-10-01,2.72
2013-01-01,2.64
2013-04-01,2.52
2013-07-01,2.45
2013-10-01,2.39
