observation_date,BABATOTALSAUS_20231215
2004-07-01,159401
2004-08-01,192249
2004-09-01,191323
2004-10-01,191116
2004-11-01,211327
2004-12-01,193043
2005-01-01,201753
2005-02-01,204272
2005-03-01,201642
2005-04-01,204103
2005-05-01,203530
2005-06-01,210098
2005-07-01,208008
2005-08-01,204853
2005-09-01,184634
2005-10-01,230674
2005-11-01,222515
2005-12-01,233396
2006-01-01,216506
2006-02-01,225720
2006-03-01,222488
2006-04-01,223303
2006-05-01,222054
2006-06-01,218255
2006-07-01,220254
2006-08-01,218985
2006-09-01,212125
2006-10-01,206813
2006-11-01,202265
2006-12-01,246876
2007-01-01,206995
2007-02-01,217749
2007-03-01,216101
2007-04-01,214526
2007-05-01,220722
2007-06-01,221769
2007-07-01,221301
2007-08-01,218394
2007-09-01,226182
2007-10-01,233179
2007-11-01,213288
2007-12-01,245230
2008-01-01,207462
2008-02-01,210489
2008-03-01,220368
2008-04-01,219310
2008-05-01,216017
2008-06-01,210777
2008-07-01,209942
2008-08-01,222524
2008-09-01,210354
2008-10-01,205200
2008-11-01,204192
2008-12-01,186884
2009-01-01,207512
2009-02-01,195415
2009-03-01,198733
2009-04-01,198985
2009-05-01,200005
2009-06-01,203053
2009-07-01,207411
2009-08-01,201628
2009-09-01,205711
2009-10-01,203577
2009-11-01,207373
2009-12-01,200977
2010-01-01,201503
2010-02-01,202549
2010-03-01,203452
2010-04-01,206364
2010-05-01,210956
2010-06-01,204826
2010-07-01,207727
2010-08-01,207641
2010-09-01,213903
2010-10-01,213926
2010-11-01,221198
2010-12-01,205659
2011-01-01,220111
2011-02-01,224276
2011-03-01,213471
2011-04-01,213897
2011-05-01,186376
2011-06-01,219922
2011-07-01,216801
2011-08-01,213070
2011-09-01,212512
2011-10-01,205567
2011-11-01,220957
2011-12-01,228291
2012-01-01,185114
2012-02-01,214410
2012-03-01,216920
2012-04-01,217879
2012-05-01,220593
2012-06-01,208522
2012-07-01,208390
2012-08-01,208842
2012-09-01,207147
2012-10-01,212463
2012-11-01,202019
2012-12-01,274203
2013-01-01,219849
2013-02-01,212008
2013-03-01,216731
2013-04-01,213203
2013-05-01,207181
2013-06-01,217050
2013-07-01,218381
2013-08-01,221519
2013-09-01,212882
2013-10-01,223319
2013-11-01,221606
2013-12-01,227796
2014-01-01,209899
2014-02-01,222344
2014-03-01,228195
2014-04-01,225866
2014-05-01,223584
2014-06-01,226293
2014-07-01,222307
2014-08-01,226269
2014-09-01,228250
2014-10-01,226558
2014-11-01,222032
2014-12-01,205592
2015-01-01,256551
2015-02-01,229421
2015-03-01,229307
2015-04-01,230982
2015-05-01,225232
2015-06-01,233979
2015-07-01,237554
2015-08-01,234400
2015-09-01,239942
2015-10-01,243227
2015-11-01,237032
2015-12-01,225822
2016-01-01,260506
2016-02-01,240888
2016-03-01,236690
2016-04-01,243843
2016-05-01,255131
2016-06-01,216651
2016-07-01,261311
2016-08-01,248053
2016-09-01,254587
2016-10-01,245263
2016-11-01,252775
2016-12-01,260422
2017-01-01,263891
2017-02-01,259430
2017-03-01,262166
2017-04-01,261560
2017-05-01,261694
2017-06-01,267673
2017-07-01,267671
2017-08-01,269340
2017-09-01,260269
2017-10-01,272729
2017-11-01,281970
2017-12-01,268735
2018-01-01,296789
2018-02-01,284694
2018-03-01,289558
2018-04-01,286017
2018-05-01,293219
2018-06-01,296851
2018-07-01,291221
2018-08-01,295706
2018-09-01,290596
2018-10-01,286177
2018-11-01,290907
2018-12-01,298229
2019-01-01,276167
2019-02-01,298097
2019-03-01,301439
2019-04-01,293358
2019-05-01,287364
2019-06-01,291042
2019-07-01,280584
2019-08-01,291767
2019-09-01,291661
2019-10-01,298026
2019-11-01,294320
2019-12-01,314391
2020-01-01,281515
2020-02-01,302074
2020-03-01,259808
2020-04-01,235691
2020-05-01,297635
2020-06-01,377273
2020-07-01,545983
2020-08-01,484683
2020-09-01,435294
2020-10-01,411768
2020-11-01,397744
2020-12-01,349864
2021-01-01,486076
2021-02-01,430881
2021-03-01,451076
2021-04-01,498485
2021-05-01,502896
2021-06-01,446495
2021-07-01,441790
2021-08-01,428718
2021-09-01,430306
2021-10-01,430472
2021-11-01,435659
2021-12-01,425258
2022-01-01,434084
2022-02-01,422218
2022-03-01,414698
2022-04-01,433498
2022-05-01,425721
2022-06-01,407494
2022-07-01,421128
2022-08-01,420894
2022-09-01,425480
2022-10-01,433098
2022-11-01,421547
2022-12-01,419970
2023-01-01,426027
2023-02-01,437722
2023-03-01,455928
2023-04-01,443476
2023-05-01,442752
2023-06-01,469970
2023-07-01,474187
2023-08-01,468277
2023-09-01,473189
2023-10-01,472993
