observation_date,TDSP_20170915
1980-01-01,10.62197
1980-04-01,10.70545
1980-07-01,10.46409
1980-10-01,10.25113
1981-01-01,10.31109
1981-04-01,10.45638
1981-07-01,10.35784
1981-10-01,10.42270
1982-01-01,10.50355
1982-04-01,10.56408
1982-07-01,10.46394
1982-10-01,10.41918
1983-01-01,10.39225
1983-04-01,10.41720
1983-07-01,10.42104
1983-10-01,10.47253
1984-01-01,10.52199
1984-04-01,10.65104
1984-07-01,10.75671
1984-10-01,10.91530
1985-01-01,11.25398
1985-04-01,11.34335
1985-07-01,11.63049
1985-10-01,11.75130
1986-01-01,11.77287
1986-04-01,11.84141
1986-07-01,11.94053
1986-10-01,12.08309
1987-01-01,11.94830
1987-04-01,12.08986
1987-07-01,11.95965
1987-10-01,11.82585
1988-01-01,11.77474
1988-04-01,11.75859
1988-07-01,11.71373
1988-10-01,11.59006
1989-01-01,11.57907
1989-04-01,11.74680
1989-07-01,11.80972
1989-10-01,11.76705
1990-01-01,11.66461
1990-04-01,11.62837
1990-07-01,11.60409
1990-10-01,11.61963
1991-01-01,11.60080
1991-04-01,11.46288
1991-07-01,11.35233
1991-10-01,11.14867
1992-01-01,10.87307
1992-04-01,10.69259
1992-07-01,10.55446
1992-10-01,10.48055
1993-01-01,10.42510
1993-04-01,10.37388
1993-07-01,10.42758
1993-10-01,10.39468
1994-01-01,10.41080
1994-04-01,10.46958
1994-07-01,10.60344
1994-10-01,10.72086
1995-01-01,10.90042
1995-04-01,11.10078
1995-07-01,11.20915
1995-10-01,11.24760
1996-01-01,11.26469
1996-04-01,11.28903
1996-07-01,11.33576
1996-10-01,11.39351
1997-01-01,11.34535
1997-04-01,11.34937
1997-07-01,11.35772
1997-10-01,11.31271
1998-01-01,11.16688
1998-04-01,11.18712
1998-07-01,11.17252
1998-10-01,11.23396
1999-01-01,11.29949
1999-04-01,11.45098
1999-07-01,11.57728
1999-10-01,11.56763
2000-01-01,11.51895
2000-04-01,11.68289
2000-07-01,11.85891
2000-10-01,12.08849
2001-01-01,12.19412
2001-04-01,12.40590
2001-07-01,12.33667
2001-10-01,12.63256
2002-01-01,12.40536
2002-04-01,12.34464
2002-07-01,12.38884
2002-10-01,12.37324
2003-01-01,12.36711
2003-04-01,12.27252
2003-07-01,12.13019
2003-10-01,12.19450
2004-01-01,12.16562
2004-04-01,12.10646
2004-07-01,12.22550
2004-10-01,12.23161
2005-01-01,12.53462
2005-04-01,12.54239
2005-07-01,12.56997
2005-10-01,12.59621
2006-01-01,12.58067
2006-04-01,12.67277
2006-07-01,12.77266
2006-10-01,12.85422
2007-01-01,12.89696
2007-04-01,12.98609
2007-07-01,13.08101
2007-10-01,13.21640
2008-01-01,13.08166
2008-04-01,12.70377
2008-07-01,12.81075
2008-10-01,12.78884
2009-01-01,12.69365
2009-04-01,12.34607
2009-07-01,12.20276
2009-10-01,11.96306
2010-01-01,11.73846
2010-04-01,11.43789
2010-07-01,11.23671
2010-10-01,11.06310
2011-01-01,10.83885
2011-04-01,10.73927
2011-07-01,10.61587
2011-10-01,10.51941
2012-01-01,10.30363
2012-04-01,10.19578
2012-07-01,10.18885
2012-10-01,9.89363
2013-01-01,10.27532
2013-04-01,10.20860
2013-07-01,10.15778
2013-10-01,10.16871
2014-01-01,10.07589
2014-04-01,9.99793
2014-07-01,9.94985
2014-10-01,9.92387
2015-01-01,10.02166
2015-04-01,9.96982
2015-07-01,9.97577
2015-10-01,9.99918
2016-01-01,10.01789
2016-04-01,10.00304
2016-07-01,10.00543
2016-10-01,10.04104
2017-01-01,10.04114
