observation_date,TOTCI_20010215
1973-01-03,139.5
1973-01-10,140.2
1973-01-17,140.8
1973-01-24,141.5
1973-01-31,142.3
1973-02-07,143.7
1973-02-14,145.7
1973-02-21,146.8
1973-02-28,147.9
1973-03-07,149.6
1973-03-14,150.6
1973-03-21,151.7
1973-03-28,152.3
1973-04-04,152.1
1973-04-11,152.9
1973-04-18,153.5
1973-04-25,154.1
1973-05-02,154.3
1973-05-09,154.7
1973-05-16,155.8
1973-05-23,156.6
1973-05-30,156.9
1973-06-06,158.0
1973-06-13,158.7
1973-06-20,159.5
1973-06-27,159.5
1973-07-04,159.5
1973-07-11,160.6
1973-07-18,161.0
1973-07-25,162.0
1973-08-01,162.7
1973-08-08,163.7
1973-08-15,164.4
1973-08-22,164.6
1973-08-29,163.6
1973-09-05,163.6
1973-09-12,164.0
1973-09-19,163.6
1973-09-26,164.5
1973-10-03,164.4
1973-10-10,164.9
1973-10-17,164.8
1973-10-24,165.0
1973-10-31,164.6
1973-11-07,164.9
1973-11-14,165.4
1973-11-21,166.1
1973-11-28,165.9
1973-12-05,166.3
1973-12-12,166.7
1973-12-19,167.2
1973-12-26,167.9
1974-01-02,168.3
1974-01-09,168.9
1974-01-16,169.4
1974-01-23,169.6
1974-01-30,169.6
1974-02-06,169.9
1974-02-13,170.5
1974-02-20,170.9
1974-02-27,171.3
1974-03-06,172.4
1974-03-13,173.9
1974-03-20,176.3
1974-03-27,177.7
1974-04-03,179.9
1974-04-10,180.6
1974-04-17,182.2
1974-04-24,182.1
1974-05-01,183.4
1974-05-08,183.6
1974-05-15,184.4
1974-05-22,184.6
1974-05-29,185.0
1974-06-05,184.8
1974-06-12,186.0
1974-06-19,187.1
1974-06-26,187.6
1974-07-03,188.9
1974-07-10,189.6
1974-07-17,190.7
1974-07-24,191.1
1974-07-31,191.0
1974-08-07,191.5
1974-08-14,192.4
1974-08-21,193.3
1974-08-28,193.4
1974-09-04,193.5
1974-09-11,193.9
1974-09-18,194.1
1974-09-25,194.1
1974-10-02,194.0
1974-10-09,194.2
1974-10-16,195.4
1974-10-23,195.6
1974-10-30,195.8
1974-11-06,196.7
1974-11-13,197.0
1974-11-20,197.1
1974-11-27,198.1
1974-12-04,197.7
1974-12-11,198.2
1974-12-18,198.9
1974-12-25,198.7
1975-01-01,199.5
1975-01-08,199.8
1975-01-15,199.3
1975-01-22,198.8
1975-01-29,198.1
1975-02-05,197.5
1975-02-12,197.0
1975-02-19,197.0
1975-02-26,196.7
1975-03-05,196.6
1975-03-12,195.5
1975-03-19,195.4
1975-03-26,195.0
1975-04-02,194.4
1975-04-09,194.5
1975-04-16,194.8
1975-04-23,193.9
1975-04-30,194.1
1975-05-07,193.4
1975-05-14,193.3
1975-05-21,192.9
1975-05-28,192.4
1975-06-04,191.2
