observation_date,DGORDER_20120915
1992-02-01,114563
1992-03-01,119920
1992-04-01,124613
1992-05-01,125664
1992-06-01,122958
1992-07-01,122702
1992-08-01,120348
1992-09-01,120597
1992-10-01,127727
1992-11-01,122512
1992-12-01,126277
1993-01-01,121319
1993-02-01,128864
1993-03-01,126650
1993-04-01,127560
1993-05-01,126689
1993-06-01,130061
1993-07-01,128315
1993-08-01,129376
1993-09-01,127234
1993-10-01,133181
1993-11-01,130927
1993-12-01,133513
1994-01-01,138471
1994-02-01,137128
1994-03-01,136392
1994-04-01,140400
1994-05-01,142655
1994-06-01,145123
1994-07-01,144965
1994-08-01,146018
1994-09-01,145601
1994-10-01,149724
1994-11-01,150258
1994-12-01,152584
1995-01-01,150319
1995-02-01,153996
1995-03-01,152581
1995-04-01,151445
1995-05-01,152848
1995-06-01,150245
1995-07-01,149051
1995-08-01,154463
1995-09-01,160329
1995-10-01,155241
1995-11-01,156600
1995-12-01,163056
1996-01-01,155872
1996-02-01,150866
1996-03-01,164855
1996-04-01,156969
1996-05-01,164409
1996-06-01,164948
1996-07-01,163306
1996-08-01,157490
1996-09-01,165793
1996-10-01,165191
1996-11-01,170771
1996-12-01,162237
1997-01-01,161768
1997-02-01,170338
1997-03-01,167850
1997-04-01,173440
1997-05-01,168682
1997-06-01,174933
1997-07-01,179038
1997-08-01,176468
1997-09-01,178111
1997-10-01,178709
1997-11-01,191175
1997-12-01,173568
1998-01-01,174404
1998-02-01,181084
1998-03-01,177262
1998-04-01,181138
1998-05-01,179988
1998-06-01,172851
1998-07-01,170068
1998-08-01,179312
1998-09-01,180791
1998-10-01,179359
1998-11-01,182188
1998-12-01,179233
1999-01-01,185758
1999-02-01,185446
1999-03-01,184967
1999-04-01,182971
1999-05-01,186403
1999-06-01,182604
1999-07-01,188894
1999-08-01,189536
1999-09-01,188817
1999-10-01,194511
1999-11-01,187058
1999-12-01,196441
2000-01-01,201454
2000-02-01,183947
2000-03-01,192039
2000-04-01,194924
2000-05-01,188607
2000-06-01,220266
2000-07-01,189463
2000-08-01,189011
2000-09-01,198864
2000-10-01,186657
2000-11-01,189748
2000-12-01,188174
2001-01-01,177014
2001-02-01,180530
2001-03-01,182283
2001-04-01,171600
2001-05-01,178419
2001-06-01,176177
2001-07-01,169939
2001-08-01,170621
2001-09-01,163543
2001-10-01,172087
2001-11-01,163487
2001-12-01,166042
2002-01-01,162363
2002-02-01,171399
2002-03-01,168011
2002-04-01,171682
2002-05-01,172587
2002-06-01,165842
2002-07-01,174574
2002-08-01,177739
2002-09-01,167316
2002-10-01,168738
2002-11-01,169832
2002-12-01,163685
2003-01-01,168525
2003-02-01,173246
2003-03-01,173067
2003-04-01,169366
2003-05-01,171212
2003-06-01,173449
2003-07-01,173880
2003-08-01,173556
2003-09-01,178277
2003-10-01,183477
2003-11-01,182135
2003-12-01,181386
2004-01-01,176359
2004-02-01,180330
2004-03-01,191973
2004-04-01,184332
2004-05-01,183778
2004-06-01,184981
2004-07-01,187002
2004-08-01,185023
2004-09-01,188702
2004-10-01,185242
2004-11-01,193325
2004-12-01,193415
2005-01-01,193026
2005-02-01,195213
2005-03-01,187520
2005-04-01,194788
2005-05-01,206188
2005-06-01,210330
2005-07-01,196455
2005-08-01,205723
2005-09-01,204225
2005-10-01,210498
2005-11-01,222570
2005-12-01,220544
2006-01-01,207399
2006-02-01,217311
2006-03-01,226907
2006-04-01,214261
2006-05-01,215647
2006-06-01,221699
2006-07-01,212299
2006-08-01,210965
2006-09-01,235946
2006-10-01,217414
2006-11-01,226172
2006-12-01,229559
2007-01-01,217949
2007-02-01,221264
2007-03-01,228946
2007-04-01,233464
2007-05-01,227836
2007-06-01,230166
2007-07-01,240168
2007-08-01,233815
2007-09-01,226612
2007-10-01,229208
2007-11-01,232245
2007-12-01,243721
2008-01-01,236580
2008-02-01,232551
2008-03-01,231230
2008-04-01,230256
2008-05-01,230340
2008-06-01,229731
2008-07-01,226772
2008-08-01,215684
2008-09-01,212732
2008-10-01,191391
2008-11-01,183260
2008-12-01,172294
2009-01-01,147622
2009-02-01,143087
2009-03-01,141359
2009-04-01,141770
2009-05-01,147232
2009-06-01,145001
2009-07-01,157845
2009-08-01,154150
2009-09-01,157844
2009-10-01,160813
2009-11-01,158859
2009-12-01,158938
2010-01-01,181044
2010-02-01,178696
2010-03-01,181812
2010-04-01,189700
2010-05-01,189681
2010-06-01,190874
2010-07-01,198891
2010-08-01,192793
2010-09-01,205669
2010-10-01,197079
2010-11-01,200808
2010-12-01,198431
2011-01-01,202542
2011-02-01,195640
2011-03-01,211397
2011-04-01,201627
2011-05-01,207662
2011-06-01,205297
2011-07-01,219949
2011-08-01,212790
2011-09-01,212966
2011-10-01,212058
2011-11-01,219259
2011-12-01,230392
2012-01-01,219106
2012-02-01,223578
2012-03-01,215281
2012-04-01,214666
2012-05-01,217864
2012-06-01,221368
2012-07-01,230519
