observation_date,TDSP_20060715
1980-01-01,11.14
1980-04-01,11.16
1980-07-01,10.88
1980-10-01,10.59
1981-01-01,10.63
1981-04-01,10.73
1981-07-01,10.60
1981-10-01,10.65
1982-01-01,10.72
1982-04-01,10.75
1982-07-01,10.65
1982-10-01,10.62
1983-01-01,10.58
1983-04-01,10.57
1983-07-01,10.57
1983-10-01,10.62
1984-01-01,10.65
1984-04-01,10.77
1984-07-01,10.85
1984-10-01,10.98
1985-01-01,11.31
1985-04-01,11.39
1985-07-01,11.74
1985-10-01,11.84
1986-01-01,11.86
1986-04-01,11.96
1986-07-01,12.10
1986-10-01,12.27
1987-01-01,12.12
1987-04-01,12.28
1987-07-01,12.13
1987-10-01,11.98
1988-01-01,11.93
1988-04-01,11.92
1988-07-01,11.87
1988-10-01,11.75
1989-01-01,11.72
1989-04-01,11.90
1989-07-01,11.99
1989-10-01,12.03
1990-01-01,11.97
1990-04-01,11.96
1990-07-01,11.95
1990-10-01,11.97
1991-01-01,11.95
1991-04-01,11.80
1991-07-01,11.70
1991-10-01,11.52
1992-01-01,11.28
1992-04-01,11.13
1992-07-01,10.98
1992-10-01,10.80
1993-01-01,11.02
1993-04-01,10.84
1993-07-01,10.90
1993-10-01,10.79
1994-01-01,10.97
1994-04-01,10.96
1994-07-01,11.06
1994-10-01,11.16
1995-01-01,11.37
1995-04-01,11.60
1995-07-01,11.75
1995-10-01,11.84
1996-01-01,11.86
1996-04-01,11.94
1996-07-01,12.02
1996-10-01,12.07
1997-01-01,12.07
1997-04-01,12.12
1997-07-01,12.13
1997-10-01,12.10
1998-01-01,12.00
1998-04-01,12.03
1998-07-01,12.02
1998-10-01,12.06
1999-01-01,12.13
1999-04-01,12.27
1999-07-01,12.41
1999-10-01,12.38
2000-01-01,12.28
2000-04-01,12.48
2000-07-01,12.59
2000-10-01,12.80
2001-01-01,12.88
2001-04-01,13.05
2001-07-01,12.84
2001-10-01,13.20
2002-01-01,13.01
2002-04-01,13.05
2002-07-01,13.19
2002-10-01,13.23
2003-01-01,13.19
2003-04-01,13.16
2003-07-01,13.05
2003-10-01,13.11
2004-01-01,13.04
2004-04-01,13.06
2004-07-01,13.25
2004-10-01,13.10
2005-01-01,13.38
2005-04-01,13.54
2005-07-01,13.79
2005-10-01,13.81
2006-01-01,13.93
