observation_date,BOGZ1FL153064486Q_20200915
1945-10-01,22.5179794373
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,19.8818536207
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,18.3447163302
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,17.5622604131
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,18.0910772598
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,19.4658914776
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,20.0949186825
1952-01-01,20.0202514579
1952-04-01,20.3604156883
1952-07-01,20.0909964248
1952-10-01,19.0182028909
1953-01-01,18.6087142311
1953-04-01,17.6960194445
1953-07-01,17.1015061605
1953-10-01,18.1030589764
1954-01-01,18.9032468807
1954-04-01,19.9910177758
1954-07-01,21.1612147489
1954-10-01,21.0795042613
1955-01-01,21.3526011859
1955-04-01,22.6955196103
1955-07-01,23.3292679564
1955-10-01,23.1809584905
1956-01-01,23.9520343427
1956-04-01,23.1289050838
1956-07-01,22.4943527156
1956-10-01,23.5360556517
1957-01-01,22.4097455657
1957-04-01,23.1901454066
1957-07-01,21.2780742288
1957-10-01,21.1110001533
1958-01-01,21.7194930254
1958-04-01,22.4610804031
1958-07-01,23.8549821674
1958-10-01,24.2303914226
1959-01-01,24.4103858314
1959-04-01,24.8961306679
1959-07-01,24.3293446423
1959-10-01,25.1557739389
1960-01-01,23.8510927233
1960-04-01,24.0134649515
1960-07-01,22.5027104613
1960-10-01,24.2704631627
1961-01-01,26.0268816177
1961-04-01,25.8001850208
1961-07-01,25.9842921764
1961-10-01,27.0793157320
1962-01-01,26.4227936418
1962-04-01,21.3074836876
1962-07-01,21.9635767130
1962-10-01,25.4976585274
1963-01-01,25.9011166185
1963-04-01,26.6189450774
1963-07-01,27.2091438835
1963-10-01,25.8300107856
1964-01-01,26.8260203862
1964-04-01,27.1335070681
1964-07-01,27.4641232988
1964-10-01,27.5363277421
1965-01-01,27.7596408723
1965-04-01,26.6589707611
1965-07-01,27.9836012143
1965-10-01,28.7687197939
1966-01-01,27.8283716386
1966-04-01,26.5443069726
1966-07-01,24.1172258786
1966-10-01,25.0159493126
1967-01-01,27.0807790519
1967-04-01,27.0154749068
1967-07-01,27.8199453329
1967-10-01,28.0721025271
1968-01-01,26.1520310087
1968-04-01,28.3536835711
1968-07-01,28.2303379605
1968-10-01,30.0499764082
1969-01-01,28.4934094021
1969-04-01,27.1553071937
1969-07-01,26.2671976820
1969-10-01,24.6340311738
1970-01-01,23.8029660613
1970-04-01,19.4170728585
1970-07-01,21.5924292672
1970-10-01,22.8333422266
1971-01-01,24.1106243835
1971-04-01,23.6031848772
1971-07-01,22.8628680660
1971-10-01,23.7286174122
1972-01-01,24.2731957638
1972-04-01,23.7715570340
1972-07-01,23.7025243924
1972-10-01,25.7329112470
1973-01-01,23.7018092521
1973-04-01,21.7158406330
1973-07-01,22.2321099593
1973-10-01,18.7782413494
