observation_date,GDPC1_20020115
1947-01-01,1481.7
1947-04-01,1489.4
1947-07-01,1493.1
1947-10-01,1516.4
1948-01-01,1537.9
1948-04-01,1562.0
1948-07-01,1568.4
1948-10-01,1571.4
1949-01-01,1549.4
1949-04-01,1545.1
1949-07-01,1562.6
1949-10-01,1546.5
1950-01-01,1610.5
1950-04-01,1658.8
1950-07-01,1723.0
1950-10-01,1753.9
1951-01-01,1773.5
1951-04-01,1803.7
1951-07-01,1839.8
1951-10-01,1843.3
1952-01-01,1864.7
1952-04-01,1866.2
1952-07-01,1878.0
1952-10-01,1940.2
1953-01-01,1976.0
1953-04-01,1992.2
1953-07-01,1979.5
1953-10-01,1947.8
1954-01-01,1938.1
1954-04-01,1941.0
1954-07-01,1962.0
1954-10-01,2000.9
1955-01-01,2058.1
1955-04-01,2091.0
1955-07-01,2118.9
1955-10-01,2130.1
1956-01-01,2121.0
1956-04-01,2137.7
1956-07-01,2135.3
1956-10-01,2170.4
1957-01-01,2182.7
1957-04-01,2177.7
1957-07-01,2198.9
1957-10-01,2176.0
1958-01-01,2117.4
1958-04-01,2129.7
1958-07-01,2177.5
1958-10-01,2226.5
1959-01-01,2273.0
1959-04-01,2332.4
1959-07-01,2331.4
1959-10-01,2339.1
1960-01-01,2391.0
1960-04-01,2379.2
1960-07-01,2383.6
1960-10-01,2352.9
1961-01-01,2366.5
1961-04-01,2410.8
1961-07-01,2450.4
1961-10-01,2500.4
1962-01-01,2544.0
1962-04-01,2571.5
1962-07-01,2596.8
1962-10-01,2603.3
1963-01-01,2634.1
1963-04-01,2668.4
1963-07-01,2719.6
1963-10-01,2739.4
1964-01-01,2800.5
1964-04-01,2833.8
1964-07-01,2872.0
1964-10-01,2879.5
1965-01-01,2950.1
1965-04-01,2989.9
1965-07-01,3050.7
1965-10-01,3123.6
1966-01-01,3201.1
1966-04-01,3213.2
1966-07-01,3233.6
1966-10-01,3261.8
1967-01-01,3291.8
1967-04-01,3289.7
1967-07-01,3313.5
1967-10-01,3338.3
1968-01-01,3406.2
1968-04-01,3464.8
1968-07-01,3489.2
1968-10-01,3504.1
1969-01-01,3558.3
1969-04-01,3567.6
1969-07-01,3588.3
1969-10-01,3571.4
1970-01-01,3566.5
1970-04-01,3573.9
1970-07-01,3605.2
1970-10-01,3566.5
1971-01-01,3666.1
1971-04-01,3686.2
1971-07-01,3714.5
1971-10-01,3723.8
1972-01-01,3796.9
1972-04-01,3883.8
1972-07-01,3922.3
1972-10-01,3990.5
1973-01-01,4092.3
1973-04-01,4133.3
1973-07-01,4117.0
1973-10-01,4151.1
1974-01-01,4119.3
1974-04-01,4130.4
1974-07-01,4084.5
1974-10-01,4062.0
1975-01-01,4010.0
1975-04-01,4045.2
1975-07-01,4115.4
1975-10-01,4167.2
1976-01-01,4266.1
1976-04-01,4301.5
1976-07-01,4321.9
1976-10-01,4357.4
1977-01-01,4410.5
1977-04-01,4489.8
1977-07-01,4570.6
1977-10-01,4576.1
1978-01-01,4588.9
1978-04-01,4765.7
1978-07-01,4811.7
1978-10-01,4876.0
1979-01-01,4888.3
1979-04-01,4891.4
1979-07-01,4926.2
1979-10-01,4942.6
1980-01-01,4958.9
1980-04-01,4857.8
1980-07-01,4850.3
1980-10-01,4936.6
1981-01-01,5032.5
1981-04-01,4997.3
1981-07-01,5056.8
1981-10-01,4997.1
1982-01-01,4914.3
1982-04-01,4935.5
1982-07-01,4912.1
1982-10-01,4915.6
1983-01-01,4972.4
1983-04-01,5089.8
1983-07-01,5180.4
1983-10-01,5286.8
1984-01-01,5402.3
1984-04-01,5493.8
1984-07-01,5541.3
1984-10-01,5583.1
1985-01-01,5629.7
1985-04-01,5673.8
1985-07-01,5758.6
1985-10-01,5806.0
1986-01-01,5858.9
1986-04-01,5883.3
1986-07-01,5937.9
1986-10-01,5969.5
1987-01-01,6013.3
1987-04-01,6077.2
1987-07-01,6128.1
1987-10-01,6234.4
1988-01-01,6275.9
1988-04-01,6349.8
1988-07-01,6382.3
1988-10-01,6465.2
1989-01-01,6543.8
1989-04-01,6579.4
1989-07-01,6610.6
1989-10-01,6633.5
1990-01-01,6716.3
1990-04-01,6731.7
1990-07-01,6719.4
1990-10-01,6664.2
1991-01-01,6631.4
1991-04-01,6668.5
1991-07-01,6684.9
1991-10-01,6720.9
1992-01-01,6783.3
1992-04-01,6846.8
1992-07-01,6899.7
1992-10-01,6990.6
1993-01-01,6988.7
1993-04-01,7031.2
1993-07-01,7062.0
1993-10-01,7168.7
1994-01-01,7229.4
1994-04-01,7330.2
1994-07-01,7370.2
1994-10-01,7461.1
1995-01-01,7488.7
1995-04-01,7503.3
1995-07-01,7561.4
1995-10-01,7621.9
1996-01-01,7676.4
1996-04-01,7802.9
1996-07-01,7841.9
1996-10-01,7931.3
1997-01-01,8016.4
1997-04-01,8131.9
1997-07-01,8216.6
1997-10-01,8272.9
1998-01-01,8396.3
1998-04-01,8442.9
1998-07-01,8528.5
1998-10-01,8667.9
1999-01-01,8733.5
1999-04-01,8771.2
1999-07-01,8871.5
1999-10-01,9049.9
2000-01-01,9102.5
2000-04-01,9229.4
2000-07-01,9260.1
2000-10-01,9303.9
2001-01-01,9334.5
2001-04-01,9341.7
2001-07-01,9310.4
