observation_date,USACSCICP02STSAM_20220815
1960-01-01,107.59436920
1960-02-01,105.19142830
1960-03-01,102.78848740
1960-04-01,100.38554650
1960-05-01,101.78427330
1960-06-01,103.18300010
1960-07-01,104.58172690
1960-08-01,102.03532680
1960-09-01,99.48892675
1960-10-01,96.94252667
1960-11-01,97.48049852
1960-12-01,98.01847037
1961-01-01,98.55644221
1961-02-01,98.87922532
1961-03-01,99.20200843
1961-04-01,99.52479154
1961-05-01,101.92773240
1961-06-01,104.33067340
1961-07-01,106.73361430
1961-08-01,104.50999730
1961-09-01,102.28638030
1961-10-01,100.06276340
1961-11-01,102.53743390
1961-12-01,105.01210440
1962-01-01,107.48677490
1962-02-01,105.87285930
1962-03-01,104.25894380
1962-04-01,102.64502820
1962-05-01,101.28216620
1962-06-01,99.91930423
1962-07-01,98.55644221
1962-08-01,99.77584506
1962-09-01,100.99524790
1962-10-01,102.21465080
1962-11-01,103.43405360
1962-12-01,104.65345650
1963-01-01,105.87285930
1963-02-01,103.46991840
1963-03-01,101.06697750
1963-04-01,98.66403658
1963-05-01,100.34968170
1963-06-01,102.03532680
1963-07-01,103.72097190
1963-08-01,103.00367610
1963-09-01,102.28638030
1963-10-01,101.56908460
1963-11-01,103.39818880
1963-12-01,105.22729310
1964-01-01,107.05639740
1964-02-01,106.69774950
1964-03-01,106.33910160
1964-04-01,105.98045370
1964-05-01,106.73361430
1964-06-01,107.48677490
1964-07-01,108.23993540
1964-08-01,107.98888200
1964-09-01,107.73782840
1964-10-01,107.48677490
1964-11-01,108.23993540
1964-12-01,108.99309600
1965-01-01,109.74625660
1965-02-01,110.96565940
1965-03-01,112.18506240
1965-04-01,113.40446520
1965-05-01,112.68716930
1965-06-01,111.96987360
1965-07-01,111.25257780
1965-08-01,111.07325380
1965-09-01,110.89392990
1965-10-01,110.71460590
1965-11-01,109.67452700
1965-12-01,108.63444820
1966-01-01,107.59436920
1966-02-01,106.05218330
1966-03-01,104.50999730
1966-04-01,102.96781140
1966-05-01,101.35389580
1966-06-01,99.73998027
1966-07-01,98.12606474
1966-08-01,97.08598583
1966-09-01,96.04590693
1966-10-01,95.00582803
1966-11-01,97.08598583
1966-12-01,99.16614364
1967-01-01,101.24630140
1967-02-01,101.89186770
1967-03-01,102.53743390
1967-04-01,103.18300010
1967-05-01,103.57751280
1967-06-01,103.97202550
1967-07-01,104.36653820
1967-08-01,102.89608180
1967-09-01,101.42562540
1967-10-01,99.95516901
1967-11-01,101.49735500
1967-12-01,103.03954090
1968-01-01,104.58172690
1968-02-01,102.86021700
1968-03-01,101.13870710
1968-04-01,99.41719717
1968-05-01,99.41719717
1968-06-01,99.41719717
1968-07-01,99.41719717
1968-08-01,99.16614364
1968-09-01,98.91509011
1968-10-01,98.66403658
1968-11-01,100.99524790
1968-12-01,103.32645920
1969-01-01,105.65767060
1969-02-01,103.25472970
1969-03-01,100.85178880
1969-04-01,98.44884784
1969-05-01,96.61974357
1969-06-01,94.79063929
1969-07-01,92.96153501
1969-08-01,90.55859410
1969-09-01,88.15565318
1969-10-01,85.75271227
1969-11-01,85.17887564
1969-12-01,84.60503900
1970-01-01,84.03120237
1970-02-01,83.06285304
1970-03-01,82.09450372
1970-04-01,81.12615440
1970-05-01,81.91517977
1970-06-01,82.70420515
1970-07-01,83.49323052
1970-08-01,81.62826146
1970-09-01,79.76329238
1970-10-01,77.89832332
1970-11-01,79.94261634
1970-12-01,81.98690935
1971-01-01,84.03120237
1971-02-01,84.78436295
1971-03-01,85.53752354
1971-04-01,86.29068412
1971-05-01,86.97211512
1971-06-01,87.65354613
1971-07-01,88.33497714
1971-08-01,88.29911235
1971-09-01,88.26324755
1971-10-01,88.22738277
1971-11-01,92.10078006
1971-12-01,95.97417735
1972-01-01,99.84757464
1972-02-01,98.34125347
1972-03-01,96.83493231
1972-04-01,95.32861114
1972-05-01,97.69568726
1972-06-01,100.06276340
1972-07-01,102.42983950
1972-08-01,100.81592400
1972-09-01,99.20200843
1972-10-01,97.58809289
1972-11-01,94.43199140
1972-12-01,91.27588989
1973-01-01,88.11978840
1973-02-01,86.36241370
1973-03-01,84.60503900
1973-04-01,82.84766431
1973-05-01,81.05442481
1973-06-01,79.26118533
1973-07-01,77.46794584
1973-08-01,79.08186138
1973-09-01,80.69577692
1973-10-01,82.30969246
1973-11-01,77.03756837
1973-12-01,71.76544428
1974-01-01,66.49332018
1974-02-01,70.18739352
1974-03-01,73.88146687
1974-04-01,77.57554021
1974-05-01,74.81395140
1974-06-01,72.05236260
1974-07-01,69.29077378
1974-08-01,67.53339909
1974-09-01,65.77602438
1974-10-01,64.01864969
1974-11-01,63.33721869
1974-12-01,62.65578768
1975-01-01,61.97435668
1975-02-01,67.42580472
1975-03-01,72.87725275
1975-04-01,78.32870080
1975-05-01,79.36877970
1975-06-01,80.40885860
1975-07-01,81.44893751
1975-08-01,81.41307272
1975-09-01,81.37720792
1975-10-01,81.34134314
1975-11-01,84.56917421
1975-12-01,87.79700529
1976-01-01,91.02483637
1976-02-01,90.55859410
1976-03-01,90.09235183
1976-04-01,89.62610957
1976-05-01,91.92145611
1976-06-01,94.21680266
1976-07-01,96.51214920
1976-08-01,95.54379987
1976-09-01,94.57545055
1976-10-01,93.60710123
1976-11-01,93.64296601
1976-12-01,93.67883081
1977-01-01,93.71469560
1977-02-01,94.82650408
1977-03-01,95.93831257
1977-04-01,97.05012104
1977-05-01,96.61974357
1977-06-01,96.18936609
1977-07-01,95.75898861
1977-08-01,94.10920829
1977-09-01,92.45942795
1977-10-01,90.80964763
1977-11-01,90.16408141
1977-12-01,89.51851520
1978-01-01,90.05648704
1978-02-01,90.70205326
1978-03-01,84.78436295
1978-04-01,87.79700529
1978-05-01,89.19573209
1978-06-01,86.07549538
1978-07-01,88.65776024
1978-08-01,84.35398547
1978-09-01,86.50587286
1978-10-01,85.32233480
1978-11-01,80.69577692
1978-12-01,71.11987806
1979-01-01,77.57554021
1979-02-01,79.51223886
1979-03-01,73.59454855
1979-04-01,71.01228369
1979-05-01,73.27176544
1979-06-01,70.79709495
1979-07-01,64.98699901
1979-08-01,69.39836815
1979-09-01,71.76544428
1979-10-01,66.81610329
1979-11-01,68.10723572
1979-12-01,65.63256523
1980-01-01,72.08822738
1980-02-01,71.98063301
1980-03-01,60.79081861
1980-04-01,56.70223258
1980-05-01,55.62628889
1980-06-01,63.15789474
1980-07-01,67.03129203
1980-08-01,72.41101049
1980-09-01,79.29705012
1980-10-01,80.69577692
1980-11-01,82.52488120
1980-12-01,69.39836815
1981-01-01,76.82237963
1981-02-01,71.98063301
1981-03-01,71.55025554
1981-04-01,77.89832332
1981-05-01,82.09450372
1981-06-01,78.65148391
1981-07-01,79.72742760
1981-08-01,83.06285304
1981-09-01,78.65148391
1981-10-01,75.63884157
1981-11-01,67.24648077
1981-12-01,69.18317941
1982-01-01,76.39200215
1982-02-01,71.55025554
1982-03-01,66.70850892
1982-04-01,70.47431184
