observation_date,TOTCI_20090215
1973-01-03,135.1
1973-01-10,135.6
1973-01-17,136.4
1973-01-24,137.3
1973-01-31,138.7
1973-02-07,140.2
1973-02-14,142.0
1973-02-21,143.0
1973-02-28,144.1
1973-03-07,145.5
1973-03-14,145.8
1973-03-21,146.5
1973-03-28,147.4
1973-04-04,147.8
1973-04-11,148.6
1973-04-18,149.2
1973-04-25,150.0
1973-05-02,150.2
1973-05-09,150.6
1973-05-16,151.2
1973-05-23,152.2
1973-05-30,152.7
1973-06-06,154.3
1973-06-13,154.5
1973-06-20,154.9
1973-06-27,155.1
1973-07-04,155.5
1973-07-11,156.6
1973-07-18,157.0
1973-07-25,158.2
1973-08-01,158.9
1973-08-08,160.1
1973-08-15,160.4
1973-08-22,160.6
1973-08-29,160.0
1973-09-05,160.4
1973-09-12,160.5
1973-09-19,160.0
1973-09-26,160.8
1973-10-03,161.1
1973-10-10,161.5
1973-10-17,161.0
1973-10-24,161.4
1973-10-31,160.7
1973-11-07,161.4
1973-11-14,161.3
1973-11-21,161.9
1973-11-28,161.8
1973-12-05,162.5
1973-12-12,162.5
1973-12-19,162.6
1973-12-26,163.6
1974-01-02,162.9
1974-01-09,163.5
1974-01-16,164.5
1974-01-23,165.1
1974-01-30,165.5
1974-02-06,165.9
1974-02-13,166.2
1974-02-20,166.4
1974-02-27,166.8
1974-03-06,167.9
1974-03-13,168.6
1974-03-20,170.5
1974-03-27,172.0
1974-04-03,174.8
1974-04-10,175.7
1974-04-17,177.1
1974-04-24,177.2
1974-05-01,178.6
1974-05-08,178.9
1974-05-15,179.2
1974-05-22,179.5
1974-05-29,180.2
1974-06-05,180.8
1974-06-12,181.6
1974-06-19,182.1
1974-06-26,182.8
1974-07-03,184.5
1974-07-10,185.4
1974-07-17,186.3
1974-07-24,187.0
1974-07-31,186.9
1974-08-07,187.7
1974-08-14,188.2
1974-08-21,189.0
1974-08-28,189.4
1974-09-04,190.1
1974-09-11,190.4
1974-09-18,190.3
1974-09-25,190.2
1974-10-02,190.5
1974-10-09,190.8
1974-10-16,191.3
1974-10-23,191.9
1974-10-30,191.7
1974-11-06,192.4
1974-11-13,192.0
1974-11-20,192.0
1974-11-27,192.9
1974-12-04,192.8
1974-12-11,193.0
1974-12-18,193.0
1974-12-25,193.4
1975-01-01,192.8
1975-01-08,192.9
1975-01-15,193.1
1975-01-22,193.2
1975-01-29,193.0
1975-02-05,192.7
1975-02-12,192.1
1975-02-19,191.8
1975-02-26,191.5
1975-03-05,191.5
1975-03-12,189.8
1975-03-19,189.0
1975-03-26,188.8
1975-04-02,188.8
1975-04-09,189.3
1975-04-16,189.2
1975-04-23,188.7
1975-04-30,188.9
1975-05-07,188.4
1975-05-14,187.9
1975-05-21,187.6
1975-05-28,187.4
1975-06-04,186.9
1975-06-11,187.5
1975-06-18,186.2
1975-06-25,186.0
1975-07-02,185.8
1975-07-09,186.0
1975-07-16,185.5
1975-07-23,185.6
1975-07-30,185.3
1975-08-06,185.0
1975-08-13,185.1
1975-08-20,184.9
1975-08-27,185.2
1975-09-03,185.2
1975-09-10,185.4
1975-09-17,184.5
1975-09-24,184.5
1975-10-01,185.0
1975-10-08,184.7
1975-10-15,184.4
1975-10-22,184.4
1975-10-29,184.2
1975-11-05,184.1
1975-11-12,184.0
1975-11-19,183.5
1975-11-26,184.3
1975-12-03,184.0
1975-12-10,184.6
1975-12-17,184.0
1975-12-24,184.4
1975-12-31,184.2
1976-01-07,182.7
1976-01-14,183.6
1976-01-21,184.0
1976-01-28,184.3
1976-02-04,184.4
1976-02-11,184.2
1976-02-18,183.6
1976-02-25,183.5
1976-03-03,183.0
1976-03-10,182.6
1976-03-17,181.1
1976-03-24,181.1
1976-03-31,180.2
1976-04-07,179.8
1976-04-14,179.3
1976-04-21,179.8
1976-04-28,180.3
1976-05-05,180.4
1976-05-12,180.3
1976-05-19,180.4
1976-05-26,181.2
1976-06-02,181.9
1976-06-09,181.9
1976-06-16,180.9
1976-06-23,181.0
1976-06-30,182.0
1976-07-07,181.3
1976-07-14,181.4
1976-07-21,181.8
1976-07-28,181.9
1976-08-04,181.5
1976-08-11,182.4
1976-08-18,182.0
1976-08-25,182.8
1976-09-01,183.2
1976-09-08,183.6
1976-09-15,183.6
1976-09-22,183.8
1976-09-29,183.9
1976-10-06,184.0
1976-10-13,183.7
1976-10-20,184.5
1976-10-27,185.1
1976-11-03,185.1
1976-11-10,185.0
1976-11-17,185.2
1976-11-24,186.0
1976-12-01,185.8
1976-12-08,186.6
1976-12-15,186.2
1976-12-22,186.6
1976-12-29,186.1
1977-01-05,185.6
1977-01-12,186.6
1977-01-19,187.2
1977-01-26,187.8
1977-02-02,188.5
1977-02-09,188.9
1977-02-16,189.1
1977-02-23,189.8
1977-03-02,190.6
1977-03-09,191.0
1977-03-16,191.0
1977-03-23,191.7
1977-03-30,191.6
1977-04-06,192.0
1977-04-13,192.3
1977-04-20,192.8
1977-04-27,193.5
1977-05-04,193.3
1977-05-11,193.9
1977-05-18,194.0
1977-05-25,195.0
1977-06-01,195.3
1977-06-08,195.7
1977-06-15,195.6
1977-06-22,196.5
1977-06-29,196.8
1977-07-06,196.6
1977-07-13,197.1
1977-07-20,197.7
1977-07-27,199.2
1977-08-03,199.2
1977-08-10,200.0
1977-08-17,199.8
1977-08-24,200.8
1977-08-31,201.4
1977-09-07,201.6
1977-09-14,201.1
1977-09-21,201.9
1977-09-28,201.8
1977-10-05,202.0
1977-10-12,202.7
1977-10-19,203.1
1977-10-26,204.4
1977-11-02,204.7
1977-11-09,204.8
1977-11-16,204.0
1977-11-23,204.8
1977-11-30,204.7
1977-12-07,205.8
1977-12-14,204.9
1977-12-21,206.2
1977-12-28,206.2
1978-01-04,206.3
1978-01-11,207.9
1978-01-18,208.3
1978-01-25,210.0
1978-02-01,211.3
1978-02-08,211.5
1978-02-15,212.1
1978-02-22,212.9
1978-03-01,214.5
1978-03-08,215.3
1978-03-15,215.8
1978-03-22,215.9
1978-03-29,217.1
1978-04-05,218.1
1978-04-12,219.4
1978-04-19,219.5
1978-04-26,220.6
1978-05-03,221.2
1978-05-10,222.1
1978-05-17,222.4
1978-05-24,223.7
1978-05-31,226.1
1978-06-07,226.1
1978-06-14,225.8
1978-06-21,226.2
1978-06-28,227.4
1978-07-05,227.5
1978-07-12,228.6
1978-07-19,229.1
1978-07-26,230.4
1978-08-02,230.7
1978-08-09,230.5
1978-08-16,230.9
1978-08-23,231.7
1978-08-30,232.1
1978-09-06,233.0
1978-09-13,232.5
1978-09-20,233.4
1978-09-27,233.7
1978-10-04,234.4
1978-10-11,235.0
1978-10-18,234.7
1978-10-25,235.8
1978-11-01,236.3
1978-11-08,237.1
1978-11-15,237.3
1978-11-22,238.1
1978-11-29,238.0
1978-12-06,238.9
1978-12-13,237.9
1978-12-20,238.4
1978-12-27,238.4
1979-01-03,242.9
1979-01-10,242.8
1979-01-17,243.7
1979-01-24,244.5
1979-01-31,244.4
1979-02-07,246.1
1979-02-14,247.3
1979-02-21,248.9
1979-02-28,249.7
1979-03-07,250.7
1979-03-14,251.6
1979-03-21,252.8
1979-03-28,254.1
1979-04-04,255.4
1979-04-11,256.5
1979-04-18,257.0
1979-04-25,257.4
1979-05-02,258.6
1979-05-09,259.5
1979-05-16,260.7
1979-05-23,261.3
1979-05-30,261.9
1979-06-06,263.1
1979-06-13,264.7
1979-06-20,266.1
1979-06-27,267.0
1979-07-04,267.5
1979-07-11,268.7
1979-07-18,268.8
1979-07-25,269.7
1979-08-01,270.7
1979-08-08,271.1
1979-08-15,271.4
1979-08-22,273.0
1979-08-29,272.6
1979-09-05,274.2
1979-09-12,275.7
1979-09-19,276.8
1979-09-26,278.2
1979-10-03,277.8
1979-10-10,279.0
1979-10-17,277.6
1979-10-24,278.9
1979-10-31,279.4
1979-11-07,279.6
1979-11-14,279.6
1979-11-21,279.8
1979-11-28,278.8
1979-12-05,280.9
1979-12-12,280.3
1979-12-19,282.2
1979-12-26,283.2
1980-01-02,284.7
1980-01-09,285.3
1980-01-16,285.4
1980-01-23,285.6
1980-01-30,284.9
1980-02-06,286.9
1980-02-13,288.8
1980-02-20,290.0
1980-02-27,289.6
1980-03-05,290.9
