observation_date,HOUST_19620215
1959-01-01,1560
1959-02-01,1521
1959-03-01,1585
1959-04-01,1584
1959-05-01,1562
1959-06-01,1545
1959-07-01,1586
1959-08-01,1454
1959-09-01,1540
1959-10-01,1385
1959-11-01,1379
1959-12-01,1504
1960-01-01,1382
1960-02-01,1383
1960-03-01,1104
1960-04-01,1293
1960-05-01,1331
1960-06-01,1279
1960-07-01,1227
1960-08-01,1355
1960-09-01,1089
1960-10-01,1273
1960-11-01,1220
1960-12-01,996
1961-01-01,1127
1961-02-01,1169
1961-03-01,1296
1961-04-01,1166
1961-05-01,1291
1961-06-01,1381
1961-07-01,1343
1961-08-01,1326
1961-09-01,1383
1961-10-01,1434
1961-11-01,1342
1961-12-01,1306
