observation_date,PCEC96_19991115
1992-01-01,4548.8
1992-02-01,4550.9
1992-03-01,4559.0
1992-04-01,4559.8
1992-05-01,4581.3
1992-06-01,4590.5
1992-07-01,4604.0
1992-08-01,4587.0
1992-09-01,4641.8
1992-10-01,4659.6
1992-11-01,4667.7
1992-12-01,4694.6
1993-01-01,4680.3
1993-02-01,4686.3
1993-03-01,4654.6
1993-04-01,4705.2
1993-05-01,4707.7
1993-06-01,4734.2
1993-07-01,4756.0
1993-08-01,4764.0
1993-09-01,4782.5
1993-10-01,4796.3
1993-11-01,4809.3
1993-12-01,4827.0
1994-01-01,4810.2
1994-02-01,4878.7
1994-03-01,4884.0
1994-04-01,4889.4
1994-05-01,4895.0
1994-06-01,4913.3
1994-07-01,4911.6
1994-08-01,4945.9
1994-09-01,4952.5
1994-10-01,4977.5
1994-11-01,4988.1
1994-12-01,4993.6
1995-01-01,5011.0
1995-02-01,4988.4
1995-03-01,5014.8
1995-04-01,5012.4
1995-05-01,5054.6
1995-06-01,5093.5
1995-07-01,5070.8
1995-08-01,5112.8
1995-09-01,5098.4
1995-10-01,5091.2
1995-11-01,5131.1
1995-12-01,5161.6
1996-01-01,5141.9
1996-02-01,5182.6
1996-03-01,5186.2
1996-04-01,5222.2
1996-05-01,5230.1
1996-06-01,5230.3
1996-07-01,5237.2
1996-08-01,5262.3
1996-09-01,5266.8
1996-10-01,5282.8
1996-11-01,5291.1
1996-12-01,5316.5
1997-01-01,5350.6
1997-02-01,5358.6
1997-03-01,5374.0
1997-04-01,5366.0
1997-05-01,5379.1
1997-06-01,5410.3
1997-07-01,5460.6
1997-08-01,5475.9
1997-09-01,5478.8
1997-10-01,5495.0
1997-11-01,5519.7
1997-12-01,5536.5
1998-01-01,5559.8
1998-02-01,5595.5
1998-03-01,5621.6
1998-04-01,5632.3
1998-05-01,5685.8
1998-06-01,5708.6
1998-07-01,5710.8
1998-08-01,5734.5
1998-09-01,5746.9
1998-10-01,5774.1
1998-11-01,5787.0
1998-12-01,5826.1
1999-01-01,5838.6
1999-02-01,5886.3
1999-03-01,5940.3
1999-04-01,5928.6
1999-05-01,5962.6
1999-06-01,5994.2
1999-07-01,6001.0
1999-08-01,6035.1
1999-09-01,6039.0
