observation_date,INDPRO_19970315
1919-01-01,7.624
1919-02-01,7.287
1919-03-01,7.077
1919-04-01,7.203
1919-05-01,7.245
1919-06-01,7.708
1919-07-01,8.172
1919-08-01,8.298
1919-09-01,8.130
1919-10-01,8.045
1919-11-01,7.919
1919-12-01,8.045
1920-01-01,8.804
1920-02-01,8.804
1920-03-01,8.635
1920-04-01,8.172
1920-05-01,8.382
1920-06-01,8.467
1920-07-01,8.256
1920-08-01,8.298
1920-09-01,8.003
1920-10-01,7.666
1920-11-01,7.034
1920-12-01,6.613
1921-01-01,6.234
1921-02-01,6.108
1921-03-01,5.939
1921-04-01,5.939
1921-05-01,6.108
1921-06-01,6.066
1921-07-01,6.023
1921-08-01,6.234
1921-09-01,6.276
1921-10-01,6.655
1921-11-01,6.571
1921-12-01,6.529
1922-01-01,6.782
1922-02-01,7.077
1922-03-01,7.456
1922-04-01,7.203
1922-05-01,7.582
1922-06-01,7.961
1922-07-01,7.961
1922-08-01,7.793
1922-09-01,8.214
1922-10-01,8.677
1922-11-01,9.056
1922-12-01,9.309
1923-01-01,9.098
1923-02-01,9.225
1923-03-01,9.520
1923-04-01,9.730
1923-05-01,9.857
1923-06-01,9.772
1923-07-01,9.688
1923-08-01,9.520
1923-09-01,9.309
1923-10-01,9.267
1923-11-01,9.267
1923-12-01,9.056
1924-01-01,9.267
1924-02-01,9.435
1924-03-01,9.267
1924-04-01,8.972
1924-05-01,8.593
1924-06-01,8.214
1924-07-01,8.087
1924-08-01,8.382
1924-09-01,8.677
1924-10-01,8.888
1924-11-01,9.056
1924-12-01,9.309
1925-01-01,9.604
1925-02-01,9.604
1925-03-01,9.604
1925-04-01,9.688
1925-05-01,9.646
1925-06-01,9.562
1925-07-01,9.815
1925-08-01,9.646
1925-09-01,9.520
1925-10-01,9.899
1925-11-01,10.109
1925-12-01,10.236
1926-01-01,10.067
1926-02-01,10.067
1926-03-01,10.194
1926-04-01,10.194
1926-05-01,10.109
1926-06-01,10.236
1926-07-01,10.278
1926-08-01,10.404
1926-09-01,10.573
1926-10-01,10.573
1926-11-01,10.531
1926-12-01,10.488
1927-01-01,10.446
1927-02-01,10.531
1927-03-01,10.657
1927-04-01,10.404
1927-05-01,10.488
1927-06-01,10.446
1927-07-01,10.320
1927-08-01,10.320
1927-09-01,10.151
1927-10-01,9.941
1927-11-01,9.941
1927-12-01,9.983
1928-01-01,10.194
1928-02-01,10.278
1928-03-01,10.362
1928-04-01,10.320
1928-05-01,10.446
1928-06-01,10.531
1928-07-01,10.657
1928-08-01,10.868
1928-09-01,10.952
1928-10-01,11.162
1928-11-01,11.373
1928-12-01,11.584
1929-01-01,11.752
1929-02-01,11.710
1929-03-01,11.752
1929-04-01,11.963
1929-05-01,12.173
1929-06-01,12.258
1929-07-01,12.426
1929-08-01,12.300
1929-09-01,12.215
1929-10-01,12.005
1929-11-01,11.415
1929-12-01,10.910
1930-01-01,10.910
1930-02-01,10.868
1930-03-01,10.699
1930-04-01,10.615
1930-05-01,10.446
1930-06-01,10.151
1930-07-01,9.688
1930-08-01,9.478
1930-09-01,9.309
1930-10-01,9.056
1930-11-01,8.846
1930-12-01,8.635
1931-01-01,8.593
1931-02-01,8.635
1931-03-01,8.804
1931-04-01,8.846
1931-05-01,8.719
1931-06-01,8.509
1931-07-01,8.382
1931-08-01,8.087
1931-09-01,7.708
1931-10-01,7.414
1931-11-01,7.329
1931-12-01,7.287
1932-01-01,7.077
1932-02-01,6.908
1932-03-01,6.824
1932-04-01,6.360
1932-05-01,6.150
1932-06-01,5.939
1932-07-01,5.771
1932-08-01,5.939
1932-09-01,6.318
1932-10-01,6.529
1932-11-01,6.529
1932-12-01,6.403
1933-01-01,6.276
1933-02-01,6.318
1933-03-01,5.939
1933-04-01,6.360
1933-05-01,7.414
1933-06-01,8.551
1933-07-01,9.351
1933-08-01,8.972
1933-09-01,8.467
1933-10-01,8.045
1933-11-01,7.582
1933-12-01,7.624
1934-01-01,7.877
1934-02-01,8.256
1934-03-01,8.635
1934-04-01,8.635
1934-05-01,8.804
1934-06-01,8.635
1934-07-01,8.045
1934-08-01,7.961
1934-09-01,7.498
1934-10-01,7.835
1934-11-01,7.919
1934-12-01,8.424
1935-01-01,9.098
1935-02-01,9.267
1935-03-01,9.225
1935-04-01,9.056
1935-05-01,9.056
1935-06-01,9.183
1935-07-01,9.183
1935-08-01,9.520
1935-09-01,9.772
1935-10-01,10.067
1935-11-01,10.278
1935-12-01,10.404
1936-01-01,10.236
1936-02-01,9.983
1936-03-01,10.109
1936-04-01,10.741
1936-05-01,10.952
1936-06-01,11.162
1936-07-01,11.373
1936-08-01,11.542
1936-09-01,11.752
1936-10-01,11.921
1936-11-01,12.258
1936-12-01,12.637
1937-01-01,12.595
1937-02-01,12.763
1937-03-01,13.058
1937-04-01,13.058
1937-05-01,13.100
1937-06-01,12.932
1937-07-01,13.016
1937-08-01,12.932
1937-09-01,12.510
1937-10-01,11.584
1937-11-01,10.446
1937-12-01,9.520
1938-01-01,9.309
1938-02-01,9.225
1938-03-01,9.225
1938-04-01,9.056
1938-05-01,8.846
1938-06-01,8.930
1938-07-01,9.435
1938-08-01,9.941
1938-09-01,10.236
1938-10-01,10.488
1938-11-01,10.910
1938-12-01,11.036
1939-01-01,11.036
1939-02-01,11.120
1939-03-01,11.162
1939-04-01,11.120
1939-05-01,11.078
1939-06-01,11.331
1939-07-01,11.668
1939-08-01,11.836
1939-09-01,12.552
1939-10-01,13.184
1939-11-01,13.521
1939-12-01,13.521
1940-01-01,13.353
1940-02-01,12.932
1940-03-01,12.637
1940-04-01,12.889
1940-05-01,13.269
1940-06-01,13.690
1940-07-01,13.858
1940-08-01,13.942
1940-09-01,14.237
1940-10-01,14.448
1940-11-01,14.785
1940-12-01,15.290
1941-01-01,15.670
1941-02-01,16.133
1941-03-01,16.638
1941-04-01,16.680
1941-05-01,17.439
1941-06-01,17.565
1941-07-01,17.776
1941-08-01,17.986
1941-09-01,17.986
1941-10-01,18.155
1941-11-01,18.239
1941-12-01,18.534
1942-01-01,18.913
1942-02-01,19.250
1942-03-01,19.461
1942-04-01,18.913
1942-05-01,18.955
1942-06-01,18.997
1942-07-01,19.461
1942-08-01,20.050
1942-09-01,20.514
1942-10-01,21.188
1942-11-01,21.693
1942-12-01,22.198
1943-01-01,22.409
1943-02-01,22.999
1943-03-01,23.167
1943-04-01,23.462
1943-05-01,23.631
1943-06-01,23.504
1943-07-01,24.220
1943-08-01,24.726
1943-09-01,25.358
1943-10-01,25.737
1943-11-01,26.074
1943-12-01,25.737
1944-01-01,26.032
1944-02-01,26.242
1944-03-01,26.200
1944-04-01,26.200
1944-05-01,26.032
1944-06-01,25.947
1944-07-01,25.905
1944-08-01,26.242
1944-09-01,26.074
1944-10-01,26.158
1944-11-01,25.947
1944-12-01,25.863
1945-01-01,25.610
1945-02-01,25.526
1945-03-01,25.358
1945-04-01,24.894
1945-05-01,24.220
1945-06-01,23.673
1945-07-01,23.125
1945-08-01,20.724
1945-09-01,18.871
1945-10-01,18.113
1945-11-01,18.787
1945-12-01,18.871
1946-01-01,17.818
1946-02-01,16.933
1946-03-01,18.702
1946-04-01,18.365
1946-05-01,17.691
1946-06-01,18.787
1946-07-01,19.418
1946-08-01,20.134
1946-09-01,20.514
1946-10-01,20.893
1946-11-01,21.019
1946-12-01,21.145
1947-01-01,21.398
1947-02-01,21.525
1947-03-01,21.651
1947-04-01,21.482
1947-05-01,21.567
1947-06-01,21.567
1947-07-01,21.440
1947-08-01,21.567
1947-09-01,21.735
1947-10-01,21.946
1947-11-01,22.241
1947-12-01,22.325
1948-01-01,22.451
1948-02-01,22.493
1948-03-01,22.241
1948-04-01,22.283
1948-05-01,22.662
1948-06-01,22.957
1948-07-01,22.957
