observation_date,CORCACBS_20140715
1985-01-01,0.92
1985-04-01,1.08
1985-07-01,1.23
1985-10-01,1.33
1986-01-01,1.44
1986-04-01,1.52
1986-07-01,1.57
1986-10-01,1.57
1987-01-01,1.55
1987-04-01,1.56
1987-07-01,1.50
1987-10-01,1.55
1988-01-01,1.51
1988-04-01,1.53
1988-07-01,1.59
1988-10-01,1.50
1989-01-01,1.60
1989-04-01,1.59
1989-07-01,1.58
1989-10-01,1.68
1990-01-01,1.67
1990-04-01,1.74
1990-07-01,1.85
1990-10-01,2.02
1991-01-01,2.21
1991-04-01,2.33
1991-07-01,2.40
1991-10-01,2.35
1992-01-01,2.39
1992-04-01,2.29
1992-07-01,2.11
1992-10-01,2.14
1993-01-01,1.85
1993-04-01,1.78
1993-07-01,1.72
1993-10-01,1.57
1994-01-01,1.50
1994-04-01,1.43
1994-07-01,1.42
1994-10-01,1.44
1995-01-01,1.46
1995-04-01,1.66
1995-07-01,1.83
1995-10-01,2.02
1996-01-01,2.17
1996-04-01,2.26
1996-07-01,2.35
1996-10-01,2.44
1997-01-01,2.58
1997-04-01,2.75
1997-07-01,2.76
1997-10-01,2.70
1998-01-01,2.65
1998-04-01,2.65
1998-07-01,2.60
1998-10-01,2.58
1999-01-01,2.48
1999-04-01,2.13
1999-07-01,2.25
1999-10-01,2.22
2000-01-01,2.29
2000-04-01,2.12
2000-07-01,2.22
2000-10-01,2.81
2001-01-01,2.42
2001-04-01,2.56
2001-07-01,2.74
2001-10-01,3.18
2002-01-01,3.69
2002-04-01,3.03
2002-07-01,3.05
2002-10-01,2.84
2003-01-01,2.90
2003-04-01,2.96
2003-07-01,2.77
2003-10-01,2.88
2004-01-01,2.77
2004-04-01,2.71
2004-07-01,2.59
2004-10-01,2.64
2005-01-01,2.52
2005-04-01,2.38
2005-07-01,3.05
2005-10-01,3.03
2006-01-01,1.76
2006-04-01,1.94
2006-07-01,2.25
2006-10-01,2.08
2007-01-01,2.35
2007-04-01,2.34
2007-07-01,2.49
2007-10-01,2.72
2008-01-01,2.97
2008-04-01,3.31
2008-07-01,3.65
2008-10-01,4.20
2009-01-01,4.82
2009-04-01,5.69
2009-07-01,5.81
2009-10-01,5.65
2010-01-01,6.70
2010-04-01,6.72
2010-07-01,5.35
2010-10-01,4.82
2011-01-01,4.46
2011-04-01,3.53
2011-07-01,3.59
2011-10-01,2.90
2012-01-01,2.66
2012-04-01,2.60
2012-07-01,2.49
2012-10-01,2.40
2013-01-01,2.33
2013-04-01,2.21
2013-07-01,2.11
2013-10-01,2.04
2014-01-01,2.02
