observation_date,CORCACBS_20170115
1985-01-01,0.92
1985-04-01,1.08
1985-07-01,1.23
1985-10-01,1.34
1986-01-01,1.44
1986-04-01,1.52
1986-07-01,1.57
1986-10-01,1.57
1987-01-01,1.55
1987-04-01,1.56
1987-07-01,1.50
1987-10-01,1.55
1988-01-01,1.51
1988-04-01,1.53
1988-07-01,1.58
1988-10-01,1.51
1989-01-01,1.60
1989-04-01,1.58
1989-07-01,1.58
1989-10-01,1.68
1990-01-01,1.67
1990-04-01,1.74
1990-07-01,1.86
1990-10-01,2.03
1991-01-01,2.20
1991-04-01,2.32
1991-07-01,2.40
1991-10-01,2.36
1992-01-01,2.39
1992-04-01,2.28
1992-07-01,2.13
1992-10-01,2.13
1993-01-01,1.84
1993-04-01,1.84
1993-07-01,1.70
1993-10-01,1.56
1994-01-01,1.50
1994-04-01,1.43
1994-07-01,1.43
1994-10-01,1.44
1995-01-01,1.46
1995-04-01,1.66
1995-07-01,1.84
1995-10-01,2.02
1996-01-01,2.17
1996-04-01,2.26
1996-07-01,2.35
1996-10-01,2.44
1997-01-01,2.58
1997-04-01,2.75
1997-07-01,2.75
1997-10-01,2.70
1998-01-01,2.64
1998-04-01,2.64
1998-07-01,2.60
1998-10-01,2.57
1999-01-01,2.46
1999-04-01,2.16
1999-07-01,2.27
1999-10-01,2.20
2000-01-01,2.26
2000-04-01,2.15
2000-07-01,2.24
2000-10-01,2.77
2001-01-01,2.38
2001-04-01,2.59
2001-07-01,2.77
2001-10-01,3.14
2002-01-01,3.66
2002-04-01,3.05
2002-07-01,3.11
2002-10-01,2.81
2003-01-01,2.87
2003-04-01,2.98
2003-07-01,2.82
2003-10-01,2.86
2004-01-01,2.74
2004-04-01,2.71
2004-07-01,2.57
2004-10-01,2.63
2005-01-01,2.49
2005-04-01,2.37
2005-07-01,3.07
2005-10-01,3.04
2006-01-01,1.76
2006-04-01,1.92
2006-07-01,2.27
2006-10-01,2.09
2007-01-01,2.34
2007-04-01,2.32
2007-07-01,2.49
2007-10-01,2.76
2008-01-01,2.97
2008-04-01,3.27
2008-07-01,3.67
2008-10-01,4.24
2009-01-01,4.83
2009-04-01,5.65
2009-07-01,5.77
2009-10-01,5.71
2010-01-01,6.72
2010-04-01,6.67
2010-07-01,5.30
2010-10-01,4.89
2011-01-01,4.48
2011-04-01,3.48
2011-07-01,3.54
2011-10-01,2.98
2012-01-01,2.68
2012-04-01,2.55
2012-07-01,2.45
2012-10-01,2.47
2013-01-01,2.33
2013-04-01,2.16
2013-07-01,2.09
2013-10-01,2.10
2014-01-01,2.01
2014-04-01,2.00
2014-07-01,1.87
2014-10-01,1.82
2015-01-01,1.76
2015-04-01,1.74
2015-07-01,1.75
2015-10-01,1.76
2016-01-01,1.85
2016-04-01,1.81
2016-07-01,1.87
