observation_date,CDSP_20010215
1980-01-01,8.72
1980-04-01,8.61
1980-07-01,8.26
1980-10-01,7.96
1981-01-01,7.83
1981-04-01,7.83
1981-07-01,7.64
1981-10-01,7.60
1982-01-01,7.59
1982-04-01,7.57
1982-07-01,7.49
1982-10-01,7.45
1983-01-01,7.44
1983-04-01,7.43
1983-07-01,7.41
1983-10-01,7.46
1984-01-01,7.50
1984-04-01,7.61
1984-07-01,7.68
1984-10-01,7.81
1985-01-01,7.99
1985-04-01,8.02
1985-07-01,8.24
1985-10-01,8.29
1986-01-01,8.29
1986-04-01,8.35
1986-07-01,8.42
1986-10-01,8.48
1987-01-01,8.22
1987-04-01,8.20
1987-07-01,8.04
1987-10-01,7.91
1988-01-01,7.84
1988-04-01,7.78
1988-07-01,7.68
1988-10-01,7.58
1989-01-01,7.52
1989-04-01,7.58
1989-07-01,7.60
1989-10-01,7.58
1990-01-01,7.38
1990-04-01,7.25
1990-07-01,7.17
1990-10-01,7.10
1991-01-01,6.97
1991-04-01,6.77
1991-07-01,6.65
1991-10-01,6.51
1992-01-01,6.32
1992-04-01,6.18
1992-07-01,6.12
1992-10-01,5.97
1993-01-01,6.09
1993-04-01,6.02
1993-07-01,6.08
1993-10-01,6.09
1994-01-01,6.24
1994-04-01,6.26
1994-07-01,6.38
1994-10-01,6.48
1995-01-01,6.57
1995-04-01,6.79
1995-07-01,6.94
1995-10-01,7.04
1996-01-01,7.21
1996-04-01,7.37
1996-07-01,7.40
1996-10-01,7.43
1997-01-01,7.47
1997-04-01,7.54
1997-07-01,7.51
1997-10-01,7.44
1998-01-01,7.46
1998-04-01,7.51
1998-07-01,7.51
1998-10-01,7.51
1999-01-01,7.54
1999-04-01,7.57
1999-07-01,7.56
1999-10-01,7.56
2000-01-01,7.63
2000-04-01,7.67
2000-07-01,7.72
