observation_date,BABATOTALSAUS_20210215
2004-07-01,158532
2004-08-01,193143
2004-09-01,192003
2004-10-01,191852
2004-11-01,212069
2004-12-01,190954
2005-01-01,201492
2005-02-01,204751
2005-03-01,201687
2005-04-01,204004
2005-05-01,203505
2005-06-01,209790
2005-07-01,207029
2005-08-01,205775
2005-09-01,185268
2005-10-01,231658
2005-11-01,223256
2005-12-01,230804
2006-01-01,216199
2006-02-01,226082
2006-03-01,222478
2006-04-01,223175
2006-05-01,222015
2006-06-01,217995
2006-07-01,219539
2006-08-01,219765
2006-09-01,212957
2006-10-01,207845
2006-11-01,202934
2006-12-01,244234
2007-01-01,206619
2007-02-01,217702
2007-03-01,216009
2007-04-01,214484
2007-05-01,220727
2007-06-01,221692
2007-07-01,220970
2007-08-01,218900
2007-09-01,227203
2007-10-01,234335
2007-11-01,213920
2007-12-01,242770
2008-01-01,207006
2008-02-01,210105
2008-03-01,220343
2008-04-01,219377
2008-05-01,216054
2008-06-01,210741
2008-07-01,209893
2008-08-01,222778
2008-09-01,211414
2008-10-01,206147
2008-11-01,204808
2008-12-01,185276
2009-01-01,206946
2009-02-01,194848
2009-03-01,198691
2009-04-01,199044
2009-05-01,200048
2009-06-01,203109
2009-07-01,207546
2009-08-01,201784
2009-09-01,206624
2009-10-01,204317
2009-11-01,207969
2009-12-01,199582
2010-01-01,200953
2010-02-01,201908
2010-03-01,203478
2010-04-01,206464
2010-05-01,210955
2010-06-01,204893
2010-07-01,207887
2010-08-01,207842
2010-09-01,214479
2010-10-01,214464
2010-11-01,221814
2010-12-01,204589
2011-01-01,219691
2011-02-01,223673
2011-03-01,213427
2011-04-01,214026
2011-05-01,186272
2011-06-01,220027
2011-07-01,217025
2011-08-01,213321
2011-09-01,212601
2011-10-01,205917
2011-11-01,221426
2011-12-01,227574
2012-01-01,185055
2012-02-01,213998
2012-03-01,216903
2012-04-01,218032
2012-05-01,220285
2012-06-01,208584
2012-07-01,208503
2012-08-01,209053
2012-09-01,206892
2012-10-01,212844
2012-11-01,202224
2012-12-01,273757
2013-01-01,220252
2013-02-01,211673
2013-03-01,216677
2013-04-01,213336
2013-05-01,206697
2013-06-01,217100
2013-07-01,218371
2013-08-01,221731
2013-09-01,212580
2013-10-01,223764
2013-11-01,221569
2013-12-01,227500
2014-01-01,210520
2014-02-01,222027
2014-03-01,228186
2014-04-01,226108
2014-05-01,222985
2014-06-01,226331
2014-07-01,222104
2014-08-01,226326
2014-09-01,227969
2014-10-01,226874
2014-11-01,221791
2014-12-01,205338
2015-01-01,257618
2015-02-01,229218
2015-03-01,229371
2015-04-01,231346
2015-05-01,224790
2015-06-01,233807
2015-07-01,237168
2015-08-01,234164
2015-09-01,239794
2015-10-01,243138
2015-11-01,236618
2015-12-01,225626
2016-01-01,261914
2016-02-01,240874
2016-03-01,236942
2016-04-01,244292
2016-05-01,255054
2016-06-01,216278
2016-07-01,260768
2016-08-01,247348
2016-09-01,254331
2016-10-01,244737
2016-11-01,252210
2016-12-01,260484
2017-01-01,265289
2017-02-01,259601
2017-03-01,261978
2017-04-01,261666
2017-05-01,261858
2017-06-01,266263
2017-07-01,267100
2017-08-01,267790
2017-09-01,259341
2017-10-01,271236
2017-11-01,280492
2017-12-01,268456
2018-01-01,298447
2018-02-01,284043
2018-03-01,289219
2018-04-01,286241
2018-05-01,294713
2018-06-01,294371
2018-07-01,291297
2018-08-01,293192
2018-09-01,289544
2018-10-01,284486
2018-11-01,288942
2018-12-01,298230
2019-01-01,278477
2019-02-01,296038
2019-03-01,300404
2019-04-01,293665
2019-05-01,289529
2019-06-01,287334
2019-07-01,281692
2019-08-01,288026
2019-09-01,289848
2019-10-01,295747
2019-11-01,290562
2019-12-01,312764
2020-01-01,284174
2020-02-01,297677
2020-03-01,257333
2020-04-01,236454
2020-05-01,300969
2020-06-01,371812
2020-07-01,551657
2020-08-01,476532
2020-09-01,432199
2020-10-01,408164
2020-11-01,391133
2020-12-01,345184
2021-01-01,492133
