observation_date,UEMP15OV_19680215
1948-01-01,311
1948-02-01,283
1948-03-01,292
1948-04-01,324
1948-05-01,329
1948-06-01,322
1948-07-01,295
1948-08-01,332
1948-09-01,298
1948-10-01,324
1948-11-01,282
1948-12-01,305
1949-01-01,315
1949-02-01,374
1949-03-01,414
1949-04-01,483
1949-05-01,602
1949-06-01,705
1949-07-01,848
1949-08-01,917
1949-09-01,973
1949-10-01,1000
1949-11-01,1056
1949-12-01,961
1950-01-01,947
1950-02-01,947
1950-03-01,912
1950-04-01,920
1950-05-01,890
1950-06-01,868
1950-07-01,769
1950-08-01,633
1950-09-01,648
1950-10-01,545
1950-11-01,507
1950-12-01,482
1951-01-01,438
1951-02-01,386
1951-03-01,355
1951-04-01,294
1951-05-01,269
1951-06-01,258
1951-07-01,260
1951-08-01,249
1951-09-01,223
1951-10-01,269
1951-11-01,316
1951-12-01,269
1952-01-01,282
1952-02-01,248
1952-03-01,234
1952-04-01,242
1952-05-01,219
1952-06-01,210
1952-07-01,194
1952-08-01,211
1952-09-01,249
1952-10-01,230
1952-11-01,216
1952-12-01,238
1953-01-01,268
1953-02-01,208
1953-03-01,213
1953-04-01,180
1953-05-01,176
1953-06-01,213
1953-07-01,168
1953-08-01,177
1953-09-01,178
1953-10-01,190
1953-11-01,259
1953-12-01,309
1954-01-01,372
1954-02-01,532
1954-03-01,765
1954-04-01,774
1954-05-01,879
1954-06-01,880
1954-07-01,932
1954-08-01,1002
1954-09-01,1016
1954-10-01,1009
1954-11-01,975
1954-12-01,827
1955-01-01,882
1955-02-01,826
1955-03-01,816
1955-04-01,811
1955-05-01,735
1955-06-01,668
1955-07-01,640
1955-08-01,535
1955-09-01,558
1955-10-01,572
1955-11-01,564
1955-12-01,581
1956-01-01,561
1956-02-01,545
1956-03-01,521
1956-04-01,476
1956-05-01,506
1956-06-01,516
1956-07-01,523
1956-08-01,543
1956-09-01,577
1956-10-01,530
1956-11-01,574
1956-12-01,567
1957-01-01,509
1957-02-01,530
1957-03-01,514
1957-04-01,516
1957-05-01,538
1957-06-01,526
1957-07-01,535
1957-08-01,542
1957-09-01,559
1957-10-01,650
1957-11-01,674
1957-12-01,731
1958-01-01,879
1958-02-01,1005
1958-03-01,1128
1958-04-01,1387
1958-05-01,1493
1958-06-01,1677
1958-07-01,1796
1958-08-01,1888
1958-09-01,1795
1958-10-01,1708
1958-11-01,1570
1958-12-01,1488
1959-01-01,1396
1959-02-01,1277
1959-03-01,1210
1959-04-01,1039
1959-05-01,966
1959-06-01,963
1959-07-01,889
1959-08-01,889
1959-09-01,895
1959-10-01,883
1959-11-01,982
1959-12-01,920
1960-01-01,915
1960-02-01,840
1960-03-01,959
1960-04-01,896
1960-05-01,797
1960-06-01,855
1960-07-01,921
1960-08-01,928
1960-09-01,982
1960-10-01,1189
1960-11-01,1223
1960-12-01,1140
1961-01-01,1328
1961-02-01,1416
1961-03-01,1463
1961-04-01,1598
1961-05-01,1686
1961-06-01,1654
1961-07-01,1828
1961-08-01,1649
1961-09-01,1531
1961-10-01,1481
1961-11-01,1388
1961-12-01,1361
1962-01-01,1235
1962-02-01,1243
1962-03-01,1162
1962-04-01,1122
1962-05-01,1132
1962-06-01,1083
1962-07-01,1053
1962-08-01,1081
1962-09-01,1094
1962-10-01,1022
1962-11-01,1051
1962-12-01,1066
1963-01-01,1121
1963-02-01,1135
1963-03-01,1087
1963-04-01,1073
1963-05-01,1156
1963-06-01,1072
1963-07-01,1075
1963-08-01,1113
1963-09-01,1067
1963-10-01,1072
1963-11-01,1051
1963-12-01,1003
1964-01-01,1054
1964-02-01,1011
1964-03-01,1038
1964-04-01,938
1964-05-01,976
1964-06-01,1054
1964-07-01,1009
1964-08-01,933
1964-09-01,913
1964-10-01,908
1964-11-01,922
1964-12-01,864
1965-01-01,795
1965-02-01,912
1965-03-01,797
1965-04-01,798
1965-05-01,733
1965-06-01,796
1965-07-01,696
1965-08-01,730
1965-09-01,725
1965-10-01,681
1965-11-01,645
1965-12-01,646
1966-01-01,619
1966-02-01,588
1966-03-01,582
1966-04-01,581
1966-05-01,535
1966-06-01,482
1966-07-01,441
1966-08-01,462
1966-09-01,483
1966-10-01,498
1966-11-01,462
1966-12-01,472
1967-01-01,476
1967-02-01,447
1967-03-01,436
1967-04-01,434
1967-05-01,433
1967-06-01,441
1967-07-01,436
1967-08-01,445
1967-09-01,440
1967-10-01,475
1967-11-01,485
1967-12-01,445
1968-01-01,488
