observation_date,DGORDER_20120315
1992-02-01,115038
1992-03-01,119534
1992-04-01,124887
1992-05-01,125688
1992-06-01,123032
1992-07-01,122644
1992-08-01,120321
1992-09-01,120668
1992-10-01,127588
1992-11-01,122887
1992-12-01,125779
1993-01-01,121065
1993-02-01,129281
1993-03-01,126445
1993-04-01,127593
1993-05-01,126990
1993-06-01,129776
1993-07-01,128490
1993-08-01,129210
1993-09-01,127334
1993-10-01,133164
1993-11-01,131253
1993-12-01,133050
1994-01-01,138265
1994-02-01,137726
1994-03-01,136237
1994-04-01,140300
1994-05-01,142835
1994-06-01,144880
1994-07-01,145132
1994-08-01,145839
1994-09-01,145527
1994-10-01,149949
1994-11-01,150398
1994-12-01,152101
1995-01-01,150345
1995-02-01,154618
1995-03-01,152291
1995-04-01,151374
1995-05-01,153047
1995-06-01,149980
1995-07-01,149354
1995-08-01,154136
1995-09-01,160452
1995-10-01,155339
1995-11-01,156722
1995-12-01,162454
1996-01-01,155857
1996-02-01,151591
1996-03-01,164952
1996-04-01,156924
1996-05-01,164296
1996-06-01,164691
1996-07-01,163342
1996-08-01,157264
1996-09-01,165934
1996-10-01,165183
1996-11-01,170833
1996-12-01,161746
1997-01-01,161742
1997-02-01,170925
1997-03-01,168386
1997-04-01,173105
1997-05-01,168604
1997-06-01,175045
1997-07-01,178641
1997-08-01,176364
1997-09-01,178241
1997-10-01,178663
1997-11-01,190948
1997-12-01,173622
1998-01-01,174243
1998-02-01,181460
1998-03-01,177815
1998-04-01,180777
1998-05-01,179808
1998-06-01,173349
1998-07-01,169534
1998-08-01,179410
1998-09-01,180825
1998-10-01,179293
1998-11-01,181915
1998-12-01,179212
1999-01-01,185498
1999-02-01,185577
1999-03-01,185464
1999-04-01,182629
1999-05-01,186527
1999-06-01,183153
1999-07-01,188323
1999-08-01,189714
1999-09-01,189054
1999-10-01,194024
1999-11-01,186813
1999-12-01,196414
2000-01-01,201306
2000-02-01,183785
2000-03-01,192214
2000-04-01,195057
2000-05-01,188834
2000-06-01,220445
2000-07-01,189475
2000-08-01,189066
2000-09-01,199453
2000-10-01,185856
2000-11-01,189242
2000-12-01,188157
2001-01-01,176712
2001-02-01,179840
2001-03-01,182664
2001-04-01,171383
2001-05-01,178088
2001-06-01,176136
2001-07-01,169632
2001-08-01,170311
2001-09-01,163565
2001-10-01,171119
2001-11-01,162815
2001-12-01,166209
2002-01-01,161895
2002-02-01,171003
2002-03-01,167884
2002-04-01,171361
2002-05-01,172111
2002-06-01,165247
2002-07-01,174658
2002-08-01,177227
2002-09-01,167403
2002-10-01,168124
2002-11-01,169577
2002-12-01,163440
2003-01-01,168220
2003-02-01,173128
2003-03-01,173813
2003-04-01,169080
2003-05-01,171030
2003-06-01,172814
2003-07-01,173795
2003-08-01,173437
2003-09-01,177603
2003-10-01,183066
2003-11-01,181628
2003-12-01,181070
2004-01-01,175905
2004-02-01,179556
2004-03-01,191693
2004-04-01,183618
2004-05-01,183668
2004-06-01,183987
2004-07-01,187381
2004-08-01,184797
2004-09-01,187591
2004-10-01,184975
2004-11-01,193128
2004-12-01,193211
2005-01-01,192383
2005-02-01,194419
2005-03-01,187781
2005-04-01,194904
2005-05-01,205890
2005-06-01,209487
2005-07-01,196079
2005-08-01,203651
2005-09-01,203075
2005-10-01,209646
2005-11-01,220628
2005-12-01,220260
2006-01-01,205940
2006-02-01,215496
2006-03-01,226010
2006-04-01,213980
2006-05-01,214524
2006-06-01,221398
2006-07-01,211774
2006-08-01,209985
2006-09-01,234087
2006-10-01,214987
2006-11-01,224953
2006-12-01,231084
2007-01-01,215839
2007-02-01,220663
2007-03-01,228736
2007-04-01,234186
2007-05-01,227705
2007-06-01,230280
2007-07-01,237903
2007-08-01,230936
2007-09-01,226315
2007-10-01,228400
2007-11-01,231024
2007-12-01,245129
2008-01-01,232621
2008-02-01,232267
2008-03-01,229255
2008-04-01,228974
2008-05-01,227805
2008-06-01,228438
2008-07-01,225434
2008-08-01,213559
2008-09-01,211826
2008-10-01,191968
2008-11-01,183966
2008-12-01,175973
2009-01-01,152702
2009-02-01,153127
2009-03-01,148713
2009-04-01,148672
2009-05-01,154538
2009-06-01,149785
2009-07-01,162897
2009-08-01,157955
2009-09-01,161319
2009-10-01,163559
2009-11-01,160571
2009-12-01,163775
2010-01-01,174357
2010-02-01,174894
2010-03-01,172740
2010-04-01,180323
2010-05-01,179452
2010-06-01,178362
2010-07-01,184498
2010-08-01,179637
2010-09-01,190957
2010-10-01,183945
2010-11-01,184695
2010-12-01,183359
2011-01-01,190712
2011-02-01,188693
2011-03-01,197329
2011-04-01,192350
2011-05-01,196209
2011-06-01,193953
2011-07-01,202079
2011-08-01,202215
2011-09-01,199462
2011-10-01,199627
2011-11-01,208012
2011-12-01,214960
2012-01-01,206925
