observation_date,HDTGPDUSQ163N_20170215
2005-01-01,87.4058441535637
2005-04-01,88.8316345748675
2005-07-01,89.9041872500321
2005-10-01,90.8870736141317
2006-01-01,91.7257458913917
2006-04-01,93.1945071064104
2006-07-01,94.8318646628845
2006-10-01,95.6621928756317
2007-01-01,95.8294138075645
2007-04-01,96.6284120564841
2007-07-01,97.3456237012837
2007-10-01,97.9869298136303
2008-01-01,99.0024573156868
2008-04-01,97.5264656509895
2008-07-01,98.1936110820851
2008-10-01,98.0948455558160
2009-01-01,98.0204654013526
2009-04-01,98.1468042386773
2009-07-01,97.8786017521375
2009-10-01,96.5611943724891
2010-01-01,94.8903427497042
2010-04-01,93.1956597665328
2010-07-01,91.8414946279834
2010-10-01,90.5310748218278
2011-01-01,90.1362291284285
2011-04-01,88.2885475294300
2011-07-01,87.0629245010176
2011-10-01,86.0264212706090
2012-01-01,84.8832209133423
2012-04-01,84.2308377474250
2012-07-01,83.5023700178279
2012-10-01,83.6674070528395
2013-01-01,82.6303738494547
2013-04-01,82.2906723871416
2013-07-01,82.0073819762297
2013-10-01,81.2892913194335
2014-01-01,81.1375601158199
2014-04-01,80.8012380795268
2014-07-01,80.3492106249882
2014-10-01,80.4250369807412
2015-01-01,80.1828891713809
2015-04-01,79.8032363763174
2015-07-01,79.6289380112461
2015-10-01,79.9349687701127
2016-01-01,79.7485625086501
