observation_date,DRCCLACBS_20120515
1991-01-01,5.24
1991-04-01,5.45
1991-07-01,5.34
1991-10-01,5.30
1992-01-01,5.26
1992-04-01,5.08
1992-07-01,4.97
1992-10-01,4.69
1993-01-01,4.59
1993-04-01,4.45
1993-07-01,4.07
1993-10-01,3.90
1994-01-01,3.59
1994-04-01,3.27
1994-07-01,3.24
1994-10-01,3.27
1995-01-01,3.46
1995-04-01,3.69
1995-07-01,3.84
1995-10-01,3.93
1996-01-01,4.04
1996-04-01,4.26
1996-07-01,4.46
1996-10-01,4.59
1997-01-01,4.68
1997-04-01,4.71
1997-07-01,4.68
1997-10-01,4.79
1998-01-01,4.75
1998-04-01,4.73
1998-07-01,4.71
1998-10-01,4.71
1999-01-01,4.64
1999-04-01,4.45
1999-07-01,4.54
1999-10-01,4.52
2000-01-01,4.39
2000-04-01,4.48
2000-07-01,4.52
2000-10-01,4.61
2001-01-01,4.79
2001-04-01,4.92
2001-07-01,4.97
2001-10-01,4.77
2002-01-01,4.90
2002-04-01,4.75
2002-07-01,4.85
2002-10-01,4.98
2003-01-01,4.62
2003-04-01,4.50
2003-07-01,4.20
2003-10-01,4.56
2004-01-01,4.15
2004-04-01,4.12
2004-07-01,4.03
2004-10-01,4.15
2005-01-01,3.65
2005-04-01,3.64
2005-07-01,3.88
2005-10-01,3.62
2006-01-01,3.82
2006-04-01,4.11
2006-07-01,4.11
2006-10-01,4.01
2007-01-01,3.95
2007-04-01,4.00
2007-07-01,4.41
2007-10-01,4.63
2008-01-01,4.76
2008-04-01,4.88
2008-07-01,4.80
2008-10-01,5.66
2009-01-01,6.52
2009-04-01,6.74
2009-07-01,6.49
2009-10-01,6.35
2010-01-01,5.79
2010-04-01,5.07
2010-07-01,4.58
2010-10-01,4.16
2011-01-01,3.83
2011-04-01,3.62
2011-07-01,3.46
2011-10-01,3.27
