observation_date,HOUST_19991015
1959-01-01,1657.0
1959-02-01,1667.0
1959-03-01,1620.0
1959-04-01,1590.0
1959-05-01,1498.0
1959-06-01,1503.0
1959-07-01,1547.0
1959-08-01,1430.0
1959-09-01,1540.0
1959-10-01,1355.0
1959-11-01,1416.0
1959-12-01,1601.0
1960-01-01,1460.0
1960-02-01,1503.0
1960-03-01,1109.0
1960-04-01,1289.0
1960-05-01,1271.0
1960-06-01,1247.0
1960-07-01,1197.0
1960-08-01,1344.0
1960-09-01,1097.0
1960-10-01,1246.0
1960-11-01,1246.0
1960-12-01,1063.0
1961-01-01,1183.0
1961-02-01,1226.0
1961-03-01,1312.0
1961-04-01,1166.0
1961-05-01,1228.0
1961-06-01,1382.0
1961-07-01,1335.0
1961-08-01,1312.0
1961-09-01,1429.0
1961-10-01,1415.0
1961-11-01,1385.0
1961-12-01,1365.0
1962-01-01,1361.0
1962-02-01,1278.0
1962-03-01,1443.0
1962-04-01,1524.0
1962-05-01,1483.0
1962-06-01,1404.0
1962-07-01,1450.0
1962-08-01,1517.0
1962-09-01,1324.0
1962-10-01,1533.0
1962-11-01,1622.0
1962-12-01,1564.0
1963-01-01,1244.0
1963-02-01,1456.0
1963-03-01,1534.0
1963-04-01,1689.0
1963-05-01,1641.0
1963-06-01,1588.0
1963-07-01,1614.0
1963-08-01,1639.0
1963-09-01,1763.0
1963-10-01,1779.0
1963-11-01,1622.0
1963-12-01,1491.0
1964-01-01,1603.0
1964-02-01,1820.0
1964-03-01,1517.0
1964-04-01,1448.0
1964-05-01,1467.0
1964-06-01,1550.0
1964-07-01,1562.0
1964-08-01,1569.0
1964-09-01,1455.0
1964-10-01,1524.0
1964-11-01,1486.0
1964-12-01,1484.0
1965-01-01,1361.0
1965-02-01,1433.0
1965-03-01,1423.0
1965-04-01,1438.0
1965-05-01,1478.0
1965-06-01,1488.0
1965-07-01,1529.0
1965-08-01,1432.0
1965-09-01,1482.0
1965-10-01,1452.0
1965-11-01,1460.0
1965-12-01,1656.0
1966-01-01,1370.0
1966-02-01,1378.0
1966-03-01,1394.0
1966-04-01,1352.0
1966-05-01,1265.0
1966-06-01,1194.0
1966-07-01,1086.0
1966-08-01,1119.0
1966-09-01,1046.0
1966-10-01,843.0
1966-11-01,961.0
1966-12-01,990.0
1967-01-01,1067.0
1967-02-01,1123.0
1967-03-01,1056.0
1967-04-01,1091.0
1967-05-01,1304.0
1967-06-01,1248.0
1967-07-01,1364.0
1967-08-01,1407.0
1967-09-01,1421.0
1967-10-01,1491.0
1967-11-01,1538.0
1967-12-01,1308.0
1968-01-01,1380.0
1968-02-01,1520.0
1968-03-01,1466.0
1968-04-01,1554.0
1968-05-01,1408.0
1968-06-01,1405.0
1968-07-01,1512.0
1968-08-01,1495.0
1968-09-01,1556.0
1968-10-01,1569.0
1968-11-01,1630.0
1968-12-01,1548.0
1969-01-01,1769.0
1969-02-01,1705.0
1969-03-01,1561.0
1969-04-01,1524.0
1969-05-01,1583.0
1969-06-01,1528.0
1969-07-01,1368.0
1969-08-01,1358.0
1969-09-01,1507.0
1969-10-01,1381.0
1969-11-01,1229.0
1969-12-01,1327.0
1970-01-01,1085.0
1970-02-01,1305.0
1970-03-01,1319.0
1970-04-01,1264.0
1970-05-01,1290.0
1970-06-01,1385.0
1970-07-01,1517.0
1970-08-01,1399.0
1970-09-01,1534.0
1970-10-01,1580.0
1970-11-01,1647.0
1970-12-01,1893.0
1971-01-01,1828.0
1971-02-01,1741.0
1971-03-01,1910.0
1971-04-01,1986.0
1971-05-01,2049.0
1971-06-01,2026.0
1971-07-01,2083.0
1971-08-01,2158.0
1971-09-01,2041.0
1971-10-01,2128.0
1971-11-01,2182.0
1971-12-01,2295.0
1972-01-01,2494.0
1972-02-01,2390.0
1972-03-01,2334.0
1972-04-01,2249.0
1972-05-01,2221.0
1972-06-01,2254.0
1972-07-01,2252.0
1972-08-01,2382.0
1972-09-01,2481.0
1972-10-01,2485.0
1972-11-01,2421.0
1972-12-01,2366.0
1973-01-01,2481.0
