observation_date,CDSP_20000215
1980-01-01,8.76
1980-04-01,8.65
1980-07-01,8.29
1980-10-01,7.99
1981-01-01,7.85
1981-04-01,7.85
1981-07-01,7.66
1981-10-01,7.62
1982-01-01,7.61
1982-04-01,7.59
1982-07-01,7.51
1982-10-01,7.47
1983-01-01,7.46
1983-04-01,7.44
1983-07-01,7.42
1983-10-01,7.46
1984-01-01,7.51
1984-04-01,7.61
1984-07-01,7.69
1984-10-01,7.80
1985-01-01,7.99
1985-04-01,8.03
1985-07-01,8.24
1985-10-01,8.29
1986-01-01,8.30
1986-04-01,8.36
1986-07-01,8.43
1986-10-01,8.50
1987-01-01,8.25
1987-04-01,8.20
1987-07-01,8.03
1987-10-01,7.92
1988-01-01,7.85
1988-04-01,7.79
1988-07-01,7.68
1988-10-01,7.58
1989-01-01,7.52
1989-04-01,7.58
1989-07-01,7.60
1989-10-01,7.57
1990-01-01,7.38
1990-04-01,7.24
1990-07-01,7.16
1990-10-01,7.11
1991-01-01,6.96
1991-04-01,6.77
1991-07-01,6.64
1991-10-01,6.51
1992-01-01,6.38
1992-04-01,6.24
1992-07-01,6.18
1992-10-01,6.03
1993-01-01,6.14
1993-04-01,6.08
1993-07-01,6.12
1993-10-01,6.13
1994-01-01,6.28
1994-04-01,6.29
1994-07-01,6.41
1994-10-01,6.52
1995-01-01,6.56
1995-04-01,6.77
1995-07-01,6.92
1995-10-01,7.05
1996-01-01,7.21
1996-04-01,7.37
1996-07-01,7.42
1996-10-01,7.44
1997-01-01,7.47
1997-04-01,7.54
1997-07-01,7.52
1997-10-01,7.47
1998-01-01,7.53
1998-04-01,7.60
1998-07-01,7.59
1998-10-01,7.57
1999-01-01,7.59
1999-04-01,7.59
1999-07-01,7.59
