observation_date,TDSP_20040615
1980-01-01,11.14
1980-04-01,11.17
1980-07-01,10.89
1980-10-01,10.60
1981-01-01,10.64
1981-04-01,10.74
1981-07-01,10.61
1981-10-01,10.66
1982-01-01,10.74
1982-04-01,10.77
1982-07-01,10.67
1982-10-01,10.64
1983-01-01,10.60
1983-04-01,10.60
1983-07-01,10.59
1983-10-01,10.64
1984-01-01,10.67
1984-04-01,10.78
1984-07-01,10.86
1984-10-01,11.00
1985-01-01,11.32
1985-04-01,11.40
1985-07-01,11.75
1985-10-01,11.86
1986-01-01,11.87
1986-04-01,11.97
1986-07-01,12.11
1986-10-01,12.28
1987-01-01,12.13
1987-04-01,12.28
1987-07-01,12.14
1987-10-01,11.99
1988-01-01,11.94
1988-04-01,11.92
1988-07-01,11.88
1988-10-01,11.76
1989-01-01,11.73
1989-04-01,11.92
1989-07-01,12.01
1989-10-01,12.05
1990-01-01,11.99
1990-04-01,11.99
1990-07-01,11.97
1990-10-01,11.99
1991-01-01,11.97
1991-04-01,11.82
1991-07-01,11.72
1991-10-01,11.54
1992-01-01,11.30
1992-04-01,11.14
1992-07-01,10.99
1992-10-01,10.80
1993-01-01,11.02
1993-04-01,10.84
1993-07-01,10.90
1993-10-01,10.80
1994-01-01,10.98
1994-04-01,10.97
1994-07-01,11.07
1994-10-01,11.18
1995-01-01,11.39
1995-04-01,11.63
1995-07-01,11.79
1995-10-01,11.88
1996-01-01,11.91
1996-04-01,12.00
1996-07-01,12.08
1996-10-01,12.13
1997-01-01,12.13
1997-04-01,12.19
1997-07-01,12.21
1997-10-01,12.12
1998-01-01,12.06
1998-04-01,12.07
1998-07-01,12.08
1998-10-01,12.12
1999-01-01,12.21
1999-04-01,12.36
1999-07-01,12.49
1999-10-01,12.44
2000-01-01,12.36
2000-04-01,12.54
2000-07-01,12.65
2000-10-01,12.86
2001-01-01,13.04
2001-04-01,13.20
2001-07-01,12.98
2001-10-01,13.33
2002-01-01,13.21
2002-04-01,13.18
2002-07-01,13.30
2002-10-01,13.33
2003-01-01,13.31
2003-04-01,13.24
2003-07-01,13.12
2003-10-01,13.22
