observation_date,DRSFRMACBS_20180115
1991-01-01,3.10
1991-04-01,3.16
1991-07-01,3.22
1991-10-01,3.30
1992-01-01,3.13
1992-04-01,3.04
1992-07-01,2.89
1992-10-01,2.79
1993-01-01,2.80
1993-04-01,2.66
1993-07-01,2.57
1993-10-01,2.46
1994-01-01,2.38
1994-04-01,2.25
1994-07-01,2.16
1994-10-01,2.07
1995-01-01,2.08
1995-04-01,2.11
1995-07-01,2.15
1995-10-01,2.17
1996-01-01,2.19
1996-04-01,2.26
1996-07-01,2.23
1996-10-01,2.34
1997-01-01,2.30
1997-04-01,2.28
1997-07-01,2.26
1997-10-01,2.22
1998-01-01,2.20
1998-04-01,2.13
1998-07-01,2.09
1998-10-01,2.02
1999-01-01,1.95
1999-04-01,1.89
1999-07-01,2.13
1999-10-01,1.99
2000-01-01,1.95
2000-04-01,1.97
2000-07-01,2.09
2000-10-01,2.22
2001-01-01,2.35
2001-04-01,2.40
2001-07-01,2.19
2001-10-01,2.26
2002-01-01,2.23
2002-04-01,2.16
2002-07-01,2.11
2002-10-01,2.00
2003-01-01,1.96
2003-04-01,1.83
2003-07-01,1.74
2003-10-01,1.76
2004-01-01,1.65
2004-04-01,1.60
2004-07-01,1.54
2004-10-01,1.41
2005-01-01,1.42
2005-04-01,1.55
2005-07-01,1.59
2005-10-01,1.63
2006-01-01,1.61
2006-04-01,1.62
2006-07-01,1.74
2006-10-01,1.91
2007-01-01,2.08
2007-04-01,2.31
2007-07-01,2.70
2007-10-01,3.09
2008-01-01,3.66
2008-04-01,4.38
2008-07-01,5.30
2008-10-01,6.60
2009-01-01,7.95
2009-04-01,8.59
2009-07-01,9.54
2009-10-01,10.35
2010-01-01,11.53
2010-04-01,11.06
2010-07-01,10.60
2010-10-01,10.37
2011-01-01,10.35
2011-04-01,10.52
2011-07-01,10.50
2011-10-01,10.29
2012-01-01,10.35
2012-04-01,10.42
2012-07-01,10.43
2012-10-01,10.05
2013-01-01,9.75
2013-04-01,9.29
2013-07-01,8.65
2013-10-01,8.32
2014-01-01,7.77
2014-04-01,7.42
2014-07-01,7.06
2014-10-01,6.53
2015-01-01,6.23
2015-04-01,5.82
2015-07-01,5.40
2015-10-01,5.08
2016-01-01,4.80
2016-04-01,4.60
2016-07-01,4.36
2016-10-01,4.14
2017-01-01,3.91
2017-04-01,3.70
2017-07-01,3.62
