observation_date,DGORDER_20140615
1992-02-01,114535
1992-03-01,120025
1992-04-01,124470
1992-05-01,125822
1992-06-01,122834
1992-07-01,122590
1992-08-01,120411
1992-09-01,120711
1992-10-01,127392
1992-11-01,122374
1992-12-01,126080
1993-01-01,121637
1993-02-01,128854
1993-03-01,126762
1993-04-01,127395
1993-05-01,126529
1993-06-01,130212
1993-07-01,128111
1993-08-01,129378
1993-09-01,127233
1993-10-01,133168
1993-11-01,130391
1993-12-01,133565
1994-01-01,138498
1994-02-01,137141
1994-03-01,136548
1994-04-01,140336
1994-05-01,142630
1994-06-01,145063
1994-07-01,145013
1994-08-01,145884
1994-09-01,145487
1994-10-01,149547
1994-11-01,150038
1994-12-01,152489
1995-01-01,150459
1995-02-01,153856
1995-03-01,152888
1995-04-01,151401
1995-05-01,152838
1995-06-01,150051
1995-07-01,148915
1995-08-01,154372
1995-09-01,160175
1995-10-01,155473
1995-11-01,156146
1995-12-01,163279
1996-01-01,155806
1996-02-01,150773
1996-03-01,164976
1996-04-01,156830
1996-05-01,164502
1996-06-01,164599
1996-07-01,163588
1996-08-01,157310
1996-09-01,165442
1996-10-01,165266
1996-11-01,170783
1996-12-01,162332
1997-01-01,161592
1997-02-01,170206
1997-03-01,167719
1997-04-01,173671
1997-05-01,168619
1997-06-01,174738
1997-07-01,179142
1997-08-01,176536
1997-09-01,177546
1997-10-01,178973
1997-11-01,191257
1997-12-01,173570
1998-01-01,174244
1998-02-01,181130
1998-03-01,177078
1998-04-01,180941
1998-05-01,180177
1998-06-01,172478
1998-07-01,170354
1998-08-01,178989
1998-09-01,180864
1998-10-01,179307
1998-11-01,182330
1998-12-01,178715
1999-01-01,185997
1999-02-01,185441
1999-03-01,185029
1999-04-01,182692
1999-05-01,186102
1999-06-01,182790
1999-07-01,189069
1999-08-01,189367
1999-09-01,188755
1999-10-01,194560
1999-11-01,186748
1999-12-01,196112
2000-01-01,201377
2000-02-01,184056
2000-03-01,192276
2000-04-01,194776
2000-05-01,188733
2000-06-01,220067
2000-07-01,189426
2000-08-01,188888
2000-09-01,198931
2000-10-01,186599
2000-11-01,189637
2000-12-01,187937
2001-01-01,177029
2001-02-01,180643
2001-03-01,182303
2001-04-01,171658
2001-05-01,178160
2001-06-01,176168
2001-07-01,170154
2001-08-01,170336
2001-09-01,163676
2001-10-01,171983
2001-11-01,163604
2001-12-01,165550
2002-01-01,162536
2002-02-01,171456
2002-03-01,168201
2002-04-01,171448
2002-05-01,172530
2002-06-01,165920
2002-07-01,174903
2002-08-01,177422
2002-09-01,167606
2002-10-01,168370
2002-11-01,170010
2002-12-01,163578
2003-01-01,168850
2003-02-01,173222
2003-03-01,173113
2003-04-01,169571
2003-05-01,170965
2003-06-01,174100
2003-07-01,173679
2003-08-01,173625
2003-09-01,178156
2003-10-01,183646
2003-11-01,182037
2003-12-01,181322
2004-01-01,176629
2004-02-01,180424
2004-03-01,191756
2004-04-01,184334
2004-05-01,183437
2004-06-01,185555
2004-07-01,187201
2004-08-01,185159
2004-09-01,188441
2004-10-01,185339
2004-11-01,192910
2004-12-01,192946
2005-01-01,193056
2005-02-01,195059
2005-03-01,187368
2005-04-01,194871
2005-05-01,206123
2005-06-01,209567
2005-07-01,196698
2005-08-01,205325
2005-09-01,204231
2005-10-01,210148
2005-11-01,222294
2005-12-01,220001
2006-01-01,207601
2006-02-01,217795
2006-03-01,227468
2006-04-01,214319
2006-05-01,215660
2006-06-01,221123
2006-07-01,212159
2006-08-01,211224
2006-09-01,235868
2006-10-01,217059
2006-11-01,226021
2006-12-01,228756
2007-01-01,218665
2007-02-01,221355
2007-03-01,228371
2007-04-01,233557
2007-05-01,227712
2007-06-01,229566
2007-07-01,239030
2007-08-01,234080
2007-09-01,226066
2007-10-01,229474
2007-11-01,232344
2007-12-01,242737
2008-01-01,237339
2008-02-01,233713
2008-03-01,229927
2008-04-01,229820
2008-05-01,229731
2008-06-01,229437
2008-07-01,224808
2008-08-01,216523
2008-09-01,211527
2008-10-01,192175
2008-11-01,183819
2008-12-01,173479
2009-01-01,152589
2009-02-01,145558
2009-03-01,144684
2009-04-01,144167
2009-05-01,149697
2009-06-01,145789
2009-07-01,156484
2009-08-01,157891
2009-09-01,157068
2009-10-01,162306
2009-11-01,161082
2009-12-01,158739
2010-01-01,181005
2010-02-01,175850
2010-03-01,179451
2010-04-01,186904
2010-05-01,185592
2010-06-01,186094
2010-07-01,190113
2010-08-01,192395
2010-09-01,200468
2010-10-01,194374
2010-11-01,196504
2010-12-01,194141
2011-01-01,204664
2011-02-01,194494
2011-03-01,212478
2011-04-01,201676
2011-05-01,206556
2011-06-01,201521
2011-07-01,210259
2011-08-01,217267
2011-09-01,209447
2011-10-01,209973
2011-11-01,217771
2011-12-01,226371
2012-01-01,222040
2012-02-01,220242
2012-03-01,217022
2012-04-01,216932
2012-05-01,214116
2012-06-01,217110
2012-07-01,225092
2012-08-01,201378
2012-09-01,214344
2012-10-01,219147
2012-11-01,217177
2012-12-01,230360
2013-01-01,220179
2013-02-01,230272
2013-03-01,213818
2013-04-01,224074
2013-05-01,231715
2013-06-01,243780
2013-07-01,224330
2013-08-01,225292
2013-09-01,233988
2013-10-01,231075
2013-11-01,241438
2013-12-01,229813
2014-01-01,224010
2014-02-01,229864
2014-03-01,238420
2014-04-01,239904
