observation_date,DRSFRMACBS_20170115
1991-01-01,3.24
1991-04-01,3.30
1991-07-01,3.36
1991-10-01,3.36
1992-01-01,3.27
1992-04-01,3.16
1992-07-01,3.02
1992-10-01,2.89
1993-01-01,2.83
1993-04-01,2.74
1993-07-01,2.70
1993-10-01,2.46
1994-01-01,2.48
1994-04-01,2.31
1994-07-01,2.19
1994-10-01,2.10
1995-01-01,2.12
1995-04-01,2.16
1995-07-01,2.23
1995-10-01,2.24
1996-01-01,2.25
1996-04-01,2.31
1996-07-01,2.30
1996-10-01,2.34
1997-01-01,2.36
1997-04-01,2.33
1997-07-01,2.29
1997-10-01,2.25
1998-01-01,2.21
1998-04-01,2.18
1998-07-01,2.17
1998-10-01,2.06
1999-01-01,1.95
1999-04-01,1.93
1999-07-01,2.22
1999-10-01,1.96
2000-01-01,1.99
2000-04-01,2.02
2000-07-01,2.14
2000-10-01,2.26
2001-01-01,2.29
2001-04-01,2.42
2001-07-01,2.26
2001-10-01,2.21
2002-01-01,2.23
2002-04-01,2.18
2002-07-01,2.13
2002-10-01,1.94
2003-01-01,1.98
2003-04-01,1.84
2003-07-01,1.75
2003-10-01,1.74
2004-01-01,1.65
2004-04-01,1.61
2004-07-01,1.60
2004-10-01,1.36
2005-01-01,1.44
2005-04-01,1.56
2005-07-01,1.59
2005-10-01,1.61
2006-01-01,1.60
2006-04-01,1.63
2006-07-01,1.76
2006-10-01,1.93
2007-01-01,2.03
2007-04-01,2.31
2007-07-01,2.78
2007-10-01,3.06
2008-01-01,3.67
2008-04-01,4.39
2008-07-01,5.26
2008-10-01,6.64
2009-01-01,7.80
2009-04-01,8.62
2009-07-01,9.65
2009-10-01,10.51
2010-01-01,11.20
2010-04-01,11.13
2010-07-01,10.79
2010-10-01,10.20
2011-01-01,10.40
2011-04-01,10.57
2011-07-01,10.35
2011-10-01,10.31
2012-01-01,10.35
2012-04-01,10.45
2012-07-01,10.66
2012-10-01,10.01
2013-01-01,9.72
2013-04-01,9.30
2013-07-01,8.64
2013-10-01,8.21
2014-01-01,7.83
2014-04-01,7.41
2014-07-01,6.99
2014-10-01,6.58
2015-01-01,6.16
2015-04-01,5.79
2015-07-01,5.46
2015-10-01,5.16
2016-01-01,4.84
2016-04-01,4.56
2016-07-01,4.30
