observation_date,CSCICP03USM665S_20150215
1960-01-01,101.6175542050950
1960-02-01,101.3573426437100
1960-03-01,101.1325423157750
1960-04-01,101.0085391703760
1960-05-01,101.0398461197850
1960-06-01,101.1284581056630
1960-07-01,101.1471761213520
1960-08-01,101.0056261977060
1960-09-01,100.7861723590980
1960-10-01,100.6039588802410
1960-11-01,100.5448564591520
1960-12-01,100.5661680291760
1961-01-01,100.6152046307330
1961-02-01,100.6674472919490
1961-03-01,100.7369838777540
1961-04-01,100.8599504990550
1961-05-01,101.0606789973310
1961-06-01,101.2644143937200
1961-07-01,101.3622344699430
1961-08-01,101.2729624522970
1961-09-01,101.1109950146350
1961-10-01,101.0297506995680
1961-11-01,101.1378137608830
1961-12-01,101.3343548821710
1962-01-01,101.4746459885210
1962-02-01,101.4470969982550
1962-03-01,101.3065425895830
1962-04-01,101.1233708389100
1962-05-01,100.9456572775400
1962-06-01,100.8039162903830
1962-07-01,100.7381486019330
1962-08-01,100.7889161892310
1962-09-01,100.9124438949180
1962-10-01,101.0646583276970
1962-11-01,101.2124666455900
1962-12-01,101.3163486109130
1963-01-01,101.3173547601390
1963-02-01,101.1680309275210
1963-03-01,100.9662185836220
1963-04-01,100.8387305887310
1963-05-01,100.8775154563840
1963-06-01,101.0014972690490
1963-07-01,101.1041409562620
1963-08-01,101.1158206265540
1963-09-01,101.0875260260190
1963-10-01,101.0998849334220
1963-11-01,101.2121598273160
1963-12-01,101.3705910440400
1964-01-01,101.4983316160490
1964-02-01,101.5392257874200
1964-03-01,101.5322781740700
1964-04-01,101.5311106256780
1964-05-01,101.5712608711370
1964-06-01,101.6317011002400
1964-07-01,101.6779505491400
1964-08-01,101.6848981021630
1964-09-01,101.6738156738240
1964-10-01,101.6776563828000
1964-11-01,101.7243826953630
1964-12-01,101.8053714433960
1965-01-01,101.9119503427520
1965-02-01,102.0376720761340
1965-03-01,102.1549982246580
1965-04-01,102.2243840186570
1965-05-01,102.2117586852410
1965-06-01,102.1539461384820
1965-07-01,102.0919923746610
1965-08-01,102.0496800927490
1965-09-01,102.0161845200550
1965-10-01,101.9685612066210
1965-11-01,101.8854171222980
1965-12-01,101.7747094826570
1966-01-01,101.6419078247520
1966-02-01,101.4857196500870
1966-03-01,101.3159100739610
1966-04-01,101.1389994419810
1966-05-01,100.9575823468480
1966-06-01,100.7767477021950
1966-07-01,100.6070754857470
1966-08-01,100.4670510320150
1966-09-01,100.3743168967740
1966-10-01,100.3707153057970
1966-11-01,100.5000402862950
1966-12-01,100.6966572528930
1967-01-01,100.8861420359360
1967-02-01,101.0186279248850
1967-03-01,101.1092848940770
1967-04-01,101.1772018545640
1967-05-01,101.2260978257050
1967-06-01,101.2477731154660
1967-07-01,101.2168272134910
1967-08-01,101.1125973643560
1967-09-01,100.9937183337650
1967-10-01,100.9397914921510
1967-11-01,101.0077030809490
1967-12-01,101.1229902886790
1968-01-01,101.1824202203010
1968-02-01,101.1091932488230
1968-03-01,100.9640036418260
1968-04-01,100.8279514908460
1968-05-01,100.7574172762770
1968-06-01,100.7297989762480
1968-07-01,100.7140462811990
1968-08-01,100.6982788939060
1968-09-01,100.7055392245290
1968-10-01,100.7818055013330
1968-11-01,100.9609771622950
1968-12-01,101.1608543017280
1969-01-01,101.2616842958860
1969-02-01,101.1640029489100
1969-03-01,100.9455227852430
1969-04-01,100.6931663174050
1969-05-01,100.4558981292750
1969-06-01,100.2314332647350
1969-07-01,100.0012956835660
