observation_date,TDSP_20040115
1980-01-01,11.06
1980-04-01,11.07
1980-07-01,10.83
1980-10-01,10.60
1981-01-01,10.58
1981-04-01,10.75
1981-07-01,10.62
1981-10-01,10.69
1982-01-01,10.80
1982-04-01,10.85
1982-07-01,10.79
1982-10-01,10.77
1983-01-01,10.76
1983-04-01,10.74
1983-07-01,10.73
1983-10-01,10.78
1984-01-01,10.81
1984-04-01,10.93
1984-07-01,10.99
1984-10-01,11.16
1985-01-01,11.49
1985-04-01,11.57
1985-07-01,11.90
1985-10-01,12.00
1986-01-01,12.03
1986-04-01,12.14
1986-07-01,12.28
1986-10-01,12.47
1987-01-01,12.25
1987-04-01,12.38
1987-07-01,12.22
1987-10-01,12.06
1988-01-01,11.99
1988-04-01,11.98
1988-07-01,11.92
1988-10-01,11.82
1989-01-01,11.74
1989-04-01,11.91
1989-07-01,12.04
1989-10-01,12.08
1990-01-01,11.97
1990-04-01,11.97
1990-07-01,11.95
1990-10-01,11.96
1991-01-01,11.94
1991-04-01,11.78
1991-07-01,11.68
1991-10-01,11.54
1992-01-01,11.27
1992-04-01,11.12
1992-07-01,11.03
1992-10-01,10.78
1993-01-01,10.97
1993-04-01,10.78
1993-07-01,10.84
1993-10-01,10.74
1994-01-01,10.93
1994-04-01,10.93
1994-07-01,11.03
1994-10-01,11.15
1995-01-01,11.37
1995-04-01,11.61
1995-07-01,11.75
1995-10-01,11.83
1996-01-01,11.90
1996-04-01,12.03
1996-07-01,12.09
1996-10-01,12.17
1997-01-01,12.17
1997-04-01,12.21
1997-07-01,12.25
1997-10-01,12.22
1998-01-01,12.16
1998-04-01,12.14
1998-07-01,12.18
1998-10-01,12.23
1999-01-01,12.30
1999-04-01,12.43
1999-07-01,12.58
1999-10-01,12.64
2000-01-01,12.56
2000-04-01,12.67
2000-07-01,12.81
2000-10-01,12.99
2001-01-01,13.13
2001-04-01,13.28
2001-07-01,13.13
2001-10-01,13.58
2002-01-01,13.31
2002-04-01,13.26
2002-07-01,13.28
2002-10-01,13.29
2003-01-01,13.29
2003-04-01,13.30
