observation_date,PCEC96_19830315
1959-01-01,430.0
1959-02-01,433.8
1959-03-01,438.5
1959-04-01,436.5
1959-05-01,440.8
1959-06-01,441.7
1959-07-01,440.3
1959-08-01,442.7
1959-09-01,447.0
1959-10-01,444.5
1959-11-01,444.6
1959-12-01,444.8
1960-01-01,445.6
1960-02-01,446.7
1960-03-01,452.2
1960-04-01,459.4
1960-05-01,451.3
1960-06-01,451.7
1960-07-01,452.6
1960-08-01,451.9
1960-09-01,453.5
1960-10-01,455.5
1960-11-01,454.5
1960-12-01,449.5
1961-01-01,451.0
1961-02-01,453.0
1961-03-01,458.0
1961-04-01,458.0
1961-05-01,460.5
1961-06-01,461.3
1961-07-01,459.5
1961-08-01,461.1
1961-09-01,463.5
1961-10-01,466.4
1961-11-01,470.9
1961-12-01,473.4
1962-01-01,473.5
1962-02-01,473.2
1962-03-01,476.7
1962-04-01,478.2
1962-05-01,481.8
1962-06-01,479.5
1962-07-01,481.2
1962-08-01,482.5
1962-09-01,487.4
1962-10-01,485.2
1962-11-01,491.3
1962-12-01,493.3
1963-01-01,493.4
1963-02-01,491.7
1963-03-01,494.1
1963-04-01,495.7
1963-05-01,495.9
1963-06-01,500.7
1963-07-01,503.3
1963-08-01,505.1
1963-09-01,503.5
1963-10-01,503.5
1963-11-01,506.8
1963-12-01,512.3
1964-01-01,513.3
1964-02-01,517.3
1964-03-01,519.2
1964-04-01,520.1
1964-05-01,527.0
1964-06-01,529.8
1964-07-01,533.1
1964-08-01,536.2
1964-09-01,533.6
1964-10-01,536.7
1964-11-01,531.9
1964-12-01,537.3
1965-01-01,540.8
1965-02-01,548.4
1965-03-01,548.8
1965-04-01,552.7
1965-05-01,552.0
1965-06-01,547.4
1965-07-01,554.0
1965-08-01,557.6
1965-09-01,566.1
1965-10-01,573.8
1965-11-01,573.3
1965-12-01,574.6
1966-01-01,577.6
1966-02-01,581.1
1966-03-01,584.9
1966-04-01,585.4
1966-05-01,579.9
1966-06-01,581.7
1966-07-01,586.7
1966-08-01,587.0
1966-09-01,592.1
1966-10-01,589.5
1966-11-01,590.4
1966-12-01,591.6
1967-01-01,594.7
1967-02-01,593.5
1967-03-01,596.1
1967-04-01,601.7
1967-05-01,601.1
1967-06-01,604.3
1967-07-01,602.1
1967-08-01,604.2
1967-09-01,609.3
1967-10-01,603.3
1967-11-01,607.3
1967-12-01,614.1
1968-01-01,617.1
1968-02-01,617.6
1968-03-01,627.4
1968-04-01,625.1
1968-05-01,629.2
1968-06-01,635.4
1968-07-01,641.3
1968-08-01,643.4
1968-09-01,642.1
1968-10-01,643.1
1968-11-01,646.5
1968-12-01,644.6
1969-01-01,649.8
1969-02-01,654.3
1969-03-01,651.5
1969-04-01,654.0
1969-05-01,658.7
