observation_date,HOUST_19690215
1959-01-01,1582
1959-02-01,1530
1959-03-01,1579
1959-04-01,1597
1959-05-01,1494
1959-06-01,1475
1959-07-01,1537
1959-08-01,1443
1959-09-01,1521
1959-10-01,1274
1959-11-01,1408
1959-12-01,1564
1960-01-01,1684
1960-02-01,1536
1960-03-01,1098
1960-04-01,1270
1960-05-01,1291
1960-06-01,1228
1960-07-01,1211
1960-08-01,1366
1960-09-01,1107
1960-10-01,1174
1960-11-01,1267
1960-12-01,1048
1961-01-01,1319
1961-02-01,1267
1961-03-01,1299
1961-04-01,1159
1961-05-01,1248
1961-06-01,1361
1961-07-01,1329
1961-08-01,1341
1961-09-01,1444
1961-10-01,1333
1961-11-01,1402
1961-12-01,1370
1962-01-01,1489
1962-02-01,1313
1962-03-01,1441
1962-04-01,1515
1962-05-01,1531
1962-06-01,1389
1962-07-01,1429
1962-08-01,1560
1962-09-01,1328
1962-10-01,1451
1962-11-01,1648
1962-12-01,1538
1963-01-01,1265
1963-02-01,1514
1963-03-01,1503
1963-04-01,1644
1963-05-01,1676
1963-06-01,1552
1963-07-01,1627
1963-08-01,1580
1963-09-01,1747
1963-10-01,1876
1963-11-01,1567
1963-12-01,1532
1964-01-01,1647
1964-02-01,1867
1964-03-01,1555
1964-04-01,1417
1964-05-01,1480
1964-06-01,1589
1964-07-01,1540
1964-08-01,1489
1964-09-01,1421
1964-10-01,1572
1964-11-01,1508
1964-12-01,1489
1965-01-01,1409
1965-02-01,1434
1965-03-01,1451
1965-04-01,1453
1965-05-01,1484
1965-06-01,1503
1965-07-01,1508
1965-08-01,1399
1965-09-01,1472
1965-10-01,1467
1965-11-01,1460
1965-12-01,1570
1966-01-01,1433
1966-02-01,1408
1966-03-01,1430
1966-04-01,1377
1966-05-01,1262
1966-06-01,1185
1966-07-01,1079
1966-08-01,1108
1966-09-01,1048
1966-10-01,845
1966-11-01,975
1966-12-01,931
1967-01-01,1111
1967-02-01,1149
1967-03-01,1094
1967-04-01,1116
1967-05-01,1274
1967-06-01,1233
1967-07-01,1369
1967-08-01,1407
1967-09-01,1445
1967-10-01,1496
1967-11-01,1590
1967-12-01,1250
1968-01-01,1456
1968-02-01,1537
1968-03-01,1511
1968-04-01,1591
1968-05-01,1364
1968-06-01,1365
1968-07-01,1531
1968-08-01,1518
1968-09-01,1592
1968-10-01,1570
1968-11-01,1717
1968-12-01,1454
