observation_date,DGORDER_20070715
1992-02-01,115206
1992-03-01,119376
1992-04-01,125109
1992-05-01,125100
1992-06-01,122775
1992-07-01,122354
1992-08-01,120275
1992-09-01,120148
1992-10-01,127933
1992-11-01,122688
1992-12-01,126063
1993-01-01,121602
1993-02-01,129780
1993-03-01,126693
1993-04-01,127416
1993-05-01,126462
1993-06-01,129606
1993-07-01,127694
1993-08-01,129768
1993-09-01,127021
1993-10-01,133004
1993-11-01,131385
1993-12-01,133292
1994-01-01,138667
1994-02-01,137994
1994-03-01,137769
1994-04-01,138675
1994-05-01,142750
1994-06-01,145007
1994-07-01,143977
1994-08-01,146333
1994-09-01,145326
1994-10-01,149682
1994-11-01,150671
1994-12-01,151918
1995-01-01,151474
1995-02-01,154853
1995-03-01,151926
1995-04-01,151408
1995-05-01,152759
1995-06-01,149993
1995-07-01,148479
1995-08-01,155069
1995-09-01,159596
1995-10-01,155468
1995-11-01,157294
1995-12-01,161913
1996-01-01,157060
1996-02-01,152073
1996-03-01,164186
1996-04-01,156859
1996-05-01,163945
1996-06-01,164177
1996-07-01,163512
1996-08-01,157399
1996-09-01,165738
1996-10-01,165647
1996-11-01,170355
1996-12-01,162113
1997-01-01,163080
1997-02-01,171060
1997-03-01,169123
1997-04-01,171235
1997-05-01,167647
1997-06-01,174792
1997-07-01,179875
1997-08-01,176190
1997-09-01,178480
1997-10-01,178703
1997-11-01,190332
1997-12-01,174040
1998-01-01,175128
1998-02-01,181563
1998-03-01,176495
1998-04-01,181624
1998-05-01,178508
1998-06-01,173417
1998-07-01,170349
1998-08-01,179452
1998-09-01,181065
1998-10-01,178633
1998-11-01,181399
1998-12-01,180338
1999-01-01,185806
1999-02-01,185698
1999-03-01,185512
1999-04-01,181882
1999-05-01,185734
1999-06-01,183118
1999-07-01,188803
1999-08-01,190813
1999-09-01,189240
1999-10-01,192814
1999-11-01,186573
1999-12-01,197159
2000-01-01,201151
2000-02-01,183990
2000-03-01,191107
2000-04-01,195055
2000-05-01,189280
2000-06-01,220442
2000-07-01,189922
2000-08-01,190281
2000-09-01,198222
2000-10-01,185606
2000-11-01,189335
2000-12-01,188166
2001-01-01,177981
2001-02-01,179799
2001-03-01,182115
2001-04-01,171764
2001-05-01,180029
2001-06-01,175925
2001-07-01,171802
2001-08-01,171655
2001-09-01,163265
2001-10-01,171559
2001-11-01,163656
2001-12-01,166429
2002-01-01,160390
2002-02-01,168863
2002-03-01,167912
2002-04-01,167409
2002-05-01,171521
2002-06-01,163667
2002-07-01,174369
2002-08-01,175819
2002-09-01,165756
2002-10-01,167298
2002-11-01,167592
2002-12-01,162419
2003-01-01,167179
2003-02-01,172206
2003-03-01,171312
2003-04-01,170242
2003-05-01,170593
2003-06-01,172644
2003-07-01,175472
2003-08-01,172297
2003-09-01,177622
2003-10-01,182557
2003-11-01,180193
2003-12-01,179955
2004-01-01,171870
2004-02-01,176200
2004-03-01,188832
2004-04-01,182202
2004-05-01,180555
2004-06-01,182920
2004-07-01,186323
2004-08-01,183857
2004-09-01,186522
2004-10-01,182974
2004-11-01,190366
2004-12-01,189786
2005-01-01,190049
2005-02-01,192387
2005-03-01,189204
2005-04-01,191184
2005-05-01,204022
2005-06-01,208096
2005-07-01,197541
2005-08-01,204083
2005-09-01,202382
2005-10-01,208224
2005-11-01,216626
2005-12-01,215941
2006-01-01,202311
2006-02-01,210511
2006-03-01,220289
2006-04-01,211899
2006-05-01,211578
2006-06-01,218305
2006-07-01,213429
2006-08-01,211015
2006-09-01,229605
2006-10-01,210394
2006-11-01,215096
2006-12-01,218414
2007-01-01,205056
2007-02-01,206150
2007-03-01,216709
2007-04-01,218978
2007-05-01,213684
