observation_date,INDPRO_20021215
1921-01-01,5.091
1921-02-01,4.988
1921-03-01,4.850
1921-04-01,4.850
1921-05-01,4.988
1921-06-01,4.954
1921-07-01,4.919
1921-08-01,5.091
1921-09-01,5.126
1921-10-01,5.435
1921-11-01,5.366
1921-12-01,5.332
1922-01-01,5.538
1922-02-01,5.779
1922-03-01,6.089
1922-04-01,5.882
1922-05-01,6.192
1922-06-01,6.502
1922-07-01,6.502
1922-08-01,6.364
1922-09-01,6.708
1922-10-01,7.086
1922-11-01,7.396
1922-12-01,7.602
1923-01-01,7.430
1923-02-01,7.534
1923-03-01,7.774
1923-04-01,7.946
1923-05-01,8.050
1923-06-01,7.981
1923-07-01,7.912
1923-08-01,7.774
1923-09-01,7.602
1923-10-01,7.568
1923-11-01,7.568
1923-12-01,7.396
1924-01-01,7.568
1924-02-01,7.706
1924-03-01,7.568
1924-04-01,7.327
1924-05-01,7.018
1924-06-01,6.708
1924-07-01,6.605
1924-08-01,6.846
1924-09-01,7.086
1924-10-01,7.258
1924-11-01,7.396
1924-12-01,7.602
1925-01-01,7.843
1925-02-01,7.843
1925-03-01,7.843
1925-04-01,7.912
1925-05-01,7.878
1925-06-01,7.809
1925-07-01,8.015
1925-08-01,7.878
1925-09-01,7.774
1925-10-01,8.084
1925-11-01,8.256
1925-12-01,8.359
1926-01-01,8.222
1926-02-01,8.222
1926-03-01,8.325
1926-04-01,8.325
1926-05-01,8.256
1926-06-01,8.359
1926-07-01,8.394
1926-08-01,8.497
1926-09-01,8.634
1926-10-01,8.634
1926-11-01,8.600
1926-12-01,8.566
1927-01-01,8.531
1927-02-01,8.600
1927-03-01,8.703
1927-04-01,8.497
1927-05-01,8.566
1927-06-01,8.531
1927-07-01,8.428
1927-08-01,8.428
1927-09-01,8.290
1927-10-01,8.118
1927-11-01,8.118
1927-12-01,8.153
1928-01-01,8.325
1928-02-01,8.394
1928-03-01,8.462
1928-04-01,8.428
1928-05-01,8.531
1928-06-01,8.600
1928-07-01,8.703
1928-08-01,8.875
1928-09-01,8.944
1928-10-01,9.116
1928-11-01,9.288
1928-12-01,9.460
1929-01-01,9.598
1929-02-01,9.563
1929-03-01,9.598
1929-04-01,9.770
1929-05-01,9.942
1929-06-01,10.010
1929-07-01,10.148
1929-08-01,10.045
1929-09-01,9.976
1929-10-01,9.804
1929-11-01,9.322
1929-12-01,8.910
1930-01-01,8.910
1930-02-01,8.875
1930-03-01,8.738
1930-04-01,8.669
1930-05-01,8.531
1930-06-01,8.290
1930-07-01,7.912
1930-08-01,7.740
1930-09-01,7.602
1930-10-01,7.396
1930-11-01,7.224
1930-12-01,7.052
1931-01-01,7.018
1931-02-01,7.052
1931-03-01,7.190
1931-04-01,7.224
1931-05-01,7.121
1931-06-01,6.949
1931-07-01,6.846
1931-08-01,6.605
1931-09-01,6.295
1931-10-01,6.054
1931-11-01,5.986
1931-12-01,5.951
1932-01-01,5.779
1932-02-01,5.642
1932-03-01,5.573
1932-04-01,5.194
1932-05-01,5.022
1932-06-01,4.850
1932-07-01,4.713
1932-08-01,4.850
1932-09-01,5.160
1932-10-01,5.332
1932-11-01,5.332
1932-12-01,5.229
1933-01-01,5.126
1933-02-01,5.160
1933-03-01,4.850
1933-04-01,5.194
1933-05-01,6.054
1933-06-01,6.983
1933-07-01,7.637
1933-08-01,7.327
1933-09-01,6.914
1933-10-01,6.570
1933-11-01,6.192
1933-12-01,6.226
1934-01-01,6.433
1934-02-01,6.742
1934-03-01,7.052
1934-04-01,7.052
1934-05-01,7.190
1934-06-01,7.052
1934-07-01,6.570
1934-08-01,6.502
1934-09-01,6.123
1934-10-01,6.398
1934-11-01,6.467
1934-12-01,6.880
1935-01-01,7.430
1935-02-01,7.568
1935-03-01,7.534
1935-04-01,7.396
1935-05-01,7.396
1935-06-01,7.499
1935-07-01,7.499
1935-08-01,7.774
1935-09-01,7.981
1935-10-01,8.222
1935-11-01,8.394
1935-12-01,8.497
1936-01-01,8.359
1936-02-01,8.153
1936-03-01,8.256
1936-04-01,8.772
1936-05-01,8.944
1936-06-01,9.116
1936-07-01,9.288
1936-08-01,9.426
1936-09-01,9.598
1936-10-01,9.735
1936-11-01,10.010
1936-12-01,10.320
1937-01-01,10.286
1937-02-01,10.423
1937-03-01,10.664
1937-04-01,10.664
1937-05-01,10.698
1937-06-01,10.561
1937-07-01,10.630
1937-08-01,10.561
1937-09-01,10.217
1937-10-01,9.460
1937-11-01,8.531
1937-12-01,7.774
1938-01-01,7.602
1938-02-01,7.534
1938-03-01,7.534
1938-04-01,7.396
1938-05-01,7.224
1938-06-01,7.293
1938-07-01,7.706
1938-08-01,8.118
1938-09-01,8.359
1938-10-01,8.566
1938-11-01,8.910
1938-12-01,9.013
1939-01-01,9.013
1939-02-01,9.082
1939-03-01,9.116
1939-04-01,9.082
1939-05-01,9.047
1939-06-01,9.254
1939-07-01,9.529
1939-08-01,9.666
1939-09-01,10.251
1939-10-01,10.767
1939-11-01,11.042
1939-12-01,11.042
1940-01-01,10.905
1940-02-01,10.561
1940-03-01,10.320
1940-04-01,10.526
1940-05-01,10.836
1940-06-01,11.180
1940-07-01,11.318
1940-08-01,11.386
1940-09-01,11.627
1940-10-01,11.799
1940-11-01,12.074
1940-12-01,12.487
1941-01-01,12.797
1941-02-01,13.175
1941-03-01,13.588
1941-04-01,13.622
1941-05-01,14.242
1941-06-01,14.345
1941-07-01,14.517
1941-08-01,14.689
1941-09-01,14.689
1941-10-01,14.826
1941-11-01,14.895
1941-12-01,15.136
1942-01-01,15.446
1942-02-01,15.721
1942-03-01,15.893
1942-04-01,15.446
1942-05-01,15.480
1942-06-01,15.514
1942-07-01,15.893
1942-08-01,16.374
