observation_date,PCEC96_19930515
1959-01-01,1148.8
1959-02-01,1157.4
1959-03-01,1172.3
1959-04-01,1166.9
1959-05-01,1177.7
1959-06-01,1181.9
1959-07-01,1179.9
1959-08-01,1186.9
1959-09-01,1197.2
1959-10-01,1191.6
1959-11-01,1194.2
1959-12-01,1192.2
1960-01-01,1194.3
1960-02-01,1197.0
1960-03-01,1213.8
1960-04-01,1228.3
1960-05-01,1210.4
1960-06-01,1210.4
1960-07-01,1211.0
1960-08-01,1208.9
1960-09-01,1212.6
1960-10-01,1217.8
1960-11-01,1217.8
1960-12-01,1206.7
1961-01-01,1211.5
1961-02-01,1214.8
1961-03-01,1228.1
1961-04-01,1231.0
1961-05-01,1236.7
1961-06-01,1239.1
1961-07-01,1234.5
1961-08-01,1238.1
1961-09-01,1243.9
1961-10-01,1251.7
1961-11-01,1262.0
1961-12-01,1269.2
1962-01-01,1269.7
1962-02-01,1270.7
1962-03-01,1280.2
1962-04-01,1282.6
1962-05-01,1291.3
1962-06-01,1287.2
1962-07-01,1291.6
1962-08-01,1295.3
1962-09-01,1307.7
1962-10-01,1302.7
1962-11-01,1317.6
1962-12-01,1322.6
1963-01-01,1322.2
1963-02-01,1319.7
1963-03-01,1325.5
1963-04-01,1328.5
1963-05-01,1329.3
1963-06-01,1339.1
1963-07-01,1347.2
1963-08-01,1353.0
1963-09-01,1351.8
1963-10-01,1351.6
1963-11-01,1359.7
1963-12-01,1374.7
1964-01-01,1380.4
1964-02-01,1389.5
1964-03-01,1394.0
1964-04-01,1396.8
1964-05-01,1411.7
1964-06-01,1419.5
1964-07-01,1429.6
1964-08-01,1438.4
1964-09-01,1433.5
1964-10-01,1442.0
1964-11-01,1429.5
1964-12-01,1441.4
1965-01-01,1449.9
1965-02-01,1468.6
1965-03-01,1471.5
1965-04-01,1482.8
1965-05-01,1483.5
1965-06-01,1476.4
1965-07-01,1491.4
1965-08-01,1499.6
1965-09-01,1518.3
1965-10-01,1538.9
1965-11-01,1539.1
1965-12-01,1543.7
1966-01-01,1550.7
1966-02-01,1559.0
1966-03-01,1569.2
1966-04-01,1572.5
1966-05-01,1561.0
1966-06-01,1564.9
1966-07-01,1577.9
1966-08-01,1577.9
1966-09-01,1590.1
1966-10-01,1583.8
1966-11-01,1586.5
1966-12-01,1592.4
1967-01-01,1599.7
1967-02-01,1596.9
1967-03-01,1604.0
1967-04-01,1616.0
1967-05-01,1619.1
1967-06-01,1627.4
1967-07-01,1623.6
1967-08-01,1627.0
1967-09-01,1637.6
1967-10-01,1626.5
1967-11-01,1636.3
1967-12-01,1654.3
1968-01-01,1664.7
1968-02-01,1665.3
1968-03-01,1688.7
1968-04-01,1684.7
1968-05-01,1695.7
1968-06-01,1710.1
1968-07-01,1721.8
1968-08-01,1726.9
1968-09-01,1727.0
1968-10-01,1729.8
