observation_date,BABATOTALSAUS_20230215
2004-07-01,159076
2004-08-01,192448
2004-09-01,191364
2004-10-01,191126
2004-11-01,211876
2004-12-01,193153
2005-01-01,202362
2005-02-01,204417
2005-03-01,201502
2005-04-01,203800
2005-05-01,203204
2005-06-01,209664
2005-07-01,207612
2005-08-01,205130
2005-09-01,184627
2005-10-01,230837
2005-11-01,223141
2005-12-01,233400
2006-01-01,217068
2006-02-01,225790
2006-03-01,222336
2006-04-01,222977
2006-05-01,221696
2006-06-01,217852
2006-07-01,219888
2006-08-01,219277
2006-09-01,212234
2006-10-01,207117
2006-11-01,202840
2006-12-01,246579
2007-01-01,207449
2007-02-01,217634
2007-03-01,215934
2007-04-01,214273
2007-05-01,220401
2007-06-01,221472
2007-07-01,221023
2007-08-01,218653
2007-09-01,226399
2007-10-01,233607
2007-11-01,213947
2007-12-01,244668
2008-01-01,207750
2008-02-01,210250
2008-03-01,220244
2008-04-01,219141
2008-05-01,215795
2008-06-01,210534
2008-07-01,209758
2008-08-01,222770
2008-09-01,210692
2008-10-01,205615
2008-11-01,204789
2008-12-01,186335
2009-01-01,207599
2009-02-01,195134
2009-03-01,198643
2009-04-01,198914
2009-05-01,199839
2009-06-01,202914
2009-07-01,207364
2009-08-01,201822
2009-09-01,206052
2009-10-01,203953
2009-11-01,207860
2009-12-01,200415
2010-01-01,201330
2010-02-01,202286
2010-03-01,203433
2010-04-01,206360
2010-05-01,210828
2010-06-01,204745
2010-07-01,207739
2010-08-01,207807
2010-09-01,214192
2010-10-01,214205
2010-11-01,221622
2010-12-01,205263
2011-01-01,219765
2011-02-01,224043
2011-03-01,213462
2011-04-01,213987
2011-05-01,186230
2011-06-01,219909
2011-07-01,216906
2011-08-01,213225
2011-09-01,212653
2011-10-01,205752
2011-11-01,221348
2011-12-01,228034
2012-01-01,184679
2012-02-01,214338
2012-03-01,216980
2012-04-01,217992
2012-05-01,220395
2012-06-01,208496
2012-07-01,208484
2012-08-01,208982
2012-09-01,207144
2012-10-01,212702
2012-11-01,202294
2012-12-01,274106
2013-01-01,219186
2013-02-01,212105
2013-03-01,216806
2013-04-01,213311
2013-05-01,206900
2013-06-01,217066
2013-07-01,218495
2013-08-01,221688
2013-09-01,212802
2013-10-01,223675
2013-11-01,221871
2013-12-01,227732
2014-01-01,209073
2014-02-01,222522
2014-03-01,228302
2014-04-01,225991
2014-05-01,223321
2014-06-01,226369
2014-07-01,222407
2014-08-01,226419
2014-09-01,228203
2014-10-01,226918
2014-11-01,222261
2014-12-01,205504
2015-01-01,255348
2015-02-01,229668
2015-03-01,229460
2015-04-01,231121
2015-05-01,225008
2015-06-01,234003
2015-07-01,237763
2015-08-01,234547
2015-09-01,240061
2015-10-01,243464
2015-11-01,237298
2015-12-01,225690
2016-01-01,259015
2016-02-01,241160
2016-03-01,236976
2016-04-01,243912
2016-05-01,254981
2016-06-01,216579
2016-07-01,261664
2016-08-01,248276
2016-09-01,254854
2016-10-01,245377
2016-11-01,253064
2016-12-01,260377
2017-01-01,262180
2017-02-01,259652
2017-03-01,262621
2017-04-01,261264
2017-05-01,261504
2017-06-01,267665
2017-07-01,268428
2017-08-01,269783
2017-09-01,260811
2017-10-01,272750
2017-11-01,282203
2017-12-01,268778
2018-01-01,294646
2018-02-01,284421
2018-03-01,290303
2018-04-01,285012
2018-05-01,292999
2018-06-01,297256
2018-07-01,292655
2018-08-01,296433
2018-09-01,291463
2018-10-01,286392
2018-11-01,290886
2018-12-01,298193
2019-01-01,274184
2019-02-01,297161
2019-03-01,302367
2019-04-01,291334
2019-05-01,287155
2019-06-01,292133
2019-07-01,282553
2019-08-01,292693
2019-09-01,292890
2019-10-01,298503
2019-11-01,293659
2019-12-01,313522
2020-01-01,279273
2020-02-01,300490
2020-03-01,260899
2020-04-01,233008
2020-05-01,297093
2020-06-01,380603
2020-07-01,552214
2020-08-01,486402
2020-09-01,437285
2020-10-01,412450
2020-11-01,395669
2020-12-01,347372
2021-01-01,481995
2021-02-01,427441
2021-03-01,453684
2021-04-01,490008
2021-05-01,500485
2021-06-01,451903
2021-07-01,447318
2021-08-01,430758
2021-09-01,433037
2021-10-01,430252
2021-11-01,433499
2021-12-01,423905
2022-01-01,430327
2022-02-01,418169
2022-03-01,418542
2022-04-01,424911
2022-05-01,422587
2022-06-01,412881
2022-07-01,427241
2022-08-01,422582
2022-09-01,427121
2022-10-01,431567
2022-11-01,418116
2022-12-01,417167
2023-01-01,420987
