observation_date,REVOLSL_19970315
1968-01-01,1.4
1968-02-01,1.4
1968-03-01,1.5
1968-04-01,1.5
1968-05-01,1.6
1968-06-01,1.6
1968-07-01,1.7
1968-08-01,1.7
1968-09-01,1.8
1968-10-01,1.9
1968-11-01,1.9
1968-12-01,2.0
1969-01-01,2.2
1969-02-01,2.3
1969-03-01,2.4
1969-04-01,2.5
1969-05-01,2.6
1969-06-01,2.7
1969-07-01,2.9
1969-08-01,3.0
1969-09-01,3.1
1969-10-01,3.2
1969-11-01,3.4
1969-12-01,3.6
1970-01-01,3.8
1970-02-01,3.9
1970-03-01,4.0
1970-04-01,4.1
1970-05-01,4.2
1970-06-01,4.3
1970-07-01,4.4
1970-08-01,4.5
1970-09-01,4.6
1970-10-01,4.7
1970-11-01,4.8
1970-12-01,4.9
1971-01-01,7.4
1971-02-01,7.5
1971-03-01,7.6
1971-04-01,7.6
1971-05-01,7.8
1971-06-01,7.8
1971-07-01,7.7
1971-08-01,7.9
1971-09-01,8.0
1971-10-01,8.1
1971-11-01,8.1
1971-12-01,8.3
1972-01-01,8.3
1972-02-01,8.2
1972-03-01,8.5
1972-04-01,8.6
1972-05-01,8.7
1972-06-01,8.8
1972-07-01,8.9
1972-08-01,9.0
1972-09-01,9.1
1972-10-01,9.2
1972-11-01,9.2
1972-12-01,9.4
1973-01-01,9.5
1973-02-01,9.8
1973-03-01,9.9
1973-04-01,10.0
1973-05-01,10.2
1973-06-01,10.3
1973-07-01,10.5
1973-08-01,10.6
1973-09-01,10.7
1973-10-01,10.9
1973-11-01,11.1
1973-12-01,11.3
1974-01-01,11.5
1974-02-01,11.6
1974-03-01,11.6
1974-04-01,11.8
1974-05-01,12.1
1974-06-01,12.4
1974-07-01,12.6
1974-08-01,12.8
1974-09-01,13.0
1974-10-01,13.1
1974-11-01,13.2
1974-12-01,13.2
1975-01-01,13.4
1975-02-01,13.5
1975-03-01,13.5
1975-04-01,13.6
1975-05-01,13.7
1975-06-01,13.6
1975-07-01,13.8
1975-08-01,14.0
1975-09-01,14.1
1975-10-01,14.3
1975-11-01,14.3
1975-12-01,14.5
1976-01-01,14.6
1976-02-01,14.7
1976-03-01,14.8
1976-04-01,14.9
1976-05-01,15.1
1976-06-01,15.1
1976-07-01,15.5
1976-08-01,15.6
1976-09-01,15.8
1976-10-01,16.1
1976-11-01,16.3
1976-12-01,16.6
1977-01-01,30.8
1977-02-01,31.3
1977-03-01,31.9
1977-04-01,32.6
1977-05-01,33.2
1977-06-01,33.6
1977-07-01,34.0
1977-08-01,34.4
1977-09-01,34.8
1977-10-01,35.4
1977-11-01,36.0
1977-12-01,36.7
1978-01-01,37.1
1978-02-01,37.8
1978-03-01,38.5
1978-04-01,39.2
1978-05-01,39.8
1978-06-01,40.7
1978-07-01,41.5
1978-08-01,42.1
1978-09-01,42.9
1978-10-01,43.4
1978-11-01,44.2
1978-12-01,45.2
1979-01-01,45.8
1979-02-01,46.6
1979-03-01,47.3
1979-04-01,48.1
1979-05-01,48.9
1979-06-01,49.5
1979-07-01,50.0
1979-08-01,50.9
1979-09-01,51.5
1979-10-01,52.4
1979-11-01,53.4
1979-12-01,53.4
1980-01-01,54.3
1980-02-01,54.9
1980-03-01,55.0
1980-04-01,54.4
1980-05-01,54.1
1980-06-01,53.5
1980-07-01,53.6
1980-08-01,53.9
1980-09-01,54.0
1980-10-01,54.0
1980-11-01,54.3
1980-12-01,55.1
1981-01-01,55.8
1981-02-01,56.1
1981-03-01,56.7
1981-04-01,57.3
1981-05-01,57.8
1981-06-01,58.5
1981-07-01,58.8
1981-08-01,59.0
1981-09-01,60.0
1981-10-01,60.5
1981-11-01,60.7
1981-12-01,61.1
1982-01-01,61.4
1982-02-01,61.5
1982-03-01,61.9
1982-04-01,62.3
1982-05-01,62.8
1982-06-01,63.3
1982-07-01,64.2
1982-08-01,64.7
1982-09-01,65.1
1982-10-01,65.5
1982-11-01,65.7
1982-12-01,66.5
1983-01-01,66.8
1983-02-01,66.5
1983-03-01,67.7
1983-04-01,68.5
1983-05-01,68.9
1983-06-01,70.2
1983-07-01,71.5
1983-08-01,72.5
1983-09-01,73.5
1983-10-01,75.2
1983-11-01,76.8
1983-12-01,79.1
1984-01-01,79.2
1984-02-01,80.2
1984-03-01,83.2
1984-04-01,84.5
1984-05-01,87.1
1984-06-01,89.4
1984-07-01,90.4
1984-08-01,92.5
1984-09-01,94.4
1984-10-01,96.3
1984-11-01,98.2
1984-12-01,100.3
1985-01-01,102.9
1985-02-01,104.9
1985-03-01,107.5
1985-04-01,109.0
1985-05-01,109.9
1985-06-01,110.9
1985-07-01,112.4
1985-08-01,114.1
1985-09-01,116.3
1985-10-01,117.9
1985-11-01,119.8
1985-12-01,122.1
1986-01-01,124.5
1986-02-01,125.8
1986-03-01,127.2
1986-04-01,128.4
1986-05-01,129.8
1986-06-01,130.4
1986-07-01,131.3
1986-08-01,132.4
1986-09-01,132.6
1986-10-01,134.0
1986-11-01,134.7
1986-12-01,136.0
1987-01-01,135.8
1987-02-01,136.9
1987-03-01,137.4
1987-04-01,139.4
1987-05-01,141.0
1987-06-01,143.2
1987-07-01,145.5
1987-08-01,146.8
1987-09-01,149.2
1987-10-01,150.6
1987-11-01,150.3
1987-12-01,153.3
1988-01-01,156.7
1988-02-01,157.8
1988-03-01,159.2
1988-04-01,160.4
1988-05-01,161.8
1988-06-01,163.8
1988-07-01,164.6
1988-08-01,166.3
1988-09-01,167.7
1988-10-01,169.8
1988-11-01,172.7
1988-12-01,174.5
1989-01-01,175.1
1989-02-01,176.8
1989-03-01,179.9
1989-04-01,181.9
1989-05-01,183.7
1989-06-01,185.9
1989-07-01,187.6
1989-08-01,189.7
1989-09-01,190.8
1989-10-01,192.4
1989-11-01,194.8
1989-12-01,198.6
1990-01-01,200.4
1990-02-01,203.0
1990-03-01,203.9
1990-04-01,205.9
1990-05-01,209.2
1990-06-01,211.4
1990-07-01,215.1
1990-08-01,217.7
1990-09-01,219.8
1990-10-01,221.0
1990-11-01,223.8
1990-12-01,223.3
1991-01-01,222.9
1991-02-01,226.2
1991-03-01,230.6
1991-04-01,232.3
1991-05-01,234.3
1991-06-01,235.4
1991-07-01,236.7
1991-08-01,238.7
1991-09-01,241.3
1991-10-01,243.6
1991-11-01,244.7
1991-12-01,245.8
1992-01-01,247.0
1992-02-01,247.9
1992-03-01,248.0
1992-04-01,248.9
1992-05-01,249.6
1992-06-01,251.6
1992-07-01,251.5
1992-08-01,252.6
1992-09-01,253.2
1992-10-01,255.1
1992-11-01,255.0
1992-12-01,257.8
1993-01-01,260.3
1993-02-01,262.7
1993-03-01,264.0
1993-04-01,265.9
1993-05-01,267.2
1993-06-01,268.2
1993-07-01,272.5
1993-08-01,274.2
1993-09-01,276.8
1993-10-01,279.0
1993-11-01,283.7
1993-12-01,287.0
1994-01-01,289.6
1994-02-01,292.4
1994-03-01,296.6
1994-04-01,301.8
1994-05-01,305.6
1994-06-01,310.2
1994-07-01,315.5
1994-08-01,322.8
1994-09-01,323.8
1994-10-01,326.7
1994-11-01,336.5
1994-12-01,339.3
1995-01-01,346.2
1995-02-01,352.3
1995-03-01,359.5
1995-04-01,363.8
1995-05-01,371.8
1995-06-01,378.8
1995-07-01,382.2
1995-08-01,390.1
1995-09-01,399.5
1995-10-01,404.6
1995-11-01,407.4
1995-12-01,413.9
1996-01-01,419.0
1996-02-01,425.7
1996-03-01,431.3
1996-04-01,437.9
1996-05-01,443.5
1996-06-01,445.4
1996-07-01,451.0
1996-08-01,454.3
1996-09-01,453.7
1996-10-01,456.4
1996-11-01,460.4
1996-12-01,462.4
1997-01-01,470.3
