observation_date,CORCACBS_20220315
1985-01-01,0.79
1985-04-01,0.94
1985-07-01,1.09
1985-10-01,1.44
1986-01-01,1.30
1986-04-01,1.38
1986-07-01,1.41
1986-10-01,1.67
1987-01-01,1.42
1987-04-01,1.43
1987-07-01,1.35
1987-10-01,1.66
1988-01-01,1.42
1988-04-01,1.43
1988-07-01,1.43
1988-10-01,1.62
1989-01-01,1.54
1989-04-01,1.51
1989-07-01,1.45
1989-10-01,1.80
1990-01-01,1.62
1990-04-01,1.68
1990-07-01,1.73
1990-10-01,2.14
1991-01-01,2.18
1991-04-01,2.28
1991-07-01,2.28
1991-10-01,2.46
1992-01-01,2.37
1992-04-01,2.23
1992-07-01,2.00
1992-10-01,2.22
1993-01-01,1.83
1993-04-01,1.78
1993-07-01,1.66
1993-10-01,1.67
1994-01-01,1.48
1994-04-01,1.40
1994-07-01,1.36
1994-10-01,1.56
1995-01-01,1.42
1995-04-01,1.60
1995-07-01,1.77
1995-10-01,2.10
1996-01-01,2.13
1996-04-01,2.21
1996-07-01,2.28
1996-10-01,2.53
1997-01-01,2.57
1997-04-01,2.68
1997-07-01,2.72
1997-10-01,2.83
1998-01-01,2.66
1998-04-01,2.54
1998-07-01,2.50
1998-10-01,2.64
1999-01-01,2.44
1999-04-01,2.02
1999-07-01,2.19
1999-10-01,2.33
2000-01-01,2.28
2000-04-01,2.03
2000-07-01,2.11
2000-10-01,2.84
2001-01-01,2.40
2001-04-01,2.50
2001-07-01,2.68
2001-10-01,3.33
2002-01-01,3.66
2002-04-01,2.97
2002-07-01,2.99
2002-10-01,3.01
2003-01-01,2.87
2003-04-01,2.91
2003-07-01,2.69
2003-10-01,3.05
2004-01-01,2.74
2004-04-01,2.66
2004-07-01,2.44
2004-10-01,2.81
2005-01-01,2.50
2005-04-01,2.32
2005-07-01,2.95
2005-10-01,3.20
2006-01-01,1.77
2006-04-01,1.87
2006-07-01,2.16
2006-10-01,2.21
2007-01-01,2.35
2007-04-01,2.28
2007-07-01,2.41
2007-10-01,2.84
2008-01-01,2.98
2008-04-01,3.27
2008-07-01,3.62
2008-10-01,4.29
2009-01-01,4.82
2009-04-01,5.66
2009-07-01,5.74
2009-10-01,5.74
2010-01-01,6.70
2010-04-01,6.70
2010-07-01,5.28
2010-10-01,4.90
2011-01-01,4.46
2011-04-01,3.51
2011-07-01,3.52
2011-10-01,2.98
2012-01-01,2.67
2012-04-01,2.58
2012-07-01,2.41
2012-10-01,2.48
2013-01-01,2.34
2013-04-01,2.17
2013-07-01,2.03
2013-10-01,2.13
2014-01-01,2.04
2014-04-01,2.00
2014-07-01,1.79
2014-10-01,1.86
2015-01-01,1.80
2015-04-01,1.74
2015-07-01,1.66
2015-10-01,1.81
2016-01-01,1.90
2016-04-01,1.81
2016-07-01,1.77
2016-10-01,2.15
2017-01-01,2.28
2017-04-01,2.11
2017-07-01,2.08
2017-10-01,2.26
2018-01-01,2.32
2018-04-01,2.23
2018-07-01,2.14
2018-10-01,2.26
2019-01-01,2.35
2019-04-01,2.28
2019-07-01,2.20
2019-10-01,2.30
2020-01-01,2.39
2020-04-01,2.30
2020-07-01,1.82
2020-10-01,1.50
2021-01-01,1.61
2021-04-01,1.24
2021-07-01,0.89
2021-10-01,0.91
