observation_date,UEMP15OV_20230115
1948-01-01,311
1948-02-01,283
1948-03-01,292
1948-04-01,324
1948-05-01,329
1948-06-01,322
1948-07-01,295
1948-08-01,332
1948-09-01,298
1948-10-01,324
1948-11-01,282
1948-12-01,305
1949-01-01,315
1949-02-01,374
1949-03-01,414
1949-04-01,483
1949-05-01,602
1949-06-01,705
1949-07-01,848
1949-08-01,917
1949-09-01,973
1949-10-01,1000
1949-11-01,1056
1949-12-01,961
1950-01-01,947
1950-02-01,947
1950-03-01,912
1950-04-01,920
1950-05-01,890
1950-06-01,868
1950-07-01,769
1950-08-01,633
1950-09-01,648
1950-10-01,545
1950-11-01,507
1950-12-01,482
1951-01-01,438
1951-02-01,386
1951-03-01,355
1951-04-01,294
1951-05-01,269
1951-06-01,258
1951-07-01,260
1951-08-01,249
1951-09-01,223
1951-10-01,269
1951-11-01,316
1951-12-01,269
1952-01-01,282
1952-02-01,248
1952-03-01,234
1952-04-01,242
1952-05-01,219
1952-06-01,210
1952-07-01,194
1952-08-01,211
1952-09-01,249
1952-10-01,230
1952-11-01,216
1952-12-01,238
1953-01-01,268
1953-02-01,208
1953-03-01,213
1953-04-01,180
1953-05-01,176
1953-06-01,213
1953-07-01,168
1953-08-01,177
1953-09-01,178
1953-10-01,190
1953-11-01,259
1953-12-01,309
1954-01-01,372
1954-02-01,532
1954-03-01,765
1954-04-01,774
1954-05-01,879
1954-06-01,880
1954-07-01,932
1954-08-01,1002
1954-09-01,1017
1954-10-01,1009
1954-11-01,975
1954-12-01,827
1955-01-01,882
1955-02-01,826
1955-03-01,816
1955-04-01,811
1955-05-01,734
1955-06-01,668
1955-07-01,640
1955-08-01,535
1955-09-01,558
1955-10-01,572
1955-11-01,564
1955-12-01,581
1956-01-01,561
1956-02-01,545
1956-03-01,521
1956-04-01,476
1956-05-01,506
1956-06-01,516
1956-07-01,523
1956-08-01,543
1956-09-01,577
1956-10-01,530
1956-11-01,575
1956-12-01,567
1957-01-01,509
1957-02-01,530
1957-03-01,514
1957-04-01,516
1957-05-01,538
1957-06-01,526
1957-07-01,535
1957-08-01,542
1957-09-01,559
1957-10-01,650
1957-11-01,674
1957-12-01,731
1958-01-01,879
1958-02-01,1005
1958-03-01,1128
1958-04-01,1387
1958-05-01,1493
1958-06-01,1677
1958-07-01,1796
1958-08-01,1888
1958-09-01,1795
1958-10-01,1708
1958-11-01,1570
1958-12-01,1490
1959-01-01,1396
1959-02-01,1277
1959-03-01,1210
1959-04-01,1039
1959-05-01,965
1959-06-01,963
1959-07-01,889
1959-08-01,889
1959-09-01,895
1959-10-01,883
1959-11-01,982
1959-12-01,920
1960-01-01,915
1960-02-01,841
1960-03-01,959
1960-04-01,896
1960-05-01,797
1960-06-01,854
1960-07-01,921
1960-08-01,927
1960-09-01,982
1960-10-01,1189
1960-11-01,1223
1960-12-01,1142
1961-01-01,1328
1961-02-01,1416
1961-03-01,1463
1961-04-01,1598
1961-05-01,1686
1961-06-01,1651
1961-07-01,1830
1961-08-01,1649
1961-09-01,1531
1961-10-01,1481
1961-11-01,1388
1961-12-01,1361
1962-01-01,1235
1962-02-01,1244
1962-03-01,1162
1962-04-01,1122
1962-05-01,1134
1962-06-01,1079
1962-07-01,1049
1962-08-01,1081
1962-09-01,1096
1962-10-01,1022
1962-11-01,1051
1962-12-01,1068
1963-01-01,1122
1963-02-01,1137
1963-03-01,1087
1963-04-01,1071
1963-05-01,1157
1963-06-01,1067
1963-07-01,1070
1963-08-01,1114
1963-09-01,1069
1963-10-01,1071
1963-11-01,1054
1963-12-01,1007
1964-01-01,1057
1964-02-01,1015
1964-03-01,1039
1964-04-01,934
1964-05-01,975
1964-06-01,1047
1964-07-01,1002
1964-08-01,934
1964-09-01,917
1964-10-01,903
1964-11-01,922
1964-12-01,873
1965-01-01,793
1965-02-01,919
1965-03-01,796
1965-04-01,796
1965-05-01,736
1965-06-01,786
1965-07-01,683
1965-08-01,733
1965-09-01,732
1965-10-01,672
1965-11-01,645
1965-12-01,659
1966-01-01,623
1966-02-01,594
1966-03-01,583
1966-04-01,575
1966-05-01,534
1966-06-01,475
1966-07-01,427
1966-08-01,464
1966-09-01,488
1966-10-01,494
1966-11-01,464
1966-12-01,488
1967-01-01,489
1967-02-01,459
1967-03-01,436
1967-04-01,428
1967-05-01,417
1967-06-01,422
1967-07-01,412
1967-08-01,441
1967-09-01,448
1967-10-01,472
1967-11-01,490
1967-12-01,485
1968-01-01,503
1968-02-01,468
1968-03-01,447
1968-04-01,393
1968-05-01,395
1968-06-01,405
1968-07-01,426
1968-08-01,393
1968-09-01,375
1968-10-01,386
1968-11-01,357
1968-12-01,351
1969-01-01,339
1969-02-01,358
1969-03-01,353
1969-04-01,386
1969-05-01,387
1969-06-01,368
1969-07-01,377
1969-08-01,373
1969-09-01,391
1969-10-01,374
1969-11-01,392
1969-12-01,413
1970-01-01,431
1970-02-01,470
1970-03-01,534
1970-04-01,602
1970-05-01,591
1970-06-01,657
1970-07-01,662
1970-08-01,705
1970-09-01,788
1970-10-01,771
1970-11-01,871
1970-12-01,1102
1971-01-01,1113
1971-02-01,1068
1971-03-01,1098
1971-04-01,1149
1971-05-01,1173
1971-06-01,1167
1971-07-01,1251
1971-08-01,1261
1971-09-01,1239
1971-10-01,1268
1971-11-01,1277
1971-12-01,1283
1972-01-01,1257
1972-02-01,1292
1972-03-01,1232
1972-04-01,1203
1972-05-01,1168
1972-06-01,1141
1972-07-01,1154
1972-08-01,1156
1972-09-01,1131
1972-10-01,1123
1972-11-01,1040
1972-12-01,1006
1973-01-01,947
1973-02-01,894
1973-03-01,889
1973-04-01,809
1973-05-01,816
1973-06-01,779
1973-07-01,756
1973-08-01,788
1973-09-01,785
1973-10-01,793
1973-11-01,832
1973-12-01,767
1974-01-01,799
1974-02-01,829
1974-03-01,849
1974-04-01,889
1974-05-01,880
1974-06-01,926
1974-07-01,924
1974-08-01,960
1974-09-01,1021
1974-10-01,1072
1974-11-01,1128
1974-12-01,1326
1975-01-01,1555
1975-02-01,1841
1975-03-01,2074
1975-04-01,2442
1975-05-01,2643
1975-06-01,2843
1975-07-01,2943
1975-08-01,2862
1975-09-01,2906
1975-10-01,2689
1975-11-01,2789
1975-12-01,2868
1976-01-01,2713
1976-02-01,2519
1976-03-01,2441
1976-04-01,2210
1976-05-01,2115
1976-06-01,2332
1976-07-01,2316
1976-08-01,2378
1976-09-01,2296
1976-10-01,2292
1976-11-01,2354
1976-12-01,2375
1977-01-01,2200
1977-02-01,2174
1977-03-01,2057
1977-04-01,1936
1977-05-01,1928
1977-06-01,1918
1977-07-01,1907
1977-08-01,1836
1977-09-01,1853
1977-10-01,1789
1977-11-01,1804
1977-12-01,1717
