observation_date,BOGZ1FL153064486Q_20210715
1945-10-01,22.5179794373
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,19.8818536207
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,18.3447163302
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,17.5622604131
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,18.0910772598
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,19.4659593066
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,20.0949831469
1952-01-01,20.0119938249
1952-04-01,20.3519585514
1952-07-01,20.0825616611
1952-10-01,19.0100253677
1953-01-01,18.6005708295
1953-04-01,17.6880754809
1953-07-01,17.0937375908
1953-10-01,18.0948683567
1954-01-01,18.8946765749
1954-04-01,19.9819764477
1954-07-01,21.1517164184
1954-10-01,21.0699572371
1955-01-01,21.3428939788
1955-04-01,22.6852489275
1955-07-01,23.3187830526
1955-10-01,23.1704441249
1956-01-01,23.9412256612
1956-04-01,23.1182979376
1956-07-01,22.4839056852
1956-10-01,23.5252388545
1957-01-01,22.3982672787
1957-04-01,23.1773316381
1957-07-01,21.2651125737
1957-10-01,21.0971923677
1958-01-01,21.7053019017
1958-04-01,22.4463282522
1958-07-01,23.8395018245
1958-10-01,24.2146331392
1959-01-01,24.3943642406
1959-04-01,24.8797007847
1959-07-01,24.3130384372
1959-10-01,25.1389362771
1960-01-01,23.8347263106
1960-04-01,23.9968407579
1960-07-01,22.4867266586
1960-10-01,24.2534961346
1961-01-01,26.0088922874
1961-04-01,25.7821736960
1961-07-01,25.9660974251
1961-10-01,27.0605593830
1962-01-01,26.4041434029
1962-04-01,21.2912363449
1962-07-01,21.9468729939
1962-10-01,25.4790124116
1963-01-01,25.8820755319
1963-04-01,26.5993701164
1963-07-01,27.1891145629
1963-10-01,25.8105812576
1964-01-01,26.8059035209
1964-04-01,27.1131199318
1964-07-01,27.4435316979
1964-10-01,27.5156791080
1965-01-01,27.7387724480
1965-04-01,26.6385001587
1965-07-01,27.9624550641
1965-10-01,28.7472644410
1966-01-01,27.8072637589
1966-04-01,26.5238386653
1966-07-01,24.0980006613
1966-10-01,24.9962418611
1967-01-01,27.0599166700
1967-04-01,26.9945573257
1967-07-01,27.7986422687
1967-10-01,28.0507611667
1968-01-01,26.1316254311
1968-04-01,28.3321986202
1968-07-01,28.2089277102
1968-10-01,30.0278747783
1969-01-01,28.4719059912
1969-04-01,27.1343736571
1969-07-01,26.2466403280
1969-10-01,24.6143875388
1970-01-01,23.7832052165
1970-04-01,19.3996795520
1970-07-01,21.5732020594
1970-10-01,22.8129473281
1971-01-01,24.0893718380
1971-04-01,23.5821569135
1971-07-01,22.8422029756
1971-10-01,23.7073285888
1972-01-01,24.2515321336
1972-04-01,23.7501980395
1972-07-01,23.6812043207
1972-10-01,25.7104253871
1973-01-01,23.6804833821
1973-04-01,21.6957762389
1973-07-01,22.2117364334
1973-10-01,18.7602629103
