observation_date,DGORDER_20070115
1992-02-01,114808
1992-03-01,118803
1992-04-01,125230
1992-05-01,125118
1992-06-01,122989
1992-07-01,122365
1992-08-01,119764
1992-09-01,120368
1992-10-01,127819
1992-11-01,122947
1992-12-01,125956
1993-01-01,122041
1993-02-01,129509
1993-03-01,126264
1993-04-01,127769
1993-05-01,126203
1993-06-01,129783
1993-07-01,127655
1993-08-01,129577
1993-09-01,127051
1993-10-01,132927
1993-11-01,131885
1993-12-01,133330
1994-01-01,138548
1994-02-01,137808
1994-03-01,137372
1994-04-01,138867
1994-05-01,142941
1994-06-01,144909
1994-07-01,143877
1994-08-01,146182
1994-09-01,145595
1994-10-01,149330
1994-11-01,151047
1994-12-01,151941
1995-01-01,151605
1995-02-01,154751
1995-03-01,151605
1995-04-01,151224
1995-05-01,152994
1995-06-01,150262
1995-07-01,148019
1995-08-01,154964
1995-09-01,159853
1995-10-01,155499
1995-11-01,157216
1995-12-01,161979
1996-01-01,157108
1996-02-01,151992
1996-03-01,163774
1996-04-01,157130
1996-05-01,164368
1996-06-01,163795
1996-07-01,163380
1996-08-01,157324
1996-09-01,165679
1996-10-01,165701
1996-11-01,170606
1996-12-01,162189
1997-01-01,163320
1997-02-01,170986
1997-03-01,168327
1997-04-01,171566
1997-05-01,167991
1997-06-01,174407
1997-07-01,179690
1997-08-01,176141
1997-09-01,178839
1997-10-01,178713
1997-11-01,190118
1997-12-01,174062
1998-01-01,175623
1998-02-01,181495
1998-03-01,176091
1998-04-01,181752
1998-05-01,178674
1998-06-01,173363
1998-07-01,170451
1998-08-01,178854
1998-09-01,181231
1998-10-01,178568
1998-11-01,181581
1998-12-01,180202
1999-01-01,186522
1999-02-01,185613
1999-03-01,185347
1999-04-01,182539
1999-05-01,185133
1999-06-01,182879
1999-07-01,189006
1999-08-01,190630
1999-09-01,188878
1999-10-01,192695
1999-11-01,187346
1999-12-01,197384
2000-01-01,201392
2000-02-01,184409
2000-03-01,191082
2000-04-01,194780
2000-05-01,189302
2000-06-01,220111
2000-07-01,189323
2000-08-01,189848
2000-09-01,198446
2000-10-01,185635
2000-11-01,189624
2000-12-01,188346
2001-01-01,179316
2001-02-01,180650
2001-03-01,183129
2001-04-01,173437
2001-05-01,181815
2001-06-01,177358
2001-07-01,173592
2001-08-01,173649
2001-09-01,165207
2001-10-01,174110
2001-11-01,166474
2001-12-01,168312
2002-01-01,165976
2002-02-01,174291
2002-03-01,173330
2002-04-01,173520
2002-05-01,177650
2002-06-01,168111
2002-07-01,178750
2002-08-01,180723
2002-09-01,170240
2002-10-01,171566
2002-11-01,171801
2002-12-01,166449
2003-01-01,166686
2003-02-01,171181
2003-03-01,168857
2003-04-01,167689
2003-05-01,167856
2003-06-01,168648
2003-07-01,170918
2003-08-01,168969
2003-09-01,174361
2003-10-01,179692
2003-11-01,176743
2003-12-01,178160
2004-01-01,171136
2004-02-01,175395
2004-03-01,188126
2004-04-01,182011
2004-05-01,180286
2004-06-01,181873
2004-07-01,184149
2004-08-01,183584
2004-09-01,185132
2004-10-01,182197
2004-11-01,188771
2004-12-01,189517
2005-01-01,187808
2005-02-01,190120
2005-03-01,186832
2005-04-01,188848
2005-05-01,202039
2005-06-01,204478
2005-07-01,193213
2005-08-01,201997
2005-09-01,198762
2005-10-01,205199
2005-11-01,214304
2005-12-01,216165
2006-01-01,199793
2006-02-01,207037
2006-03-01,219499
2006-04-01,209227
2006-05-01,209839
2006-06-01,216667
2006-07-01,210561
2006-08-01,210645
2006-09-01,228980
2006-10-01,210481
2006-11-01,213814
