observation_date,DRSFRMACBS_20220315
1991-01-01,3.18
1991-04-01,3.07
1991-07-01,3.17
1991-10-01,3.30
1992-01-01,3.23
1992-04-01,2.96
1992-07-01,2.88
1992-10-01,2.86
1993-01-01,2.82
1993-04-01,2.58
1993-07-01,2.59
1993-10-01,2.45
1994-01-01,2.47
1994-04-01,2.18
1994-07-01,2.11
1994-10-01,2.11
1995-01-01,2.11
1995-04-01,2.03
1995-07-01,2.15
1995-10-01,2.28
1996-01-01,2.22
1996-04-01,2.17
1996-07-01,2.22
1996-10-01,2.41
1997-01-01,2.32
1997-04-01,2.19
1997-07-01,2.22
1997-10-01,2.34
1998-01-01,2.16
1998-04-01,2.03
1998-07-01,2.10
1998-10-01,2.17
1999-01-01,1.90
1999-04-01,1.80
1999-07-01,2.15
1999-10-01,2.08
2000-01-01,1.95
2000-04-01,1.89
2000-07-01,2.07
2000-10-01,2.42
2001-01-01,2.28
2001-04-01,2.30
2001-07-01,2.19
2001-10-01,2.41
2002-01-01,2.21
2002-04-01,2.06
2002-07-01,2.05
2002-10-01,2.13
2003-01-01,1.96
2003-04-01,1.74
2003-07-01,1.68
2003-10-01,1.93
2004-01-01,1.63
2004-04-01,1.52
2004-07-01,1.55
2004-10-01,1.51
2005-01-01,1.40
2005-04-01,1.47
2005-07-01,1.54
2005-10-01,1.78
2006-01-01,1.57
2006-04-01,1.53
2006-07-01,1.72
2006-10-01,2.11
2007-01-01,2.01
2007-04-01,2.17
2007-07-01,2.73
2007-10-01,3.30
2008-01-01,3.67
2008-04-01,4.15
2008-07-01,5.16
2008-10-01,7.05
2009-01-01,7.88
2009-04-01,8.21
2009-07-01,9.49
2009-10-01,10.97
2010-01-01,11.36
2010-04-01,10.72
2010-07-01,10.67
2010-10-01,10.50
2011-01-01,10.51
2011-04-01,10.29
2011-07-01,10.28
2011-10-01,10.52
2012-01-01,10.40
2012-04-01,10.26
2012-07-01,10.62
2012-10-01,10.18
2013-01-01,9.72
2013-04-01,9.18
2013-07-01,8.60
2013-10-01,8.36
2014-01-01,7.82
2014-04-01,7.32
2014-07-01,6.95
2014-10-01,6.71
2015-01-01,6.15
2015-04-01,5.71
2015-07-01,5.43
2015-10-01,5.27
2016-01-01,4.83
2016-04-01,4.49
2016-07-01,4.28
2016-10-01,4.25
2017-01-01,3.90
2017-04-01,3.60
2017-07-01,3.62
2017-10-01,3.73
2018-01-01,3.42
2018-04-01,3.14
2018-07-01,3.02
2018-10-01,2.90
2019-01-01,2.70
2019-04-01,2.53
2019-07-01,2.42
2019-10-01,2.38
2020-01-01,2.37
2020-04-01,2.47
2020-07-01,2.84
2020-10-01,2.85
2021-01-01,2.66
2021-04-01,2.41
2021-07-01,2.30
2021-10-01,2.33
