observation_date,BOGZ1FL153064486Q_20200415
1945-10-01,22.5179794373
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,19.8818536207
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,18.3447163302
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,17.5622604131
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,18.0910772598
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,19.4658914776
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,20.0949186825
1952-01-01,20.0202514579
1952-04-01,20.3603945367
1952-07-01,20.0909757932
1952-10-01,19.0181833191
1953-01-01,18.6086951515
1953-04-01,17.6959830714
1953-07-01,17.1014886951
1953-10-01,18.1030409273
1954-01-01,18.9032283620
1954-04-01,19.9909794478
1954-07-01,21.1611753191
1954-10-01,21.0794654347
1955-01-01,21.3525624942
1955-04-01,22.6954595208
1955-07-01,23.3292077867
1955-10-01,23.1808798430
1956-01-01,23.9519354989
1956-04-01,23.1287909767
1956-07-01,22.4942610328
1956-10-01,23.5359623609
1957-01-01,22.4096569537
1957-04-01,23.1900379698
1957-07-01,21.2779585773
1957-10-01,21.1108867685
1958-01-01,21.7193628964
1958-04-01,22.4609483068
1958-07-01,23.8548296372
1958-10-01,24.2302393155
1959-01-01,24.4102345860
1959-04-01,24.8959449937
1959-07-01,24.3291642531
1959-10-01,25.1555913409
1960-01-01,23.8509189983
1960-04-01,24.0132921550
1960-07-01,22.5025476995
1960-10-01,24.2702938367
1961-01-01,26.0267059139
1961-04-01,25.8000126194
1961-07-01,25.9841215792
1961-10-01,27.0791433934
1962-01-01,26.4226259161
1962-04-01,21.3073275952
1962-07-01,21.9634195063
1962-10-01,25.4974865492
1963-01-01,25.9009445646
1963-04-01,26.6187718490
1963-07-01,27.2089702175
1963-10-01,25.8298455389
1964-01-01,26.8258528536
1964-04-01,27.1333270068
1964-07-01,27.4639587724
1964-10-01,27.5361658831
1965-01-01,27.7594671731
1965-04-01,26.6587909449
1965-07-01,27.9834191196
1965-10-01,28.7685386021
1966-01-01,27.8281842605
1966-04-01,26.5441287478
1966-07-01,24.1170505673
1966-10-01,25.0157730190
1967-01-01,27.0805846755
1967-04-01,27.0152836806
1967-07-01,27.8197430417
1967-10-01,28.0719034416
1968-01-01,26.1518443227
1968-04-01,28.3534800232
1968-07-01,28.2301388893
1968-10-01,30.0497745652
1969-01-01,28.4932169018
1969-04-01,27.1551135751
1969-07-01,26.2670109913
1969-10-01,24.6338560364
1970-01-01,23.8027974584
1970-04-01,19.4169376309
1970-07-01,21.5922856537
1970-10-01,22.8331957033
1971-01-01,24.1104761252
1971-04-01,23.6030422140
1971-07-01,22.8627317533
1971-10-01,23.7284806853
1972-01-01,24.2730605129
1972-04-01,23.7715295909
1972-07-01,23.7024977350
1972-10-01,25.7328838514
1973-01-01,23.7017839617
1973-04-01,21.7158174493
1973-07-01,22.2320870081
1973-10-01,18.7782216010
