observation_date,LNS13023621_20120215
1967-01-01,1205
1967-02-01,1187
1967-03-01,1170
1967-04-01,1258
1967-05-01,1209
1967-06-01,1323
1967-07-01,1228
1967-08-01,1204
1967-09-01,1248
1967-10-01,1275
1967-11-01,1265
1967-12-01,1227
1968-01-01,1238
1968-02-01,1184
1968-03-01,1143
1968-04-01,1042
1968-05-01,1039
1968-06-01,967
1968-07-01,1055
1968-08-01,1064
1968-09-01,1033
1968-10-01,1010
1968-11-01,995
1968-12-01,923
1969-01-01,979
1969-02-01,974
1969-03-01,999
1969-04-01,1044
1969-05-01,995
1969-06-01,993
1969-07-01,1015
1969-08-01,977
1969-09-01,1005
1969-10-01,1042
1969-11-01,1048
1969-12-01,1131
1970-01-01,1245
1970-02-01,1403
1970-03-01,1511
1970-04-01,1602
1970-05-01,1829
1970-06-01,1805
1970-07-01,1859
1970-08-01,1944
1970-09-01,2078
1970-10-01,2233
1970-11-01,2341
1970-12-01,2396
1971-01-01,2331
1971-02-01,2333
1971-03-01,2236
1971-04-01,2321
1971-05-01,2344
1971-06-01,2283
1971-07-01,2331
1971-08-01,2416
1971-09-01,2358
1971-10-01,2270
1971-11-01,2376
1971-12-01,2300
1972-01-01,2238
1972-02-01,2117
1972-03-01,2137
1972-04-01,2055
1972-05-01,2222
1972-06-01,2149
1972-07-01,2170
1972-08-01,2224
1972-09-01,2120
1972-10-01,2021
1972-11-01,1918
1972-12-01,1886
1973-01-01,1791
1973-02-01,1733
1973-03-01,1678
1973-04-01,1663
1973-05-01,1633
1973-06-01,1707
1973-07-01,1631
1973-08-01,1661
1973-09-01,1686
1973-10-01,1510
1973-11-01,1736
1973-12-01,1815
1974-01-01,2040
1974-02-01,2039
1974-03-01,1985
1974-04-01,1993
1974-05-01,1927
1974-06-01,1986
1974-07-01,2090
1974-08-01,2118
1974-09-01,2326
1974-10-01,2406
1974-11-01,2894
1974-12-01,3261
1975-01-01,3934
1975-02-01,4049
1975-03-01,4335
1975-04-01,4590
1975-05-01,4879
1975-06-01,4812
1975-07-01,4623
1975-08-01,4483
1975-09-01,4668
1975-10-01,4359
1975-11-01,4213
1975-12-01,3957
1976-01-01,3749
1976-02-01,3588
1976-03-01,3644
1976-04-01,3658
1976-05-01,3580
1976-06-01,3726
1976-07-01,3755
1976-08-01,3671
1976-09-01,3649
1976-10-01,3604
1976-11-01,3685
1976-12-01,3745
1977-01-01,3355
1977-02-01,3547
1977-03-01,3353
1977-04-01,3166
1977-05-01,3104
1977-06-01,3082
1977-07-01,3051
1977-08-01,3154
1977-09-01,3078
1977-10-01,2997
1977-11-01,2990
1977-12-01,2793
1978-01-01,2824
1978-02-01,2698
1978-03-01,2664
1978-04-01,2621
1978-05-01,2593
1978-06-01,2407
1978-07-01,2566
1978-08-01,2509
1978-09-01,2417
1978-10-01,2500
1978-11-01,2454
1978-12-01,2569
1979-01-01,2596
1979-02-01,2648
1979-03-01,2583
1979-04-01,2606
1979-05-01,2328
1979-06-01,2354
1979-07-01,2566
1979-08-01,2758
1979-09-01,2647
1979-10-01,2801
1979-11-01,2833
1979-12-01,2854
1980-01-01,3203
1980-02-01,3153
1980-03-01,3225
1980-04-01,3714
1980-05-01,4145
1980-06-01,4330
1980-07-01,4618
1980-08-01,4464
1980-09-01,4386
1980-10-01,4251
1980-11-01,4213
1980-12-01,4156
1981-01-01,4034
1981-02-01,4136
1981-03-01,4003
1981-04-01,3968
1981-05-01,4058
1981-06-01,4129
1981-07-01,3939
1981-08-01,4168
1981-09-01,4345
1981-10-01,4444
1981-11-01,4780
1981-12-01,5216
1982-01-01,5346
1982-02-01,5273
1982-03-01,5648
1982-04-01,5899
1982-05-01,5933
1982-06-01,6207
1982-07-01,6377
1982-08-01,6388
1982-09-01,6870
1982-10-01,7260
1982-11-01,7372
1982-12-01,7162
1983-01-01,6836
1983-02-01,6862
1983-03-01,6845
1983-04-01,6738
1983-05-01,6769
1983-06-01,6555
1983-07-01,6198
1983-08-01,6150
1983-09-01,5913
1983-10-01,5514
1983-11-01,5250
1983-12-01,5102
1984-01-01,4823
1984-02-01,4736
1984-03-01,4604
1984-04-01,4521
1984-05-01,4335
1984-06-01,4245
1984-07-01,4484
1984-08-01,4248
1984-09-01,4193
1984-10-01,4287
1984-11-01,4157
1984-12-01,4250
1985-01-01,4269
1985-02-01,4221
1985-03-01,4128
1985-04-01,4225
1985-05-01,3905
1985-06-01,4130
1985-07-01,4306
1985-08-01,4161
1985-09-01,4141
1985-10-01,4068
1985-11-01,4102
1985-12-01,4002
1986-01-01,3756
1986-02-01,4131
1986-03-01,4189
1986-04-01,4023
1986-05-01,4213
1986-06-01,4297
1986-07-01,4077
1986-08-01,3888
1986-09-01,4069
1986-10-01,4030
1986-11-01,3920
1986-12-01,3880
1987-01-01,3908
1987-02-01,3820
1987-03-01,3803
1987-04-01,3700
1987-05-01,3601
1987-06-01,3619
1987-07-01,3521
1987-08-01,3380
1987-09-01,3329
1987-10-01,3502
1987-11-01,3287
1987-12-01,3171
