observation_date,CSCICP03USM665S_20260215
1960-01-01,101.63280
1960-02-01,101.37490
1960-03-01,101.15210
1960-04-01,101.02920
1960-05-01,101.06030
1960-06-01,101.14810
1960-07-01,101.16660
1960-08-01,101.02640
1960-09-01,100.80890
1960-10-01,100.62830
1960-11-01,100.56970
1960-12-01,100.59080
1961-01-01,100.63940
1961-02-01,100.69120
1961-03-01,100.76010
1961-04-01,100.88200
1961-05-01,101.08090
1961-06-01,101.28280
1961-07-01,101.37980
1961-08-01,101.29130
1961-09-01,101.13080
1961-10-01,101.05030
1961-11-01,101.15740
1961-12-01,101.35210
1962-01-01,101.49120
1962-02-01,101.46390
1962-03-01,101.32460
1962-04-01,101.14310
1962-05-01,100.96690
1962-06-01,100.82640
1962-07-01,100.76130
1962-08-01,100.81160
1962-09-01,100.93400
1962-10-01,101.08490
1962-11-01,101.23140
1962-12-01,101.33430
1963-01-01,101.33530
1963-02-01,101.18730
1963-03-01,100.98730
1963-04-01,100.86090
1963-05-01,100.89940
1963-06-01,101.02230
1963-07-01,101.12400
1963-08-01,101.13560
1963-09-01,101.10750
1963-10-01,101.11980
1963-11-01,101.23100
1963-12-01,101.38810
1964-01-01,101.51470
1964-02-01,101.55520
1964-03-01,101.54830
1964-04-01,101.54710
1964-05-01,101.58690
1964-06-01,101.64680
1964-07-01,101.69270
1964-08-01,101.69960
1964-09-01,101.68860
1964-10-01,101.69240
1964-11-01,101.73870
1964-12-01,101.81900
1965-01-01,101.92460
1965-02-01,102.04920
1965-03-01,102.16550
1965-04-01,102.23420
1965-05-01,102.22170
1965-06-01,102.16440
1965-07-01,102.10300
1965-08-01,102.06110
1965-09-01,102.02790
1965-10-01,101.98070
1965-11-01,101.89830
1965-12-01,101.78860
1966-01-01,101.65700
1966-02-01,101.50220
1966-03-01,101.33390
1966-04-01,101.15850
1966-05-01,100.97870
1966-06-01,100.79950
1966-07-01,100.63140
1966-08-01,100.49260
1966-09-01,100.40070
1966-10-01,100.39710
1966-11-01,100.52530
1966-12-01,100.72010
1967-01-01,100.90790
1967-02-01,101.03920
1967-03-01,101.12910
1967-04-01,101.19640
1967-05-01,101.24490
1967-06-01,101.26630
1967-07-01,101.23570
1967-08-01,101.13240
1967-09-01,101.01460
1967-10-01,100.96110
1967-11-01,101.02840
1967-12-01,101.14270
1968-01-01,101.20160
1968-02-01,101.12900
1968-03-01,100.98510
1968-04-01,100.85030
1968-05-01,100.78040
1968-06-01,100.75300
1968-07-01,100.73740
1968-08-01,100.72170
1968-09-01,100.72890
1968-10-01,100.80450
1968-11-01,100.98210
1968-12-01,101.18020
1969-01-01,101.28010
1969-02-01,101.18330
1969-03-01,100.96680
1969-04-01,100.71670
1969-05-01,100.48150
1969-06-01,100.25910
1969-07-01,100.03100
1969-08-01,99.78498
1969-09-01,99.54243
1969-10-01,99.34116
1969-11-01,99.21465
1969-12-01,99.13007
1970-01-01,99.05190
1970-02-01,98.96368
1970-03-01,98.88327
1970-04-01,98.84496
1970-05-01,98.87383
1970-06-01,98.91792
1970-07-01,98.90580
1970-08-01,98.78902
1970-09-01,98.64056
1970-10-01,98.56737
1970-11-01,98.65442
1970-12-01,98.83361
1971-01-01,99.02070
1971-02-01,99.16006
1971-03-01,99.26160
1971-04-01,99.34393
1971-05-01,99.41532
1971-06-01,99.47388
1971-07-01,99.51089
1971-08-01,99.52679
1971-09-01,99.56897
1971-10-01,99.71180
1971-11-01,100.01060
1971-12-01,100.35500
1972-01-01,100.59410
1972-02-01,100.61700
1972-03-01,100.53790
1972-04-01,100.50790
1972-05-01,100.62950
1972-06-01,100.82140
1972-07-01,100.95580
1972-08-01,100.92650
1972-09-01,100.77370
1972-10-01,100.53600
1972-11-01,100.22700
1972-12-01,99.89554
1973-01-01,99.58959
1973-02-01,99.34142
1973-03-01,99.12789
1973-04-01,98.92616
1973-05-01,98.73454
1973-06-01,98.58174
1973-07-01,98.52205
1973-08-01,98.59159
1973-09-01,98.67157
1973-10-01,98.59557
1973-11-01,98.24638
1973-12-01,97.80881
1974-01-01,97.54128
1974-02-01,97.63576
1974-03-01,97.90758
1974-04-01,98.10578
1974-05-01,98.04600
1974-06-01,97.81698
1974-07-01,97.53783
1974-08-01,97.28444
1974-09-01,97.06608
1974-10-01,96.88621
1974-11-01,96.76833
1974-12-01,96.74330
1975-01-01,96.89253
1975-02-01,97.29836
1975-03-01,97.82019
1975-04-01,98.28590
1975-05-01,98.56734
1975-06-01,98.71187
1975-07-01,98.77493
1975-08-01,98.78940
1975-09-01,98.81657
1975-10-01,98.92770
1975-11-01,99.17293
1975-12-01,99.46616
1976-01-01,99.69358
1976-02-01,99.77404
1976-03-01,99.78529
1976-04-01,99.83242
1976-05-01,99.98558
1976-06-01,100.18170
1976-07-01,100.32300
1976-08-01,100.33180
1976-09-01,100.26160
1976-10-01,100.18140
1976-11-01,100.14030
1976-12-01,100.14100
1977-01-01,100.18560
1977-02-01,100.27840
1977-03-01,100.38520
1977-04-01,100.46250
1977-05-01,100.47250
1977-06-01,100.42760
1977-07-01,100.33300
1977-08-01,100.18480
1977-09-01,100.01720
1977-10-01,99.87012
1977-11-01,99.77582
1977-12-01,99.72543
1978-01-01,99.69241
1978-02-01,99.61221
1978-03-01,99.47431
1978-04-01,99.47305
1978-05-01,99.49724
1978-06-01,99.46143
1978-07-01,99.43506
1978-08-01,99.33629
1978-09-01,99.24139
1978-10-01,99.01192
1978-11-01,98.62542
1978-12-01,98.27516
1979-01-01,98.24982
1979-02-01,98.23451
1979-03-01,98.04340
1979-04-01,97.84727
1979-05-01,97.71627
1979-06-01,97.53304
1979-07-01,97.37135
1979-08-01,97.40817
1979-09-01,97.44877
1979-10-01,97.37322
1979-11-01,97.35517
1979-12-01,97.39511
1980-01-01,97.47986
1980-02-01,97.27154
1980-03-01,96.73009
1980-04-01,96.30981
1980-05-01,96.27487
1980-06-01,96.67149
1980-07-01,97.24512
1980-08-01,97.86894
1980-09-01,98.39467
1980-10-01,98.61813
1980-11-01,98.50801
1980-12-01,98.13569
1981-01-01,97.98567
1981-02-01,97.88979
1981-03-01,97.99059
1981-04-01,98.30675
1981-05-01,98.58509
1981-06-01,98.67999
1981-07-01,98.73473
1981-08-01,98.70944
1981-09-01,98.44422
1981-10-01,98.04984
1981-11-01,97.68962
1981-12-01,97.64383
1982-01-01,97.75028
1982-02-01,97.66240
1982-03-01,97.53255
1982-04-01,97.56945
1982-05-01,97.63757
1982-06-01,97.63278
1982-07-01,97.65004
1982-08-01,97.77594
1982-09-01,98.03615
1982-10-01,98.26945
1982-11-01,98.32732
1982-12-01,98.32396
1983-01-01,98.42515
1983-02-01,98.82806
1983-03-01,99.48321
1983-04-01,100.18670
1983-05-01,100.65600
1983-06-01,100.80460
1983-07-01,100.76860
1983-08-01,100.62730
1983-09-01,100.51110
1983-10-01,100.51790
1983-11-01,100.71170
1983-12-01,101.04540
1984-01-01,101.37880
1984-02-01,101.51060
1984-03-01,101.54030
1984-04-01,101.41810
1984-05-01,101.33990
1984-06-01,101.29130
1984-07-01,101.36240
1984-08-01,101.48880
1984-09-01,101.51140
1984-10-01,101.34390
1984-11-01,101.16240
1984-12-01,101.03120
1985-01-01,101.01290
1985-02-01,100.97010
1985-03-01,100.94870
1985-04-01,100.94980
1985-05-01,100.95080
1985-06-01,101.01090
1985-07-01,100.93980
1985-08-01,100.79160
1985-09-01,100.64090
1985-10-01,100.54300
1985-11-01,100.64890
1985-12-01,100.86700
1986-01-01,101.05190
1986-02-01,101.14000
1986-03-01,101.16500
1986-04-01,101.20530
1986-05-01,101.26430
1986-06-01,101.36040
1986-07-01,101.30220
1986-08-01,101.12370
1986-09-01,100.95320
1986-10-01,100.86220
1986-11-01,100.68200
1986-12-01,100.53060
1987-01-01,100.49860
1987-02-01,100.52860
1987-03-01,100.60110
1987-04-01,100.68030
1987-05-01,100.71300
1987-06-01,100.78480
1987-07-01,100.88680
1987-08-01,100.89150
1987-09-01,100.70950
1987-10-01,100.36810
1987-11-01,100.09800
1987-12-01,100.16890
1988-01-01,100.42770
1988-02-01,100.66440
1988-03-01,100.82490
1988-04-01,100.86800
1988-05-01,100.95910
1988-06-01,101.02630
1988-07-01,101.09320
1988-08-01,101.20050
1988-09-01,101.18540
1988-10-01,101.04620
1988-11-01,100.94540
1988-12-01,100.97180
1989-01-01,101.11140
1989-02-01,101.09130
1989-03-01,100.94800
1989-04-01,100.75200
1989-05-01,100.62180
1989-06-01,100.59000
1989-07-01,100.63860
1989-08-01,100.71960
1989-09-01,100.87130
1989-10-01,100.85420
1989-11-01,100.73030
1989-12-01,100.65630
1990-01-01,100.65370
1990-02-01,100.63570
1990-03-01,100.70450
1990-04-01,100.75680
1990-05-01,100.62730
1990-06-01,100.34230
1990-07-01,99.86092
1990-08-01,99.08856
1990-09-01,98.34657
1990-10-01,97.75354
1990-11-01,97.54295
1990-12-01,97.60697
1991-01-01,97.95465
1991-02-01,98.58894
1991-03-01,99.31223
1991-04-01,99.51653
1991-05-01,99.49950
1991-06-01,99.56474
1991-07-01,99.62606
1991-08-01,99.59038
1991-09-01,99.39061
1991-10-01,98.91525
1991-11-01,98.32610
1991-12-01,97.97945
1992-01-01,97.93081
1992-02-01,98.17536
1992-03-01,98.61414
1992-04-01,98.96271
1992-05-01,99.16116
1992-06-01,99.16701
1992-07-01,98.99251
1992-08-01,98.84028
1992-09-01,98.82980
1992-10-01,99.09079
1992-11-01,99.71460
1992-12-01,100.22220
1993-01-01,100.35510
1993-02-01,100.23920
1993-03-01,100.05210
1993-04-01,99.82066
1993-05-01,99.52497
1993-06-01,99.29503
1993-07-01,99.08138
1993-08-01,99.02661
1993-09-01,99.14845
1993-10-01,99.42997
1993-11-01,99.76839
1993-12-01,100.25950
1994-01-01,100.68240
1994-02-01,100.83340
1994-03-01,100.82260
1994-04-01,100.79280
1994-05-01,100.73010
1994-06-01,100.62330
1994-07-01,100.55050
1994-08-01,100.59670
1994-09-01,100.66770
1994-10-01,100.76210
1994-11-01,100.87700
1994-12-01,101.05420
1995-01-01,101.13660
1995-02-01,101.00320
1995-03-01,100.78110
1995-04-01,100.68480
1995-05-01,100.67210
1995-06-01,100.79970
1995-07-01,100.91750
1995-08-01,100.88340
1995-09-01,100.64540
1995-10-01,100.48810
1995-11-01,100.41000
1995-12-01,100.43410
1996-01-01,100.45040
1996-02-01,100.52190
1996-03-01,100.66730
1996-04-01,100.69600
1996-05-01,100.67530
1996-06-01,100.78380
1996-07-01,100.94300
1996-08-01,101.06300
1996-09-01,101.15370
1996-10-01,101.27570
1996-11-01,101.37950
1996-12-01,101.39470
1997-01-01,101.44540
1997-02-01,101.56310
1997-03-01,101.69570
1997-04-01,101.86020
1997-05-01,102.04610
1997-06-01,102.21550
1997-07-01,102.32950
1997-08-01,102.33210
1997-09-01,102.34300
1997-10-01,102.33610
1997-11-01,102.31770
1997-12-01,102.28610
1998-01-01,102.43850
1998-02-01,102.60150
1998-03-01,102.60910
1998-04-01,102.58760
1998-05-01,102.48880
1998-06-01,102.36990
1998-07-01,102.23400
1998-08-01,102.04200
1998-09-01,101.80180
1998-10-01,101.66600
1998-11-01,101.75930
1998-12-01,101.90190
1999-01-01,102.14110
1999-02-01,102.34890
1999-03-01,102.38410
1999-04-01,102.37930
1999-05-01,102.42280
1999-06-01,102.43390
1999-07-01,102.37850
1999-08-01,102.31700
1999-09-01,102.30680
1999-10-01,102.28620
1999-11-01,102.40390
1999-12-01,102.56720
2000-01-01,102.79630
2000-02-01,102.84890
2000-03-01,102.76850
2000-04-01,102.75010
2000-05-01,102.72490
2000-06-01,102.62670
2000-07-01,102.59350
2000-08-01,102.55890
2000-09-01,102.50940
2000-10-01,102.40110
2000-11-01,102.15040
2000-12-01,101.62400
2001-01-01,101.10240
2001-02-01,100.72130
2001-03-01,100.55670
2001-04-01,100.52380
2001-05-01,100.64630
2001-06-01,100.72510
2001-07-01,100.63930
2001-08-01,100.33870
2001-09-01,99.90548
2001-10-01,99.74929
2001-11-01,99.89661
2001-12-01,100.25310
2002-01-01,100.59780
2002-02-01,100.80440
2002-03-01,100.99110
2002-04-01,101.04370
2002-05-01,101.01770
2002-06-01,100.76770
2002-07-01,100.43300
2002-08-01,100.15720
2002-09-01,99.91587
