observation_date,GDPC1_20000215
1959-01-01,2254.4
1959-04-01,2313.3
1959-07-01,2312.4
1959-10-01,2320.0
1960-01-01,2371.4
1960-04-01,2359.7
1960-07-01,2364.1
1960-10-01,2333.7
1961-01-01,2347.2
1961-04-01,2391.1
1961-07-01,2430.4
1961-10-01,2479.8
1962-01-01,2522.9
1962-04-01,2550.2
1962-07-01,2575.3
1962-10-01,2581.8
1963-01-01,2612.4
1963-04-01,2646.3
1963-07-01,2697.2
1963-10-01,2716.8
1964-01-01,2777.3
1964-04-01,2810.2
1964-07-01,2848.0
1964-10-01,2855.3
1965-01-01,2925.1
1965-04-01,2964.4
1965-07-01,3024.6
1965-10-01,3096.8
1966-01-01,3173.4
1966-04-01,3185.4
1966-07-01,3205.7
1966-10-01,3233.5
1967-01-01,3263.2
1967-04-01,3261.1
1967-07-01,3284.6
1967-10-01,3309.1
1968-01-01,3375.9
1968-04-01,3434.0
1968-07-01,3458.6
1968-10-01,3473.9
1969-01-01,3529.1
1969-04-01,3539.2
1969-07-01,3560.5
1969-10-01,3544.0
1970-01-01,3539.3
1970-04-01,3546.1
1970-07-01,3576.0
1970-10-01,3536.1
1971-01-01,3631.9
1971-04-01,3649.7
1971-07-01,3675.8
1971-10-01,3683.5
1972-01-01,3755.6
1972-04-01,3840.6
1972-07-01,3877.2
1972-10-01,3943.3
1973-01-01,4040.9
1973-04-01,4081.4
1973-07-01,4066.8
1973-10-01,4103.3
1974-01-01,4077.5
1974-04-01,4091.8
1974-07-01,4048.9
1974-10-01,4028.5
1975-01-01,3978.2
1975-04-01,4012.7
1975-07-01,4080.7
1975-10-01,4129.4
1976-01-01,4222.1
1976-04-01,4253.6
1976-07-01,4270.8
1976-10-01,4303.6
1977-01-01,4355.4
1977-04-01,4433.3
1977-07-01,4513.7
1977-10-01,4520.5
1978-01-01,4536.2
1978-04-01,4713.6
1978-07-01,4761.7
1978-10-01,4828.0
1979-01-01,4841.7
1979-04-01,4847.8
1979-07-01,4885.6
1979-10-01,4905.4
1980-01-01,4926.8
1980-04-01,4829.0
1980-07-01,4823.3
1980-10-01,4910.1
1981-01-01,5003.6
1981-04-01,4969.3
1981-07-01,5030.0
1981-10-01,4972.5
1982-01-01,4894.6
1982-04-01,4916.9
1982-07-01,4893.5
1982-10-01,4896.1
1983-01-01,4948.5
1983-04-01,5063.6
1983-07-01,5152.6
1983-10-01,5257.6
1984-01-01,5374.1
1984-04-01,5465.9
1984-07-01,5513.6
1984-10-01,5555.9
1985-01-01,5602.4
1985-04-01,5646.6
1985-07-01,5731.4
1985-10-01,5778.8
1986-01-01,5831.1
1986-04-01,5856.0
1986-07-01,5911.3
1986-10-01,5944.3
1987-01-01,5990.7
1987-04-01,6056.1
1987-07-01,6108.3
1987-10-01,6215.4
1988-01-01,6257.0
1988-04-01,6331.0
1988-07-01,6363.1
1988-10-01,6445.0
1989-01-01,6522.4
1989-04-01,6556.9
1989-07-01,6586.8
1989-10-01,6608.7
1990-01-01,6689.2
1990-04-01,6705.4
1990-07-01,6695.4
1990-10-01,6643.9
1991-01-01,6616.2
1991-04-01,6658.4
1991-07-01,6680.2
1991-10-01,6721.7
1992-01-01,6792.9
1992-04-01,6859.3
1992-07-01,6912.1
1992-10-01,7000.0
1993-01-01,6986.9
1993-04-01,7024.0
1993-07-01,7050.8
1993-10-01,7155.0
1994-01-01,7218.5
1994-04-01,7319.8
1994-07-01,7360.5
1994-10-01,7452.3
1995-01-01,7480.4
1995-04-01,7496.0
1995-07-01,7555.0
1995-10-01,7616.8
1996-01-01,7671.4
1996-04-01,7800.5
1996-07-01,7843.3
1996-10-01,7937.5
1997-01-01,8033.4
1997-04-01,8134.8
1997-07-01,8214.8
1997-10-01,8277.3
1998-01-01,8412.7
1998-04-01,8457.2
1998-07-01,8536.0
1998-10-01,8659.2
1999-01-01,8737.9
1999-04-01,8778.6
1999-07-01,8900.6
1999-10-01,9026.9
