observation_date,CORCACBS_20220715
1985-01-01,0.83
1985-04-01,0.97
1985-07-01,1.14
1985-10-01,1.30
1986-01-01,1.34
1986-04-01,1.42
1986-07-01,1.50
1986-10-01,1.49
1987-01-01,1.48
1987-04-01,1.47
1987-07-01,1.42
1987-10-01,1.54
1988-01-01,1.43
1988-04-01,1.47
1988-07-01,1.53
1988-10-01,1.47
1989-01-01,1.57
1989-04-01,1.54
1989-07-01,1.52
1989-10-01,1.64
1990-01-01,1.66
1990-04-01,1.72
1990-07-01,1.80
1990-10-01,1.97
1991-01-01,2.21
1991-04-01,2.32
1991-07-01,2.37
1991-10-01,2.32
1992-01-01,2.35
1992-04-01,2.27
1992-07-01,2.07
1992-10-01,2.14
1993-01-01,1.80
1993-04-01,1.81
1993-07-01,1.75
1993-10-01,1.58
1994-01-01,1.49
1994-04-01,1.42
1994-07-01,1.41
1994-10-01,1.46
1995-01-01,1.46
1995-04-01,1.63
1995-07-01,1.80
1995-10-01,1.97
1996-01-01,2.13
1996-04-01,2.26
1996-07-01,2.31
1996-10-01,2.42
1997-01-01,2.56
1997-04-01,2.75
1997-07-01,2.81
1997-10-01,2.65
1998-01-01,2.68
1998-04-01,2.63
1998-07-01,2.56
1998-10-01,2.54
1999-01-01,2.38
1999-04-01,2.10
1999-07-01,2.32
1999-10-01,2.18
2000-01-01,2.26
2000-04-01,2.12
2000-07-01,2.17
2000-10-01,2.59
2001-01-01,2.45
2001-04-01,2.60
2001-07-01,2.75
2001-10-01,3.04
2002-01-01,3.75
2002-04-01,3.07
2002-07-01,3.08
2002-10-01,2.79
2003-01-01,2.91
2003-04-01,3.00
2003-07-01,2.80
2003-10-01,2.82
2004-01-01,2.76
2004-04-01,2.73
2004-07-01,2.56
2004-10-01,2.66
2005-01-01,2.51
2005-04-01,2.39
2005-07-01,3.02
2005-10-01,3.02
2006-01-01,1.79
2006-04-01,1.92
2006-07-01,2.18
2006-10-01,2.12
2007-01-01,2.38
2007-04-01,2.32
2007-07-01,2.42
2007-10-01,2.77
2008-01-01,2.92
2008-04-01,3.27
2008-07-01,3.72
2008-10-01,4.25
2009-01-01,4.80
2009-04-01,5.60
2009-07-01,5.86
2009-10-01,5.89
2010-01-01,6.46
2010-04-01,6.57
2010-07-01,5.61
2010-10-01,4.93
2011-01-01,4.38
2011-04-01,3.44
2011-07-01,3.69
2011-10-01,2.95
2012-01-01,2.60
2012-04-01,2.54
2012-07-01,2.50
2012-10-01,2.43
2013-01-01,2.32
2013-04-01,2.16
2013-07-01,2.12
2013-10-01,2.10
2014-01-01,1.98
2014-04-01,2.00
2014-07-01,1.91
2014-10-01,1.81
2015-01-01,1.76
2015-04-01,1.74
2015-07-01,1.75
2015-10-01,1.81
2016-01-01,1.80
2016-04-01,1.82
2016-07-01,1.91
2016-10-01,2.09
2017-01-01,2.20
2017-04-01,2.11
2017-07-01,2.20
2017-10-01,2.21
2018-01-01,2.23
2018-04-01,2.22
2018-07-01,2.27
2018-10-01,2.24
2019-01-01,2.23
2019-04-01,2.26
2019-07-01,2.35
2019-10-01,2.35
2020-01-01,2.20
2020-04-01,2.26
2020-07-01,1.97
2020-10-01,1.57
2021-01-01,1.45
2021-04-01,1.22
2021-07-01,1.00
2021-10-01,0.94
2022-01-01,0.95
