observation_date,CSCICP03USM665S_20170215
1960-01-01,101.5730
1960-02-01,101.3154
1960-03-01,101.0929
1960-04-01,100.9702
1960-05-01,101.0012
1960-06-01,101.0889
1960-07-01,101.1074
1960-08-01,100.9673
1960-09-01,100.7501
1960-10-01,100.5697
1960-11-01,100.5112
1960-12-01,100.5323
1961-01-01,100.5809
1961-02-01,100.6326
1961-03-01,100.7014
1961-04-01,100.8231
1961-05-01,101.0218
1961-06-01,101.2235
1961-07-01,101.3203
1961-08-01,101.2319
1961-09-01,101.0716
1961-10-01,100.9912
1961-11-01,101.0981
1961-12-01,101.2927
1962-01-01,101.4315
1962-02-01,101.4043
1962-03-01,101.2652
1962-04-01,101.0839
1962-05-01,100.9079
1962-06-01,100.7677
1962-07-01,100.7026
1962-08-01,100.7528
1962-09-01,100.8751
1962-10-01,101.0257
1962-11-01,101.1720
1962-12-01,101.2749
1963-01-01,101.2759
1963-02-01,101.1281
1963-03-01,100.9283
1963-04-01,100.8021
1963-05-01,100.8405
1963-06-01,100.9632
1963-07-01,101.0648
1963-08-01,101.0764
1963-09-01,101.0484
1963-10-01,101.0606
1963-11-01,101.1717
1963-12-01,101.3286
1964-01-01,101.4550
1964-02-01,101.4955
1964-03-01,101.4886
1964-04-01,101.4874
1964-05-01,101.5272
1964-06-01,101.5870
1964-07-01,101.6328
1964-08-01,101.6397
1964-09-01,101.6287
1964-10-01,101.6325
1964-11-01,101.6787
1964-12-01,101.7589
1965-01-01,101.8644
1965-02-01,101.9888
1965-03-01,102.1050
1965-04-01,102.1736
1965-05-01,102.1611
1965-06-01,102.1039
1965-07-01,102.0426
1965-08-01,102.0007
1965-09-01,101.9676
1965-10-01,101.9204
1965-11-01,101.8381
1965-12-01,101.7286
1966-01-01,101.5971
1966-02-01,101.4425
1966-03-01,101.2744
1966-04-01,101.0993
1966-05-01,100.9198
1966-06-01,100.7408
1966-07-01,100.5728
1966-08-01,100.4342
1966-09-01,100.3424
1966-10-01,100.3389
1966-11-01,100.4669
1966-12-01,100.6615
1967-01-01,100.8490
1967-02-01,100.9802
1967-03-01,101.0699
1967-04-01,101.1371
1967-05-01,101.1855
1967-06-01,101.2070
1967-07-01,101.1764
1967-08-01,101.0732
1967-09-01,100.9555
1967-10-01,100.9021
1967-11-01,100.9694
1967-12-01,101.0835
1968-01-01,101.1423
1968-02-01,101.0698
1968-03-01,100.9261
1968-04-01,100.7914
1968-05-01,100.7216
1968-06-01,100.6943
1968-07-01,100.6787
1968-08-01,100.6631
1968-09-01,100.6703
1968-10-01,100.7458
1968-11-01,100.9231
1968-12-01,101.1210
1969-01-01,101.2208
1969-02-01,101.1241
1969-03-01,100.9078
1969-04-01,100.6580
1969-05-01,100.4232
1969-06-01,100.2010
1969-07-01,99.9732
1969-08-01,99.7275
1969-09-01,99.4853
1969-10-01,99.2843
1969-11-01,99.1579
1969-12-01,99.0734
1970-01-01,98.9954
1970-02-01,98.9073
1970-03-01,98.8270
1970-04-01,98.7887
1970-05-01,98.8175
1970-06-01,98.8616
1970-07-01,98.8495
1970-08-01,98.7328
1970-09-01,98.5846
1970-10-01,98.5115
1970-11-01,98.5984
1970-12-01,98.7774
1971-01-01,98.9642
1971-02-01,99.1034
1971-03-01,99.2048
1971-04-01,99.2870
1971-05-01,99.3583
1971-06-01,99.4168
1971-07-01,99.4538
1971-08-01,99.4697
1971-09-01,99.5118
1971-10-01,99.6544
1971-11-01,99.9529
1971-12-01,100.2968
1972-01-01,100.5356
1972-02-01,100.5585
1972-03-01,100.4794
1972-04-01,100.4495
1972-05-01,100.5710
1972-06-01,100.7626
1972-07-01,100.8968
1972-08-01,100.8676
1972-09-01,100.7150
1972-10-01,100.4776
1972-11-01,100.1689
1972-12-01,99.8379
1973-01-01,99.5324
1973-02-01,99.2845
1973-03-01,99.0713
1973-04-01,98.8698
1973-05-01,98.6784
1973-06-01,98.5258
1973-07-01,98.4662
1973-08-01,98.5357
1973-09-01,98.6155
1973-10-01,98.5396
1973-11-01,98.1909
1973-12-01,97.7539
1974-01-01,97.4867
1974-02-01,97.5810
1974-03-01,97.8525
1974-04-01,98.0505
1974-05-01,97.9908
1974-06-01,97.7620
1974-07-01,97.4832
1974-08-01,97.2302
1974-09-01,97.0121
1974-10-01,96.8325
1974-11-01,96.7147
1974-12-01,96.6897
1975-01-01,96.8388
1975-02-01,97.2441
1975-03-01,97.7652
1975-04-01,98.2304
1975-05-01,98.5114
1975-06-01,98.6558
1975-07-01,98.7188
1975-08-01,98.7332
1975-09-01,98.7604
1975-10-01,98.8713
1975-11-01,99.1162
1975-12-01,99.4091
1976-01-01,99.6362
1976-02-01,99.7166
1976-03-01,99.7278
1976-04-01,99.7749
1976-05-01,99.9279
1976-06-01,100.1238
1976-07-01,100.2648
1976-08-01,100.2737
1976-09-01,100.2036
1976-10-01,100.1235
1976-11-01,100.0824
1976-12-01,100.0831
