observation_date,HDTGPDUSQ163N_20150515
2009-01-01,98.066996637765300
2009-04-01,98.184467020728903
2009-07-01,97.889926721400499
2009-10-01,96.545885521530479
2010-01-01,94.837737567095814
2010-04-01,93.149752159370266
2010-07-01,91.799130807841280
2010-10-01,90.496314955120795
2011-01-01,90.107098718097902
2011-04-01,88.262876363291582
2011-07-01,87.044306569961179
2011-10-01,85.990071910515795
2012-01-01,84.969397108977290
2012-04-01,84.388900569778897
2012-07-01,83.322668836200293
2012-10-01,83.532404714526294
2013-01-01,82.364926952460991
2013-04-01,81.927842713175693
2013-07-01,81.392722548048198
2013-10-01,80.754225217108896
2014-01-01,80.841544781564892
2014-04-01,80.451027891405701
2014-07-01,79.918247720962498
2014-10-01,79.963067050511100
