observation_date,HDTGPDUSQ163N_20240515
2005-01-01,86.8170516596110
2005-04-01,89.3912893429045
2005-07-01,92.1658537333579
2005-10-01,94.4675823670164
2006-01-01,91.7663800341643
2006-04-01,94.3633790787226
2006-07-01,96.7396059526912
2006-10-01,98.6738107646429
2007-01-01,95.4715028412526
2007-04-01,97.5144549803962
2007-07-01,99.1814498160526
2007-10-01,100.5396549043990
2008-01-01,99.3454097367272
2008-04-01,99.0512699858157
2008-07-01,99.8379468985806
2008-10-01,98.1045982186684
2009-01-01,99.4251366724110
2009-04-01,99.2777411322657
2009-07-01,99.2505206156906
2009-10-01,99.1957894882253
2010-01-01,94.7310232092219
2010-04-01,94.2811786184773
2010-07-01,93.8079105055328
2010-10-01,93.7209145473363
2011-01-01,90.2334047555325
2011-04-01,89.9191620365103
2011-07-01,89.8495838868954
2011-10-01,89.8180961523360
2012-01-01,85.8396881988686
2012-04-01,85.6559790081796
2012-07-01,85.7352335893737
2012-10-01,85.5505830890337
2013-01-01,82.3875415782904
2013-04-01,82.5212451890894
2013-07-01,82.8608594850452
2013-10-01,83.8984280029507
2014-01-01,80.4954510296612
2014-04-01,80.9060221330519
2014-07-01,80.8608842679840
2014-10-01,81.2662475944657
2015-01-01,78.2322335600440
2015-04-01,78.9452337893637
2015-07-01,79.6062896760825
2015-10-01,79.6786778003436
2016-01-01,77.6616546581725
2016-04-01,78.3897652326011
2016-07-01,79.3304716209060
2016-10-01,79.8844189119074
2017-01-01,76.9807340320937
2017-04-01,77.7855971166509
2017-07-01,78.5497205728705
2017-10-01,79.5644582040165
2018-01-01,75.7267579259317
2018-04-01,76.3584606786855
2018-07-01,77.1911513497126
2018-10-01,77.8238135301215
2019-01-01,74.8846005439422
2019-04-01,75.8443146819949
2019-07-01,76.7892025377731
2019-10-01,77.6992135522510
2020-01-01,79.1790536289585
2020-04-01,79.2052211609913
2020-07-01,80.4256936580177
2020-10-01,81.6971052375424
2021-01-01,74.5381003492376
2021-04-01,77.6436490124951
2021-07-01,79.1608476489996
2021-10-01,80.8548117473351
2022-01-01,74.8312955506530
2022-04-01,76.2474990402638
2022-07-01,77.5516053368208
2022-10-01,78.4246697869140
2023-01-01,74.2333719119135
2023-04-01,74.8679072101437
2023-07-01,75.5424615908066
2023-10-01,76.1746888807592
